,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.44,2.9478,1.13,12.8946,0.8615
0,20240103,9.3,2.7503,1.01,12.7034,0.8487
0,20240104,9.27,1.8992,0.65,12.6624,0.846
0,20240105,9.14,2.3457,0.79,12.4848,0.8341
0,20240108,8.94,1.9969,0.72,12.2116,0.8159
0,20240109,8.95,1.3841,0.58,12.2253,0.8168
0,20240110,8.8,1.642,0.79,12.0204,0.8031
0,20240111,8.91,1.3147,0.71,12.1706,0.8132
0,20240112,8.82,1.1297,0.65,12.0477,0.8049
0,20240115,8.76,1.0486,0.7,11.9658,0.7995
0,20240116,8.77,1.2877,0.99,11.9794,0.8004
0,20240117,8.52,1.3529,1.05,11.6379,0.7776
0,20240118,8.4,2.1462,1.75,11.474,0.7666
0,20240119,8.28,1.1618,0.83,11.3101,0.7557
0,20240122,7.87,2.0612,1.47,10.7501,0.7182
0,20240123,7.89,1.8525,1.16,10.7774,0.7201
0,20240124,8.08,1.9254,1.12,11.0369,0.7374
0,20240125,8.48,2.9689,1.62,11.5833,0.7739
0,20240126,8.51,2.0653,1.04,11.6243,0.7766
0,20240129,8.28,1.6413,0.75,11.3101,0.7557
0,20240130,8.13,1.3647,0.65,11.1052,0.742
0,20240131,7.86,2.0892,1.05,10.7364,0.7173
0,20240201,7.76,2.0769,1.03,10.5998,0.7082
0,20240202,7.41,2.7719,1.5,10.1217,0.6763
0,20240205,6.78,3.7058,1.86,9.2612,0.6188
0,20240206,7.09,3.1596,1.32,9.6846,0.6471
0,20240207,7.3,3.0628,1.11,9.9715,0.6662
0,20240208,7.77,3.8818,1.31,10.6135,0.7091
0,20240219,7.94,2.909,0.88,10.8457,0.7246
0,20240220,7.86,1.6185,0.48,10.7364,0.7173
0,20240221,8.01,2.5699,0.88,10.9413,0.731
0,20240222,8.07,1.6234,0.58,11.0232,0.7365
0,20240223,8.26,2.4149,0.96,11.2828,0.7538
0,20240226,8.25,2.6811,1.2,11.2691,0.7529
0,20240227,8.61,3.2087,1.47,11.7609,0.7858
0,20240228,8.18,3.7461,1.5,11.1735,0.7465
0,20240229,8.42,2.1234,0.78,11.5013,0.7684
0,20240301,8.43,1.7593,0.62,11.515,0.7693
0,20240304,8.3,1.7863,0.66,11.3374,0.7575
0,20240305,8.59,4.4303,1.75,11.7335,0.7839
0,20240306,8.32,3.9841,1.44,11.3647,0.7593
0,20240307,8.24,2.3718,0.92,11.2555,0.752
0,20240308,8.28,1.4317,0.54,11.3101,0.7557
0,20240311,8.35,1.5638,0.59,11.4057,0.762
0,20240312,8.69,4.6727,1.78,11.8701,0.7931
0,20240313,8.9,4.8807,1.78,12.157,0.8122
0,20240314,9.12,5.0923,1.71,12.4575,0.8323
0,20240315,9.21,4.0816,1.16,12.5804,0.8405
0,20240318,9.67,5.4114,1.33,13.2088,0.8825
0,20240319,9.37,3.7676,0.78,12.799,0.8551
0,20240320,9.4,2.3638,0.51,12.84,0.8579
0,20240321,9.3,2.8783,0.69,12.7034,0.8487
0,20240322,9.21,2.3427,0.63,12.5804,0.8405
0,20240325,8.93,2.6363,0.79,12.198,0.815
0,20240326,9.35,4.5834,1.64,12.7717,0.8533
0,20240327,8.89,3.8152,1.29,12.1433,0.8113
0,20240328,8.9,3.7371,1.15,12.7047,0.8046
0,20240329,9.02,3.6472,1.07,12.876,0.8155
0,20240401,9.14,3.2841,0.89,13.0473,0.8263
0,20240402,8.92,3.0134,0.79,12.7333,0.8064
0,20240403,8.75,2.3962,0.68,12.4906,0.791
