,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.3,0.821,0.86,38.0092,1.9075
0,20240103,17.1,0.6612,0.78,37.5698,1.8854
0,20240104,16.9,0.4556,0.56,37.1304,1.8634
0,20240105,16.48,0.616,0.83,36.2076,1.8171
0,20240108,15.45,1.2944,1.94,33.9446,1.7035
0,20240109,15.58,0.7224,0.94,34.2302,1.7178
0,20240110,15.31,0.7806,1.04,33.637,1.6881
0,20240111,15.43,0.7122,0.92,33.9007,1.7013
0,20240112,15.33,0.4267,0.52,33.681,1.6903
0,20240115,15.4,0.7274,0.92,33.8348,1.698
0,20240116,15.04,0.9355,1.39,33.0438,1.6583
0,20240117,14.58,0.6916,0.97,32.0332,1.6076
0,20240118,14.51,1.1151,1.6,31.8794,1.5999
0,20240119,14.31,0.763,0.98,31.44,1.5778
0,20240122,13.31,1.1451,1.35,29.2429,1.4676
0,20240123,13.5,0.9551,1.03,29.6604,1.4885
0,20240124,13.62,0.9828,1.05,29.924,1.5017
0,20240125,14.14,1.5869,1.6,31.0665,1.5591
0,20240126,14.34,2.7135,2.5,31.5059,1.5811
0,20240129,13.44,2.0688,1.4,29.5285,1.4819
0,20240130,12.82,1.7092,1.03,28.1664,1.4135
0,20240131,11.9,2.5118,1.39,26.1451,1.3121
0,20240201,11.65,2.128,1.0,25.5958,1.2845
0,20240202,10.91,2.4459,1.1,23.97,1.2029
0,20240205,9.82,3.1541,1.45,21.5752,1.0827
0,20240206,10.57,2.6381,1.1,23.223,1.1654
0,20240207,11.1,2.34,0.91,24.3874,1.2239
0,20240208,11.82,2.0302,0.8,25.9693,1.3033
0,20240219,12.09,2.0076,0.8,26.5625,1.333
0,20240220,12.1,1.2455,0.51,26.5845,1.3341
0,20240221,12.19,1.6508,0.8,26.7822,1.3441
0,20240222,12.91,1.9216,1.04,28.3641,1.4234
0,20240223,12.93,1.4504,0.82,28.408,1.4257
0,20240226,13.02,1.2144,0.73,28.6058,1.4356
0,20240227,13.47,1.3662,0.91,29.5944,1.4852
0,20240228,12.91,2.2796,1.5,28.3641,1.4234
0,20240229,13.65,2.0751,1.26,29.9899,1.505
0,20240301,13.74,1.637,0.98,30.1877,1.515
0,20240304,13.68,1.3506,0.79,30.0558,1.5083
0,20240305,13.6,1.2926,0.74,29.8801,1.4995
0,20240306,13.45,1.2103,0.7,29.5505,1.483
0,20240307,13.19,0.9512,0.63,28.9793,1.4543
0,20240308,13.52,1.191,0.92,29.7043,1.4907
0,20240311,13.51,1.1398,0.95,29.6823,1.4896
0,20240312,13.74,1.2913,1.12,30.1877,1.515
0,20240313,13.68,1.0718,0.93,30.0558,1.5083
0,20240314,13.52,0.8191,0.73,29.7043,1.4907
0,20240315,13.53,0.6313,0.57,29.7263,1.4918
0,20240318,13.77,1.0046,1.01,30.2536,1.5183
0,20240319,13.81,1.2962,1.35,30.3414,1.5227
0,20240320,13.91,1.0387,1.08,30.5612,1.5337
0,20240321,13.97,1.1488,1.2,30.693,1.5403
0,20240322,13.83,1.5026,1.47,30.3854,1.5249
0,20240325,13.45,1.8877,1.58,29.5505,1.483
0,20240326,13.35,1.3874,1.01,29.3308,1.472
0,20240327,12.6,1.2799,0.92,27.683,1.3893
0,20240328,12.95,1.237,0.86,28.452,1.4279
0,20240329,13.04,0.8382,0.57,28.6497,1.4378
0,20240401,13.6,1.2207,0.92,29.8801,1.4995
0,20240402,13.33,1.0448,0.88,29.2869,1.4698
0,20240403,13.17,0.9417,0.84,28.9353,1.4521
