,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.93,1.0255,1.46,44.4317,5.6517
0,20240103,10.88,0.6978,0.92,44.2285,5.6259
0,20240104,10.84,0.5314,0.69,44.0659,5.6052
0,20240105,10.64,0.5307,0.72,43.2529,5.5018
0,20240108,10.38,0.6856,1.0,42.1959,5.3673
0,20240109,10.46,0.6288,0.91,42.5211,5.4087
0,20240110,10.46,0.5827,0.95,42.5211,5.4087
0,20240111,10.6,0.5255,0.89,43.0902,5.4811
0,20240112,10.62,0.5452,0.92,43.1715,5.4914
0,20240115,10.71,0.7426,1.25,43.5374,5.538
0,20240116,10.66,0.6925,1.14,43.3342,5.5121
0,20240117,10.43,0.5471,0.89,42.3992,5.3932
0,20240118,10.13,1.1181,1.83,41.1796,5.2381
0,20240119,9.99,0.6611,0.91,40.6105,5.1657
0,20240122,9.36,1.0554,1.4,38.0495,4.8399
0,20240123,9.21,1.1422,1.4,37.4397,4.7624
0,20240124,9.39,1.0881,1.2,38.1715,4.8554
0,20240125,9.77,1.0417,1.03,39.7162,5.0519
0,20240126,9.9,0.9134,0.92,40.2447,5.1191
0,20240129,9.66,0.9013,0.86,39.269,4.995
0,20240130,9.61,1.4107,1.39,39.0658,4.9692
0,20240131,9.11,1.6411,1.53,37.0332,4.7106
0,20240201,8.81,1.4047,1.19,35.8137,4.5555
0,20240202,8.4,1.3554,1.08,34.147,4.3435
0,20240205,7.58,2.2603,1.68,30.8136,3.9195
0,20240206,7.64,2.2825,1.41,31.0575,3.9505
0,20240207,7.5,2.7106,1.52,30.4884,3.8781
0,20240208,7.94,3.1734,1.58,32.277,4.1057
0,20240219,8.12,2.4294,1.03,33.0088,4.1987
0,20240220,8.06,1.1162,0.43,32.7648,4.1677
0,20240221,8.13,1.7436,0.74,33.0494,4.2039
0,20240222,8.64,3.2777,1.47,35.1226,4.4676
0,20240223,8.62,2.3332,0.99,35.0413,4.4573
0,20240226,8.6,2.1567,0.99,34.96,4.4469
0,20240227,8.73,1.8051,0.85,35.4885,4.5142
0,20240228,9.09,5.0191,2.22,36.9519,4.7003
0,20240229,9.19,4.5249,1.55,37.3584,4.752
0,20240301,9.01,2.4141,0.76,36.6267,4.6589
0,20240304,8.95,2.0052,0.63,36.3828,4.6279
0,20240305,8.69,1.5987,0.51,35.3259,4.4935
0,20240306,8.7,0.9526,0.31,35.3665,4.4986
0,20240307,8.61,1.1405,0.5,35.0007,4.4521
0,20240308,8.63,0.7654,0.47,35.082,4.4624
0,20240311,8.74,0.8251,0.64,35.5291,4.5193
0,20240312,8.92,1.7389,1.65,36.2608,4.6124
0,20240313,8.8,1.8209,1.68,35.773,4.5504
0,20240314,8.7,1.0454,0.83,35.3665,4.4986
0,20240315,8.81,0.9684,0.78,35.8137,4.5555
0,20240318,8.87,1.0392,0.81,36.0576,4.5865
0,20240319,8.88,1.5734,1.19,36.0982,4.5917
0,20240320,8.91,1.1021,0.85,36.2202,4.6072
0,20240321,9.01,1.9878,1.73,36.6267,4.6589
0,20240322,8.67,2.0926,1.57,35.2446,4.4831
0,20240325,8.37,1.2274,0.79,34.025,4.328
0,20240326,8.46,0.9252,0.58,34.3909,4.3745
0,20240327,8.28,0.943,0.64,33.6592,4.2815
0,20240328,8.42,0.6867,0.48,34.2283,4.3539
0,20240329,8.51,0.9658,0.82,34.5942,4.4004
0,20240401,8.62,0.9617,1.01,35.0413,4.4573
0,20240402,8.66,0.9496,1.06,35.2039,4.478
0,20240403,8.73,0.9872,1.1,35.4885,4.5142
