,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.27,1.6889,0.77,75.458,2.55
0,20240103,11.22,1.5982,0.73,75.1232,2.5386
0,20240104,11.27,1.3777,0.69,75.458,2.55
0,20240105,10.95,1.8436,0.95,73.3155,2.4776
0,20240108,10.81,1.6548,0.93,72.3781,2.4459
0,20240109,10.8,1.4581,0.89,72.3111,2.4436
0,20240110,10.67,1.3521,0.85,71.4407,2.4142
0,20240111,10.94,1.394,0.91,73.2485,2.4753
0,20240112,10.7,1.206,0.78,71.6416,2.421
0,20240115,10.68,1.133,0.8,71.5077,2.4165
0,20240116,11.17,6.252,4.78,74.7885,2.5273
0,20240117,11.6,8.1256,3.58,77.6675,2.6246
0,20240118,12.18,7.7608,2.14,81.5509,2.7559
0,20240119,11.66,5.4501,1.11,78.0693,2.6382
0,20240122,11.82,6.1387,1.07,79.1405,2.6744
0,20240123,11.97,4.7777,0.71,80.1448,2.7083
0,20240124,11.75,4.6812,0.73,78.6718,2.6586
0,20240125,12.01,5.9109,1.03,80.4127,2.7174
0,20240126,11.7,3.7103,0.69,78.3371,2.6472
0,20240129,10.73,4.1764,0.83,71.8425,2.4278
0,20240130,10.06,3.2169,0.69,67.3565,2.2762
0,20240131,11.07,3.1669,0.73,74.1189,2.5047
0,20240201,10.73,7.5387,1.87,71.8425,2.4278
0,20240202,11.05,6.2518,1.43,73.985,2.5002
0,20240205,9.95,5.1297,1.05,66.62,2.2513
0,20240206,10.01,4.8149,0.95,67.0217,2.2649
0,20240207,9.82,3.6373,0.68,65.7496,2.2219
0,20240208,10.41,4.2567,0.78,69.6999,2.3554
0,20240219,11.12,4.8338,1.0,74.4537,2.516
0,20240220,11.03,3.4447,0.76,73.8511,2.4957
0,20240221,11.07,5.4847,1.31,74.1189,2.5047
0,20240222,11.29,4.4774,1.03,75.5919,2.5545
0,20240223,11.58,5.899,1.31,77.5336,2.6201
0,20240226,11.63,5.1921,1.08,77.8684,2.6314
0,20240227,12.34,9.179,1.87,82.6222,2.7921
0,20240228,11.37,8.2322,1.36,76.1276,2.5726
0,20240229,11.85,4.9127,0.74,79.3414,2.6812
0,20240301,11.82,4.0786,0.61,79.1405,2.6744
0,20240304,11.62,3.689,0.58,77.8014,2.6291
0,20240305,12.2,8.2148,1.36,81.6848,2.7604
0,20240306,12.81,11.6702,2.0,85.769,2.8984
0,20240307,12.23,6.9894,1.07,81.8857,2.7672
0,20240308,12.68,6.2172,0.9,84.8986,2.869
0,20240311,13.01,8.4264,1.15,87.1081,2.9436
0,20240312,13.26,9.9694,1.2,88.782,3.0002
0,20240313,12.98,7.6414,0.88,86.9073,2.9369
0,20240314,12.65,5.5993,0.71,84.6978,2.8622
0,20240315,12.94,5.5581,0.73,86.6395,2.9278
0,20240318,13.58,9.4638,1.27,90.9246,3.0726
0,20240319,13.22,6.7324,0.88,88.5142,2.9912
0,20240320,13.38,6.033,0.86,89.5855,3.0274
0,20240321,13.82,10.4194,1.56,92.5315,3.1269
0,20240322,13.44,7.1982,0.94,89.9872,3.0409
0,20240325,12.82,5.4397,0.68,85.836,2.9007
0,20240326,13.08,5.0563,0.71,87.5768,2.9595
0,20240327,12.48,4.5957,0.67,83.5595,2.8237
0,20240328,13.42,9.3808,1.43,89.8533,3.0364
0,20240329,13.65,8.6696,1.37,91.3932,3.0885
0,20240401,13.67,7.294,1.1,91.5272,3.093
0,20240402,13.3,6.3659,0.91,89.0498,3.0093
0,20240403,12.81,4.5884,0.63,85.769,2.8984
