,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.94,0.5869,1.43,14.258,0.8022
0,20240103,6.99,0.3622,0.83,14.3607,0.808
0,20240104,7.0,0.3785,0.86,14.3813,0.8092
0,20240105,6.95,0.4623,1.03,14.2786,0.8034
0,20240108,6.88,0.6015,1.38,14.1347,0.7953
0,20240109,6.89,0.4918,1.03,14.1553,0.7965
0,20240110,6.88,0.3554,0.77,14.1347,0.7953
0,20240111,6.88,0.4022,0.88,14.1347,0.7953
0,20240112,6.92,0.3413,0.74,14.2169,0.7999
0,20240115,6.98,0.3817,0.87,14.3402,0.8069
0,20240116,6.99,0.4437,1.12,14.3607,0.808
0,20240117,6.84,0.3742,0.97,14.0526,0.7907
0,20240118,6.69,0.6118,1.57,13.7444,0.7733
0,20240119,6.62,0.352,0.82,13.6006,0.7652
0,20240122,6.28,0.7722,1.78,12.9021,0.7259
0,20240123,6.27,0.618,1.21,12.8815,0.7248
0,20240124,6.44,0.7196,1.32,13.2308,0.7444
0,20240125,6.76,0.7718,1.26,13.8882,0.7814
0,20240126,6.9,0.6456,1.0,14.1758,0.7976
0,20240129,6.86,0.5677,0.8,14.0937,0.793
0,20240130,6.68,0.5365,0.81,13.7239,0.7722
0,20240131,6.52,0.6121,0.94,13.3951,0.7537
0,20240201,6.3,0.8404,1.34,12.9432,0.7283
0,20240202,6.07,1.0113,1.58,12.4706,0.7017
0,20240205,5.6,1.3908,1.95,11.505,0.6473
0,20240206,5.97,1.4208,1.62,12.2652,0.6901
0,20240207,6.16,1.1558,1.1,12.6555,0.7121
0,20240208,6.7,1.5574,1.34,13.7649,0.7745
0,20240219,6.41,1.7387,1.33,13.1691,0.741
0,20240220,6.46,0.7059,0.49,13.2719,0.7468
0,20240221,6.56,1.122,0.85,13.4773,0.7583
0,20240222,6.55,0.6567,0.52,13.4568,0.7572
0,20240223,6.57,0.6005,0.52,13.4979,0.7595
0,20240226,6.56,0.6866,0.71,13.4773,0.7583
0,20240227,6.58,0.7508,1.0,13.5184,0.7606
0,20240228,6.41,1.0924,1.43,13.1691,0.741
0,20240229,6.47,0.8105,1.07,13.2924,0.7479
0,20240301,6.47,0.758,0.96,13.2924,0.7479
0,20240304,6.37,0.8241,1.01,13.087,0.7363
0,20240305,6.25,0.7723,0.91,12.8404,0.7225
0,20240306,6.27,0.5154,0.61,12.8815,0.7248
0,20240307,6.28,0.583,0.79,12.9021,0.7259
0,20240308,6.3,0.4679,0.68,12.9432,0.7283
0,20240311,6.32,0.5002,0.79,12.9842,0.7306
0,20240312,6.42,0.6716,1.18,13.1897,0.7421
0,20240313,6.34,0.4768,0.87,13.0253,0.7329
0,20240314,6.35,0.4524,0.84,13.0459,0.734
0,20240315,6.4,0.4891,0.95,13.1486,0.7398
0,20240318,6.45,0.5871,1.13,13.2513,0.7456
0,20240319,6.45,0.6481,1.21,13.2513,0.7456
0,20240320,6.47,0.4248,0.8,13.2924,0.7479
0,20240321,6.45,0.3729,0.72,13.2513,0.7456
0,20240322,6.35,0.4947,0.98,13.0459,0.734
0,20240325,6.32,0.4902,0.97,12.9842,0.7306
0,20240326,6.36,0.493,1.01,13.0664,0.7352
0,20240327,6.21,0.6177,1.36,12.7583,0.7179
0,20240328,6.02,1.213,2.46,20.9999,0.7029
0,20240329,6.05,0.6807,1.03,21.1045,0.7065
0,20240401,6.18,0.7647,1.09,21.558,0.7216
0,20240402,6.2,0.5756,0.76,21.6278,0.724
0,20240403,6.22,0.6342,0.82,21.6975,0.7263
