,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.02,2.1959,1.48,31.3191,3.124
0,20240103,16.02,1.4239,0.81,31.3191,3.124
0,20240104,15.95,1.4692,0.81,31.1822,3.1104
0,20240105,15.78,1.8086,0.94,30.8499,3.0772
0,20240108,15.43,1.3489,0.72,30.1656,3.0089
0,20240109,15.59,1.7431,1.06,30.4784,3.0401
0,20240110,15.58,1.7012,1.09,30.4589,3.0382
0,20240111,15.74,1.5788,0.98,30.7717,3.0694
0,20240112,15.73,1.6815,1.03,30.7521,3.0675
0,20240115,15.7,1.4713,0.91,30.6935,3.0616
0,20240116,15.8,2.0836,1.27,30.889,3.0811
0,20240117,15.31,3.3928,1.99,29.931,2.9855
0,20240118,15.09,2.8618,1.4,29.5009,2.9426
0,20240119,14.75,1.9704,0.86,28.8362,2.8763
0,20240122,13.75,2.8407,1.21,26.8812,2.6813
0,20240123,13.58,1.9341,0.74,26.5489,2.6482
0,20240124,13.84,2.5135,0.97,27.0572,2.6989
0,20240125,14.37,2.3089,0.95,28.0933,2.8022
0,20240126,14.43,1.7272,0.75,28.2106,2.8139
0,20240129,13.92,1.5262,0.67,27.2136,2.7145
0,20240130,13.54,1.7574,0.88,26.4707,2.6404
0,20240131,12.63,3.596,1.83,24.6916,2.4629
0,20240201,12.47,2.4944,1.14,24.3788,2.4317
0,20240202,11.8,2.588,1.17,23.069,2.3011
0,20240205,10.62,3.5901,1.5,20.7621,2.071
0,20240206,10.58,4.157,1.48,20.6839,2.0632
0,20240207,10.06,5.0149,1.53,19.6673,1.9618
0,20240208,11.07,5.227,1.46,21.6418,2.1587
0,20240219,11.49,4.1406,1.01,22.4629,2.2406
0,20240220,11.57,1.91,0.43,22.6193,2.2562
0,20240221,11.74,2.8193,0.69,22.9517,2.2894
0,20240222,12.0,2.0691,0.54,23.46,2.3401
0,20240223,12.4,2.6701,0.83,24.242,2.4181
0,20240226,12.83,3.2922,1.21,25.0826,2.5019
0,20240227,12.96,2.6259,1.03,25.3368,2.5273
0,20240228,12.07,5.1687,1.92,23.5968,2.3537
0,20240229,12.5,3.4409,1.09,24.4375,2.4376
0,20240301,12.98,3.4364,1.0,25.3759,2.5312
0,20240304,12.88,3.3823,0.94,25.1804,2.5117
0,20240305,12.55,2.3774,0.66,24.5352,2.4473
0,20240306,13.0,4.3024,1.21,25.415,2.5351
0,20240307,12.67,3.3673,0.99,24.7698,2.4707
0,20240308,12.9,2.1634,0.64,25.2195,2.5156
0,20240311,13.19,2.96,1.0,25.7864,2.5721
0,20240312,13.29,2.3105,0.8,25.9819,2.5916
0,20240313,13.26,1.5328,0.53,25.9233,2.5858
0,20240314,13.15,1.9853,0.82,25.7082,2.5643
0,20240315,13.21,1.7762,0.82,25.8255,2.576
0,20240318,13.53,2.5861,1.22,26.4511,2.6384
0,20240319,13.61,2.4227,1.19,26.6075,2.654
0,20240320,13.71,1.7039,0.83,26.803,2.6735
0,20240321,13.61,2.6305,1.26,26.6075,2.654
0,20240322,13.32,2.3008,1.03,26.0406,2.5975
0,20240325,13.03,2.2016,0.95,25.4736,2.5409
0,20240326,13.14,1.557,0.69,25.6887,2.5624
0,20240327,12.6,1.6498,0.79,24.633,2.4571
0,20240328,12.93,1.5404,0.74,25.2781,2.5214
0,20240329,12.99,1.3968,0.76,25.3954,2.5331
0,20240401,13.33,1.8307,1.1,26.0601,2.5994
0,20240402,13.46,1.9173,1.2,26.3143,2.6248
0,20240403,13.35,1.4114,0.85,26.0992,2.6033
