,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.22,1.5809,1.73,,3.5651
0,20240103,13.39,1.2529,1.19,,3.6109
0,20240104,13.3,0.7673,0.68,,3.5866
0,20240105,13.24,0.8759,0.76,,3.5705
0,20240108,12.67,1.5088,1.34,,3.4167
0,20240109,12.78,0.845,0.71,,3.4464
0,20240110,12.47,0.8149,0.78,,3.3628
0,20240111,12.65,0.8885,0.92,,3.4114
0,20240112,12.54,0.7461,0.76,,3.3817
0,20240115,12.72,0.8861,0.92,,3.4302
0,20240116,12.75,0.8823,1.06,,3.4383
0,20240117,12.39,0.8341,0.99,,3.3412
0,20240118,12.23,1.373,1.62,,3.2981
0,20240119,12.31,0.8639,0.91,,3.3197
0,20240122,11.5,1.2129,1.25,,3.1012
0,20240123,11.65,0.878,0.85,,3.1417
0,20240124,11.85,0.9105,0.88,,3.1956
0,20240125,12.13,0.9018,0.86,,3.2711
0,20240126,12.12,0.7597,0.8,,3.2684
0,20240129,11.97,0.7685,0.82,,3.228
0,20240130,11.52,0.9086,1.08,,3.1066
0,20240131,11.07,1.0024,1.18,,2.9853
0,20240201,10.81,1.0961,1.26,,2.9152
0,20240202,10.56,1.3935,1.54,,2.8477
0,20240205,10.02,1.7039,1.65,,2.7021
0,20240206,10.93,1.6535,1.35,,2.9475
0,20240207,11.71,1.9481,1.42,,3.1579
0,20240208,11.98,2.0058,1.29,,3.2307
0,20240219,11.8,1.7891,1.03,,3.1821
0,20240220,11.75,0.8727,0.48,,3.1687
0,20240221,11.63,1.297,0.78,,3.1363
0,20240222,11.66,0.9477,0.6,,3.1444
0,20240223,11.8,1.055,0.76,,3.1821
0,20240226,11.7,1.0252,0.86,,3.1552
0,20240227,11.94,1.0711,1.03,,3.2199
0,20240228,11.61,1.5591,1.44,,3.1309
0,20240229,11.95,1.2146,1.07,,3.2226
0,20240301,12.32,1.9129,1.61,,3.3224
0,20240304,12.89,2.7362,2.02,,3.4761
0,20240305,13.03,2.5956,1.53,,3.5138
0,20240306,12.82,1.467,0.73,,3.4572
0,20240307,12.62,1.3235,0.67,,3.4033
0,20240308,12.8,1.01,0.5,,3.4518
0,20240311,13.21,1.6694,0.91,,3.5624
0,20240312,13.08,0.9269,0.57,,3.5273
0,20240313,13.28,1.3976,1.09,,3.5812
0,20240314,13.45,1.8197,1.44,,3.6271
0,20240315,13.85,2.4514,1.8,,3.735
0,20240318,15.16,5.3508,3.24,,4.0882
0,20240319,15.67,4.7652,1.99,,4.2258
0,20240320,15.77,3.4251,1.08,,4.2527
0,20240321,15.84,2.4947,0.7,,4.2716
0,20240322,16.1,2.689,0.73,,4.3417
0,20240325,15.32,2.9813,0.8,,4.1314
0,20240326,15.62,2.4428,0.75,,4.2123
0,20240327,15.35,2.0344,0.72,,4.1395
0,20240328,15.23,1.7649,0.7,,4.1071
0,20240329,15.29,1.9131,0.8,,4.1233
0,20240401,15.58,1.3387,0.6,,4.2015
0,20240402,15.15,1.1795,0.62,,4.0855
0,20240403,15.08,1.2522,0.76,,4.0667
