,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.21,1.2045,1.47,25.741,1.9904
0,20240103,10.15,1.9175,2.02,25.5897,1.9787
0,20240104,9.99,1.1473,0.98,25.1863,1.9475
0,20240105,9.8,1.0238,0.8,24.7073,1.9105
0,20240108,9.53,1.1303,0.9,24.0266,1.8578
0,20240109,9.36,1.3259,1.03,23.598,1.8247
0,20240110,9.32,0.9661,0.74,23.4971,1.8169
0,20240111,9.51,0.9885,0.88,23.9762,1.8539
0,20240112,9.49,0.9198,0.85,23.9257,1.85
0,20240115,9.52,1.332,1.25,24.0014,1.8559
0,20240116,9.55,0.9882,0.89,24.077,1.8617
0,20240117,9.26,1.017,0.98,23.3459,1.8052
0,20240118,9.16,1.5915,1.52,23.0937,1.7857
0,20240119,8.95,1.1033,0.94,22.5643,1.7448
0,20240122,8.36,2.0697,1.72,21.0768,1.6298
0,20240123,8.46,1.5098,1.12,21.3289,1.6493
0,20240124,8.58,1.2015,0.82,21.6315,1.6726
0,20240125,8.85,1.1996,0.8,22.3122,1.7253
0,20240126,8.79,0.8642,0.61,22.1609,1.7136
0,20240129,8.56,1.0365,0.76,21.5811,1.6687
0,20240130,8.22,1.1248,0.97,20.7239,1.6025
0,20240131,7.87,1.5309,1.41,19.8415,1.5342
0,20240201,7.84,1.3374,1.16,19.7658,1.5284
0,20240202,7.45,1.9945,1.69,18.7826,1.4524
0,20240205,6.93,2.5406,1.81,17.4716,1.351
0,20240206,7.47,2.5709,1.51,18.833,1.4563
0,20240207,7.81,2.4879,1.25,19.6902,1.5225
0,20240208,8.22,2.7626,1.26,20.7239,1.6025
0,20240219,8.33,2.3352,0.94,21.0012,1.6239
0,20240220,8.31,1.1207,0.44,20.9508,1.62
0,20240221,8.41,1.4599,0.65,21.2029,1.6395
0,20240222,8.49,1.1539,0.57,21.4046,1.6551
0,20240223,8.57,1.3822,0.78,21.6063,1.6707
0,20240226,8.75,1.6493,1.11,22.0601,1.7058
0,20240227,8.89,1.3534,1.0,22.413,1.7331
0,20240228,8.45,2.186,1.56,21.3037,1.6473
0,20240229,8.8,1.6582,1.07,22.1861,1.7155
0,20240301,9.07,2.6269,1.6,22.8668,1.7682
0,20240304,9.03,1.8795,0.99,22.766,1.7604
0,20240305,9.04,1.5528,0.8,22.7912,1.7623
0,20240306,9.1,1.564,0.79,22.9425,1.774
0,20240307,8.84,1.3858,0.75,22.287,1.7233
0,20240308,8.96,1.1429,0.63,22.5895,1.7467
0,20240311,9.25,2.0506,1.36,23.3207,1.8033
0,20240312,9.16,1.5844,1.03,23.0937,1.7857
0,20240313,9.19,1.0884,0.7,23.1694,1.7916
0,20240314,9.18,1.8095,1.25,23.1442,1.7896
0,20240315,9.28,1.5155,0.99,23.3963,1.8091
0,20240318,9.43,1.3677,0.85,23.7745,1.8384
0,20240319,9.34,1.7304,1.17,23.5476,1.8208
0,20240320,9.49,1.2454,0.83,23.9257,1.85
0,20240321,9.43,1.2293,0.8,23.7745,1.8384
0,20240322,9.34,1.3475,0.95,23.5476,1.8208
0,20240325,9.2,1.3112,0.95,23.1946,1.7935
0,20240326,9.19,1.0818,0.79,23.1694,1.7916
0,20240327,8.86,1.2657,1.02,22.3374,1.7272
0,20240328,8.97,1.1744,0.94,22.6147,1.7487
0,20240329,9.17,0.9182,0.74,23.119,1.7877
0,20240401,9.42,1.2113,1.05,23.7492,1.8364
0,20240402,9.47,1.5303,1.35,23.8753,1.8462
0,20240403,9.13,1.4678,1.2,23.0181,1.7799
