,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.53,0.5449,1.21,188.1953,1.328
0,20240103,4.51,0.3564,0.72,187.3644,1.3222
0,20240104,4.46,0.4738,0.96,185.2872,1.3075
0,20240105,4.42,0.3765,0.79,183.6255,1.2958
0,20240108,4.35,0.4618,1.0,180.7174,1.2753
0,20240109,4.36,0.325,0.73,181.1328,1.2782
0,20240110,4.39,0.4263,1.07,182.3791,1.287
0,20240111,4.45,0.3486,0.84,184.8718,1.3046
0,20240112,4.47,0.4485,1.16,185.7027,1.3105
0,20240115,4.44,0.444,1.1,184.4563,1.3017
0,20240116,4.44,0.3928,0.99,184.4563,1.3017
0,20240117,4.33,0.3282,0.8,179.8865,1.2694
0,20240118,4.24,0.7348,1.87,176.1475,1.243
0,20240119,4.22,0.3124,0.67,175.3166,1.2372
0,20240122,3.99,0.7518,1.7,165.7614,1.1697
0,20240123,3.99,0.5749,1.14,165.7614,1.1697
0,20240124,4.12,0.4745,0.88,171.1622,1.2078
0,20240125,4.22,0.4227,0.74,175.3166,1.2372
0,20240126,4.26,0.6475,1.28,176.9784,1.2489
0,20240129,4.17,0.4178,0.73,173.2394,1.2225
0,20240130,4.1,0.4565,0.9,170.3313,1.202
0,20240131,3.96,0.5626,1.16,164.5151,1.1609
0,20240201,3.92,0.4663,0.93,162.8533,1.1492
0,20240202,3.84,0.92,1.8,159.5298,1.1258
0,20240205,3.59,0.998,1.77,149.1438,1.0525
0,20240206,3.69,0.8063,1.18,153.2982,1.0818
0,20240207,3.62,0.8918,1.19,150.3901,1.0613
0,20240208,3.89,1.0127,1.24,161.607,1.1404
0,20240219,3.94,0.8309,0.9,163.6842,1.1551
0,20240220,3.94,0.4129,0.45,163.6842,1.1551
0,20240221,3.98,0.5345,0.68,165.346,1.1668
0,20240222,4.01,0.3886,0.53,166.5923,1.1756
0,20240223,4.06,0.4113,0.65,168.6695,1.1903
0,20240226,4.05,0.434,0.84,168.2541,1.1873
0,20240227,4.08,0.3941,0.9,169.5004,1.1961
0,20240228,3.97,0.7421,1.72,164.9306,1.1639
0,20240229,4.03,0.553,1.17,167.4232,1.1815
0,20240301,4.12,0.5903,1.16,171.1622,1.2078
0,20240304,4.04,0.5067,0.93,167.8387,1.1844
0,20240305,3.99,0.3971,0.71,165.7614,1.1697
0,20240306,4.11,0.7048,1.26,170.7468,1.2049
0,20240307,4.06,0.5648,1.03,168.6695,1.1903
0,20240308,4.05,0.2669,0.48,168.2541,1.1873
0,20240311,4.09,0.2956,0.61,169.9159,1.1991
0,20240312,4.13,0.3707,0.83,171.5776,1.2108
0,20240313,4.1,0.4184,0.95,170.3313,1.202
0,20240314,4.08,0.4157,1.08,169.5004,1.1961
0,20240315,4.12,0.3241,0.92,171.1622,1.2078
0,20240318,4.16,0.3502,0.96,172.824,1.2196
0,20240319,4.16,0.3721,0.99,172.824,1.2196
0,20240320,4.23,0.6161,1.64,175.7321,1.2401
0,20240321,4.26,0.2773,0.67,176.9784,1.2489
0,20240322,4.17,0.2768,0.71,173.2394,1.2225
0,20240325,4.14,0.4472,1.18,171.9931,1.2137
0,20240326,4.15,0.3177,0.8,172.4085,1.2166
0,20240327,4.12,0.3249,0.84,171.1622,1.2078
0,20240328,4.12,0.3172,0.96,171.1622,1.2078
0,20240329,4.15,0.2242,0.67,172.4085,1.2166
0,20240401,4.21,0.319,0.98,174.9012,1.2342
0,20240402,4.26,0.3999,1.33,176.9784,1.2489
0,20240403,4.3,0.3334,1.05,178.6402,1.2606
