,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.68,0.7719,2.39,15.921,0.9368
0,20240103,14.74,0.509,1.28,15.9861,0.9406
0,20240104,14.67,0.4016,0.9,15.9102,0.9362
0,20240105,14.5,0.4001,0.83,15.7258,0.9253
0,20240108,14.31,0.4944,1.02,15.5197,0.9132
0,20240109,14.49,0.3926,0.76,15.7149,0.9247
0,20240110,14.4,0.3172,0.72,15.6173,0.9189
0,20240111,14.74,0.6113,1.52,15.9861,0.9406
0,20240112,14.91,0.8514,1.92,16.1704,0.9515
0,20240115,15.08,0.9001,1.69,16.3548,0.9623
0,20240116,15.28,1.2593,2.05,16.5717,0.9751
0,20240117,15.25,1.2465,1.58,16.5392,0.9732
0,20240118,15.35,1.2739,1.31,16.6476,0.9796
0,20240119,15.1,0.7997,0.72,16.3765,0.9636
0,20240122,14.52,0.9989,0.91,15.7475,0.9266
0,20240123,14.58,0.857,0.77,15.8126,0.9304
0,20240124,14.75,0.8192,0.79,15.9969,0.9413
0,20240125,15.09,0.8681,0.91,16.3657,0.963
0,20240126,15.0,0.6217,0.72,16.2681,0.9572
0,20240129,14.84,0.6894,0.83,16.0945,0.947
0,20240130,14.41,1.2743,1.65,15.6282,0.9196
0,20240131,14.26,1.0208,1.19,15.4655,0.91
0,20240201,14.02,1.0976,1.23,15.2052,0.8947
0,20240202,13.52,1.1532,1.23,14.6629,0.8628
0,20240205,12.63,1.7016,1.63,13.6977,0.806
0,20240206,13.53,1.413,1.13,14.6738,0.8634
0,20240207,14.49,1.5414,1.21,15.7149,0.9247
0,20240208,15.15,2.0735,1.5,16.4307,0.9668
0,20240219,15.3,1.4039,0.89,16.5934,0.9764
0,20240220,15.3,0.8256,0.51,16.5934,0.9764
0,20240221,15.61,1.5243,1.05,16.9296,0.9961
0,20240222,15.56,0.8985,0.61,16.8754,0.993
0,20240223,15.67,0.851,0.63,16.9947,1.0
0,20240226,15.64,0.9468,0.86,16.9622,0.9981
0,20240227,15.8,0.8969,0.89,17.1357,1.0083
0,20240228,15.38,1.2802,1.25,16.6802,0.9815
0,20240229,16.22,1.6467,1.69,17.5912,1.0351
0,20240301,16.07,1.5899,1.41,17.4285,1.0255
0,20240304,16.23,1.1117,0.87,17.602,1.0357
0,20240305,16.21,0.8723,0.67,17.5803,1.0344
0,20240306,16.3,0.7472,0.57,17.678,1.0402
0,20240307,16.1,0.8609,0.72,17.461,1.0274
0,20240308,16.39,0.7287,0.7,17.7756,1.0459
0,20240311,16.55,0.9255,1.07,17.9491,1.0561
0,20240312,16.34,0.8204,0.99,17.7213,1.0427
0,20240313,16.25,0.7529,0.92,17.6237,1.037
0,20240314,16.05,0.8152,1.0,17.4068,1.0242
0,20240315,16.37,0.9085,1.12,17.7539,1.0446
0,20240318,16.48,0.7961,0.94,17.8732,1.0517
0,20240319,16.27,0.6664,0.81,17.6454,1.0383
0,20240320,16.23,0.5132,0.65,17.602,1.0357
0,20240321,16.09,0.6166,0.83,17.4502,1.0268
0,20240322,15.99,0.5962,0.85,17.3417,1.0204
0,20240325,15.8,0.5712,0.9,17.1357,1.0083
0,20240326,16.05,0.7787,1.31,17.4068,1.0242
0,20240327,15.75,0.6911,1.12,17.0815,1.0051
0,20240328,16.08,0.6628,1.02,17.4394,1.0261
0,20240329,16.19,0.6515,0.99,17.5587,1.0332
0,20240401,16.5,1.24,1.85,17.8949,1.0529
0,20240402,16.55,0.905,1.12,17.9491,1.0561
0,20240403,16.77,1.0065,1.21,18.1877,1.0702
