,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,16.1,4.1518,0.69,17.188,2.3693
0,20240103,15.92,4.9784,0.85,16.9958,2.3428
0,20240104,16.63,10.3787,1.82,17.7538,2.4473
0,20240105,16.36,6.6629,1.14,17.4655,2.4075
0,20240108,16.7,5.964,0.99,17.8285,2.4576
0,20240109,16.56,4.0782,0.63,17.6791,2.437
0,20240110,16.38,3.8331,0.6,17.4869,2.4105
0,20240111,16.78,6.1627,1.0,17.9139,2.4694
0,20240112,16.28,4.8379,0.91,17.3801,2.3958
0,20240115,16.02,3.3148,0.67,17.1026,2.3575
0,20240116,16.09,3.6927,0.83,17.1773,2.3678
0,20240117,15.51,2.3591,0.54,16.5581,2.2825
0,20240118,15.05,2.9518,0.72,16.067,2.2148
0,20240119,15.64,3.6212,1.06,16.6969,2.3016
0,20240122,14.77,3.2571,1.02,15.7681,2.1736
0,20240123,15.65,3.466,1.09,16.7076,2.3031
0,20240124,16.48,5.9436,1.9,17.5937,2.4252
0,20240125,17.29,10.6121,2.76,18.4584,2.5444
0,20240126,19.02,15.2764,2.84,20.3053,2.799
0,20240129,17.93,16.308,2.11,19.1416,2.6386
0,20240130,16.14,6.0537,0.59,17.2307,2.3752
0,20240131,14.53,6.7143,0.62,15.5119,2.1382
0,20240201,13.08,4.8902,0.44,13.9639,1.9249
0,20240202,13.3,5.9175,0.6,14.1988,1.9572
0,20240205,11.97,2.7883,0.35,12.7789,1.7615
0,20240206,11.51,5.453,1.03,12.2878,1.6938
0,20240207,12.66,4.1679,0.81,13.5155,1.863
0,20240208,13.15,6.3491,1.37,14.0386,1.9352
0,20240219,13.1,4.9949,1.01,13.9852,1.9278
0,20240220,13.27,4.4826,0.94,14.1667,1.9528
0,20240221,13.4,3.8232,0.75,14.3055,1.9719
0,20240222,13.41,3.2522,0.68,14.3162,1.9734
0,20240223,13.61,3.164,0.69,14.5297,2.0029
0,20240226,13.8,4.0543,1.03,14.7325,2.0308
0,20240227,14.29,3.5865,0.96,15.2557,2.1029
0,20240228,13.95,7.2583,2.03,14.8927,2.0529
0,20240229,14.38,4.9363,1.16,15.3517,2.1162
0,20240301,14.19,3.2705,0.71,15.1489,2.0882
0,20240304,13.9,2.6965,0.58,14.8393,2.0455
0,20240305,13.46,2.2964,0.53,14.3696,1.9808
0,20240306,13.83,2.2746,0.56,14.7646,2.0352
0,20240307,13.74,1.8694,0.6,14.6685,2.022
0,20240308,14.03,1.6503,0.67,14.9781,2.0647
0,20240311,13.93,2.4627,1.14,14.8713,2.0499
0,20240312,13.95,2.4127,1.14,14.8927,2.0529
0,20240313,13.76,1.7877,0.84,14.6898,2.0249
0,20240314,13.49,2.0856,1.02,14.4016,1.9852
0,20240315,13.88,2.0151,0.97,14.818,2.0426
0,20240318,14.05,1.9763,0.92,14.9994,2.0676
0,20240319,14.55,4.1618,2.02,15.5332,2.1412
0,20240320,14.28,2.7327,1.14,15.245,2.1014
0,20240321,14.21,1.6303,0.63,15.1703,2.0911
0,20240322,13.75,2.1548,0.86,14.6792,2.0235
0,20240325,13.15,2.1451,0.85,14.0386,1.9352
0,20240326,13.09,1.9736,0.77,13.9746,1.9263
0,20240327,12.94,2.0918,0.98,13.8144,1.9043
0,20240328,13.33,3.0582,1.53,14.2308,1.9616
0,20240329,13.42,1.6745,0.73,14.3269,1.9749
0,20240401,13.51,1.111,0.51,14.423,1.9881
0,20240402,13.62,1.2869,0.65,14.5404,2.0043
0,20240403,13.93,2.5237,1.37,14.8713,2.0499
