,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.14,0.4054,0.87,50.8744,0.9872
0,20240103,8.18,0.298,0.64,51.1244,0.9921
0,20240104,8.1,0.3659,0.84,50.6244,0.9823
0,20240105,8.06,0.3882,0.92,50.3744,0.9775
0,20240108,7.9,0.4869,1.27,49.3744,0.9581
0,20240109,7.87,0.3774,0.97,49.1869,0.9545
0,20240110,7.79,0.3886,1.01,48.6869,0.9448
0,20240111,7.88,0.4262,1.06,49.2494,0.9557
0,20240112,7.82,0.3838,0.93,48.8744,0.9484
0,20240115,7.79,0.3382,0.82,48.6869,0.9448
0,20240116,7.88,0.5203,1.36,49.2494,0.9557
0,20240117,7.74,0.4727,1.15,48.3744,0.9387
0,20240118,7.7,0.8446,1.97,48.1244,0.9338
0,20240119,7.61,0.5176,1.01,47.5619,0.9229
0,20240122,7.29,0.6383,1.18,45.5619,0.8841
0,20240123,7.52,0.6815,1.14,46.9994,0.912
0,20240124,7.79,1.0083,1.6,48.6869,0.9448
0,20240125,7.95,1.0934,1.48,49.6869,0.9642
0,20240126,8.09,1.4656,1.86,50.5619,0.9811
0,20240129,7.95,2.0881,2.14,49.6869,0.9642
0,20240130,7.83,1.8305,1.44,48.9369,0.9496
0,20240131,7.93,1.5762,1.05,49.5619,0.9617
0,20240201,7.8,1.3593,0.84,48.7494,0.946
0,20240202,7.58,1.3242,0.8,47.3744,0.9193
0,20240205,7.34,1.3434,0.82,45.8744,0.8902
0,20240206,7.9,1.5613,1.05,49.3744,0.9581
0,20240207,8.2,1.8701,1.31,51.2494,0.9945
0,20240208,8.14,1.773,1.19,50.8744,0.9872
0,20240219,7.99,1.3105,0.83,49.9369,0.969
0,20240220,8.06,0.9795,0.62,50.3744,0.9775
0,20240221,8.11,1.4278,0.95,50.6869,0.9836
0,20240222,8.15,0.9086,0.62,50.9369,0.9884
0,20240223,8.26,1.1877,0.93,51.6244,1.0018
0,20240226,8.22,0.8784,0.76,51.3744,0.9969
0,20240227,8.43,1.2485,1.16,52.6869,1.0224
0,20240228,8.28,2.0602,1.82,51.7494,1.0042
0,20240229,8.49,1.2733,1.01,53.0618,1.0296
0,20240301,8.53,1.0638,0.8,53.3118,1.0345
0,20240304,8.38,0.9237,0.71,52.3744,1.0163
0,20240305,8.26,0.8202,0.62,51.6244,1.0018
0,20240306,8.28,0.7122,0.58,51.7494,1.0042
0,20240307,8.18,0.7294,0.76,51.1244,0.9921
0,20240308,8.2,0.5931,0.7,51.2494,0.9945
0,20240311,8.3,0.6398,0.85,51.8744,1.0066
0,20240312,8.32,0.7645,1.09,51.9994,1.009
0,20240313,8.19,0.8136,1.18,51.1869,0.9933
0,20240314,8.15,0.6123,0.86,50.9369,0.9884
0,20240315,8.24,0.6414,0.94,51.4994,0.9993
0,20240318,8.43,1.0954,1.58,52.6869,1.0224
0,20240319,8.3,0.6179,0.79,51.8744,1.0066
0,20240320,8.35,0.5733,0.76,52.1869,1.0127
0,20240321,8.37,0.7039,0.99,52.3119,1.0151
0,20240322,8.21,0.7694,1.06,51.3119,0.9957
0,20240325,7.98,0.8199,1.09,49.8744,0.9678
0,20240326,8.0,0.4245,0.61,49.9994,0.9702
0,20240327,7.83,0.4907,0.75,48.9369,0.9496
0,20240328,7.89,0.5136,0.8,49.3119,0.9569
0,20240329,7.99,0.4673,0.77,49.9369,0.969
0,20240401,8.11,0.6081,1.12,50.6869,0.9836
0,20240402,8.08,0.4927,0.98,50.4994,0.9799
0,20240403,8.05,0.345,0.67,50.3119,0.9763
