,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,25.74,2.256,0.61,32.0849,2.2563
0,20240103,26.36,8.6656,2.37,32.8578,2.3107
0,20240104,25.39,4.4956,0.89,31.6487,2.2256
0,20240105,24.74,3.4256,0.72,30.8384,2.1687
0,20240108,24.08,2.4615,0.55,30.0157,2.1108
0,20240109,24.18,2.0042,0.47,30.1404,2.1196
0,20240110,23.57,1.9351,0.46,29.38,2.0661
0,20240111,24.09,1.7089,0.6,30.0282,2.1117
0,20240112,23.54,1.4817,0.64,29.3426,2.0635
0,20240115,23.54,1.1705,0.61,29.3426,2.0635
0,20240116,23.43,1.5886,0.96,29.2055,2.0538
0,20240117,22.84,1.0052,0.64,28.4701,2.0021
0,20240118,22.75,2.2723,1.63,28.3579,1.9942
0,20240119,22.77,3.1794,2.11,28.3828,1.996
0,20240122,21.68,4.4043,2.39,27.0241,1.9004
0,20240123,21.67,2.5514,1.02,27.0117,1.8995
0,20240124,21.98,1.9421,0.72,27.3981,1.9267
0,20240125,22.76,2.1825,0.76,28.3704,1.9951
0,20240126,22.93,2.3922,0.84,28.5823,2.01
0,20240129,21.84,1.9195,0.71,27.2236,1.9144
0,20240130,21.07,1.4902,0.68,26.2638,1.8469
0,20240131,19.7,2.3004,1.16,24.5561,1.7269
0,20240201,19.47,2.1414,1.04,24.2694,1.7067
0,20240202,18.5,2.0416,1.0,23.0603,1.6217
0,20240205,16.65,3.0931,1.56,20.7542,1.4595
0,20240206,15.93,4.0277,1.82,19.8568,1.3964
0,20240207,14.65,4.8094,1.77,18.2612,1.2842
0,20240208,16.12,5.5725,1.73,20.0936,1.413
0,20240219,17.11,4.4417,1.14,21.3276,1.4998
0,20240220,17.58,2.9844,0.68,21.9135,1.541
0,20240221,17.99,3.9836,0.91,22.4245,1.577
0,20240222,18.81,4.3149,0.99,23.4467,1.6488
0,20240223,19.42,3.9982,0.94,24.207,1.7023
0,20240226,21.36,4.5565,1.16,26.6253,1.8724
0,20240227,23.5,2.5388,0.64,29.2928,2.06
0,20240228,21.15,14.808,3.82,26.3635,1.854
0,20240229,22.26,10.2624,1.7,27.7471,1.9513
0,20240301,21.64,8.0007,1.11,26.9743,1.8969
0,20240304,21.78,6.1629,0.77,27.1488,1.9092
0,20240305,21.04,4.3882,0.53,26.2264,1.8443
0,20240306,21.17,3.1079,0.36,26.3884,1.8557
0,20240307,20.73,3.9936,0.63,25.84,1.8171
0,20240308,20.93,2.5831,0.5,26.0893,1.8347
0,20240311,21.06,2.1426,0.53,26.2513,1.8461
0,20240312,21.49,3.1061,0.96,26.7873,1.8838
0,20240313,22.19,6.7345,2.25,27.6599,1.9451
0,20240314,21.72,3.5273,0.95,27.074,1.9039
0,20240315,22.11,3.4145,0.94,27.5601,1.9381
0,20240318,23.1,5.4211,1.43,28.7942,2.0249
0,20240319,24.01,6.3366,1.43,29.9285,2.1047
0,20240320,23.19,10.6037,2.08,28.9064,2.0328
0,20240321,22.41,6.2352,1.06,27.9341,1.9644
0,20240322,22.36,3.7664,0.59,27.8718,1.96
0,20240325,24.6,7.9796,1.23,30.6639,2.1564
0,20240326,25.5,16.5692,2.37,31.7858,2.2353
0,20240327,22.95,10.1174,1.12,28.6072,2.0117
0,20240328,23.11,8.6393,0.97,28.8066,2.0258
0,20240329,22.53,6.2723,0.67,28.0837,1.9749
0,20240401,23.51,6.7456,0.68,29.3052,2.0608
0,20240402,22.78,4.6586,0.48,28.3953,1.9968
0,20240403,21.71,4.6478,0.64,27.0615,1.903
