,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.31,0.9846,2.61,,1.1985
0,20240103,5.3,0.484,0.96,,1.1963
0,20240104,5.33,0.4642,0.87,,1.203
0,20240105,5.3,0.5358,1.0,,1.1963
0,20240108,5.19,0.4346,0.77,,1.1714
0,20240109,5.19,0.4143,0.71,,1.1714
0,20240110,5.19,0.4754,1.02,,1.1714
0,20240111,5.24,0.5562,1.2,,1.1827
0,20240112,5.34,1.0711,2.22,,1.2053
0,20240115,5.2,0.7181,1.22,,1.1737
0,20240116,5.14,0.5862,0.91,,1.1602
0,20240117,5.05,0.3958,0.58,,1.1398
0,20240118,4.9,1.0421,1.57,,1.106
0,20240119,4.84,0.4618,0.61,,1.0924
0,20240122,4.57,0.668,1.04,,1.0315
0,20240123,4.61,0.6085,0.96,,1.0405
0,20240124,4.74,0.6326,1.0,,1.0699
0,20240125,4.93,0.5854,0.86,,1.1128
0,20240126,4.97,0.5734,0.97,,1.1218
0,20240129,4.86,0.5617,0.92,,1.097
0,20240130,4.76,0.4782,0.81,,1.0744
0,20240131,4.58,0.6775,1.2,,1.0338
0,20240201,4.41,0.8085,1.41,,0.9954
0,20240202,4.12,1.0852,1.75,,0.9299
0,20240205,4.32,2.5138,3.48,,0.9751
0,20240206,4.01,2.2735,2.04,,0.9051
0,20240207,4.07,2.613,1.78,,0.9186
0,20240208,4.19,1.3119,0.71,,0.9457
0,20240219,4.23,0.798,0.41,,0.9548
0,20240220,4.21,0.4288,0.23,,0.9502
0,20240221,4.26,0.9253,0.62,,0.9615
0,20240222,4.31,0.5508,0.45,,0.9728
0,20240223,4.34,0.7068,0.88,,0.9796
0,20240226,4.49,1.451,2.13,,1.0134
0,20240227,4.55,0.8218,1.01,,1.027
0,20240228,4.35,1.2046,1.35,,0.9818
0,20240229,4.45,0.5997,0.63,,1.0044
0,20240301,4.41,0.5251,0.55,,0.9954
0,20240304,4.41,0.7093,0.77,,0.9954
0,20240305,4.36,0.7468,0.97,,0.9841
0,20240306,4.37,0.467,0.62,,0.9864
0,20240307,4.38,0.5991,0.98,,0.9886
0,20240308,4.34,0.3987,0.65,,0.9796
0,20240311,4.4,0.4535,0.78,,0.9931
0,20240312,4.45,0.6025,1.13,,1.0044
0,20240313,4.42,0.4358,0.86,,0.9976
0,20240314,4.49,1.5097,3.03,,1.0134
0,20240315,4.94,2.767,4.07,,1.115
0,20240318,5.02,4.2119,3.65,,1.1331
0,20240319,4.86,2.3872,1.25,,1.097
0,20240320,5.06,2.8471,1.26,,1.1421
0,20240321,4.96,1.601,0.58,,1.1195
0,20240322,4.81,1.2356,0.45,,1.0857
0,20240325,4.65,0.8002,0.33,,1.0496
0,20240326,4.7,0.9127,0.51,,1.0608
0,20240327,4.55,0.7444,0.5,,1.027
0,20240328,4.59,0.7739,0.73,,1.1283
0,20240329,4.71,1.2101,1.35,,1.1578
0,20240401,4.96,1.4757,1.66,,1.2192
0,20240402,4.95,1.053,1.03,,1.2167
0,20240403,4.94,0.8995,0.86,,1.2143
