,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.05,1.1366,1.22,26.501,1.5499
0,20240103,6.04,1.0301,1.09,26.4572,1.5474
0,20240104,6.04,0.8206,0.87,26.4572,1.5474
0,20240105,5.98,0.9915,1.06,26.1944,1.532
0,20240108,5.88,0.7578,0.76,25.7563,1.5064
0,20240109,5.96,0.834,0.88,26.1068,1.5269
0,20240110,5.9,0.8658,0.98,25.8439,1.5115
0,20240111,5.94,1.7517,2.05,26.0192,1.5217
0,20240112,5.89,0.9531,0.92,25.8001,1.5089
0,20240115,5.93,0.8387,0.81,25.9754,1.5192
0,20240116,5.88,0.8495,0.81,25.7563,1.5064
0,20240117,5.74,0.7211,0.69,25.1431,1.4705
0,20240118,5.54,1.7477,1.71,24.267,1.4193
0,20240119,5.43,1.175,1.15,23.7852,1.3911
0,20240122,5.1,1.334,1.25,22.3397,1.3065
0,20240123,5.04,1.7268,1.48,22.0769,1.2912
0,20240124,5.1,1.4085,1.05,22.3397,1.3065
0,20240125,5.31,1.5414,1.04,23.2596,1.3603
0,20240126,5.35,1.1311,0.79,23.4348,1.3706
0,20240129,5.2,1.0362,0.73,22.7777,1.3322
0,20240130,5.05,1.2139,0.89,22.1207,1.2937
0,20240131,4.79,1.8697,1.48,20.9818,1.2271
0,20240201,4.64,1.7635,1.3,20.3247,1.1887
0,20240202,4.41,1.8949,1.35,19.3173,1.1298
0,20240205,3.97,2.591,1.67,17.3899,1.0171
0,20240206,3.86,3.2219,1.73,16.9081,0.9889
0,20240207,3.63,3.5057,1.55,15.9006,0.9299
0,20240208,3.99,3.2247,1.24,17.4775,1.0222
0,20240219,4.3,3.9056,1.35,18.8354,1.1016
0,20240220,4.24,1.3916,0.42,18.5726,1.0862
0,20240221,4.36,1.9226,0.63,19.0982,1.117
0,20240222,4.42,1.3342,0.48,19.3611,1.1323
0,20240223,4.56,1.6087,0.68,19.9743,1.1682
0,20240226,4.7,1.6792,0.83,20.5876,1.2041
0,20240227,4.76,1.1648,0.73,20.8504,1.2194
0,20240228,4.36,3.4118,2.21,19.0982,1.117
0,20240229,4.52,2.1096,1.15,19.7991,1.158
0,20240301,4.61,1.4152,0.71,20.1933,1.181
0,20240304,4.6,1.3887,0.71,20.1495,1.1784
0,20240305,4.48,1.1096,0.58,19.6239,1.1477
0,20240306,4.6,1.293,0.69,20.1495,1.1784
0,20240307,4.63,1.3925,0.95,20.2809,1.1861
0,20240308,4.65,1.1355,0.86,20.3685,1.1913
0,20240311,4.7,1.047,0.83,20.5876,1.2041
0,20240312,4.75,1.6386,1.37,20.8066,1.2169
0,20240313,4.75,1.099,0.84,20.8066,1.2169
0,20240314,4.75,1.0581,0.84,20.8066,1.2169
0,20240315,4.83,1.068,0.89,21.157,1.2374
0,20240318,4.93,1.1019,0.93,21.595,1.263
0,20240319,4.95,1.2701,1.06,21.6826,1.2681
0,20240320,4.97,0.8421,0.75,21.7702,1.2732
0,20240321,4.95,0.9062,0.85,21.6826,1.2681
0,20240322,4.89,1.1235,1.08,21.4198,1.2527
0,20240325,4.78,1.1005,1.05,20.938,1.2246
0,20240326,4.84,1.063,1.01,21.2008,1.2399
0,20240327,4.71,0.8664,0.86,20.6314,1.2066
0,20240328,4.77,1.1476,1.13,20.8942,1.222
0,20240329,4.87,1.0195,0.96,21.3322,1.2476
0,20240401,5.01,1.0741,1.03,21.9455,1.2835
0,20240402,5.05,1.0924,1.06,22.1207,1.2937
0,20240403,5.02,0.932,0.9,21.9893,1.286
