,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.83,0.9076,1.33,40.9002,1.4311
0,20240103,5.81,0.6634,0.88,40.7599,1.4261
0,20240104,5.74,0.476,0.62,40.2688,1.409
0,20240105,5.67,0.7082,0.94,39.7777,1.3918
0,20240108,5.56,0.6973,0.95,39.006,1.3648
0,20240109,5.57,0.5088,0.74,39.0762,1.3672
0,20240110,5.52,0.5074,0.83,38.7254,1.355
0,20240111,5.62,0.5721,0.99,39.427,1.3795
0,20240112,5.56,0.4882,0.82,39.006,1.3648
0,20240115,5.57,0.4015,0.72,39.0762,1.3672
0,20240116,5.6,0.7719,1.56,39.2867,1.3746
0,20240117,5.58,0.8498,1.55,39.1464,1.3697
0,20240118,5.42,1.1625,1.88,38.0239,1.3304
0,20240119,5.35,0.4511,0.61,37.5328,1.3132
0,20240122,5.89,1.9115,2.63,41.3212,1.4458
0,20240123,6.03,6.866,6.67,42.3033,1.4801
0,20240124,6.4,5.8994,2.62,44.899,1.571
0,20240125,6.2,4.9861,1.53,43.496,1.5219
0,20240126,5.99,3.2232,0.8,42.0227,1.4703
0,20240129,5.63,2.5406,0.56,39.4971,1.382
0,20240130,5.67,1.7298,0.37,39.7777,1.3918
0,20240131,5.42,1.7082,0.46,38.0239,1.3304
0,20240201,5.47,1.1376,0.4,38.3747,1.3427
0,20240202,5.35,1.6441,0.8,37.5328,1.3132
0,20240205,5.0,1.6363,0.93,35.0774,1.2273
0,20240206,5.24,1.4858,0.95,36.7611,1.2862
0,20240207,5.5,2.0042,1.32,38.5851,1.35
0,20240208,5.56,1.6383,1.04,39.006,1.3648
0,20240219,5.57,1.1763,0.7,39.0762,1.3672
0,20240220,5.54,0.9529,0.6,38.8657,1.3599
0,20240221,5.92,3.7432,2.58,41.5316,1.4531
0,20240222,5.87,2.418,1.27,41.1808,1.4409
0,20240223,5.92,2.2283,1.12,41.5316,1.4531
0,20240226,5.95,2.4872,1.18,41.7421,1.4605
0,20240227,6.09,2.9097,1.23,42.7242,1.4949
0,20240228,5.79,3.1688,1.15,40.6196,1.4212
0,20240229,6.07,2.6029,0.99,42.5839,1.49
0,20240301,6.05,1.7806,0.66,42.4436,1.4851
0,20240304,5.95,1.5588,0.6,41.7421,1.4605
0,20240305,6.55,4.1398,1.72,45.9514,1.6078
0,20240306,6.72,9.3757,3.54,47.144,1.6495
0,20240307,6.74,7.4608,1.92,47.2843,1.6544
0,20240308,7.06,8.052,1.66,49.5293,1.733
0,20240311,6.9,5.5326,0.9,48.4068,1.6937
0,20240312,6.75,4.868,0.7,47.3545,1.6569
0,20240313,6.9,6.3421,0.9,48.4068,1.6937
0,20240314,6.87,4.108,0.64,48.1963,1.6863
0,20240315,7.56,9.2528,1.6,53.037,1.8557
0,20240318,8.32,4.7112,0.78,58.3688,2.0423
0,20240319,8.61,14.806,2.53,60.4032,2.1134
0,20240320,9.47,14.8093,1.89,66.4366,2.3245
0,20240321,9.25,12.7259,1.33,64.8932,2.2705
0,20240322,8.67,9.5459,0.85,60.8242,2.1282
0,20240325,8.24,6.9335,0.61,57.8075,2.0226
0,20240326,8.27,5.053,0.43,58.018,2.03
0,20240327,7.7,6.8838,0.7,54.0192,1.8901
0,20240328,8.01,4.6785,0.57,56.194,1.9662
0,20240329,7.88,3.0106,0.45,55.282,1.9342
0,20240401,8.19,5.8938,1.11,57.4567,2.0103
0,20240402,7.89,3.8945,0.76,55.3521,1.9367
0,20240403,7.6,3.4171,0.7,53.3176,1.8655
