,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.26,0.6359,1.42,47.9629,1.258
0,20240103,8.29,0.4275,0.93,48.1371,1.2625
0,20240104,8.37,0.5488,1.16,48.6016,1.2747
0,20240105,8.25,0.538,1.07,47.9048,1.2564
0,20240108,8.11,0.4509,0.88,47.0919,1.2351
0,20240109,8.27,0.5156,0.99,48.021,1.2595
0,20240110,8.31,0.4769,0.96,48.2532,1.2656
0,20240111,8.34,0.3674,0.73,48.4274,1.2701
0,20240112,8.35,0.4933,1.05,48.4855,1.2717
0,20240115,8.42,0.5705,1.24,48.8919,1.2823
0,20240116,8.45,0.5384,1.11,49.0661,1.2869
0,20240117,8.28,0.5678,1.16,48.079,1.261
0,20240118,8.18,0.6914,1.36,47.4984,1.2458
0,20240119,8.07,0.4533,0.79,46.8596,1.229
0,20240122,7.51,0.7206,1.28,43.6079,1.1437
0,20240123,7.65,0.6579,1.11,44.4208,1.1651
0,20240124,7.88,0.6625,1.07,45.7564,1.2001
0,20240125,8.15,0.5021,0.79,47.3242,1.2412
0,20240126,8.25,0.5445,0.91,47.9048,1.2564
0,20240129,8.13,0.6357,1.03,47.208,1.2382
0,20240130,7.79,0.7319,1.22,45.2338,1.1864
0,20240131,7.44,0.7393,1.2,43.2014,1.1331
0,20240201,7.34,0.8733,1.38,42.6208,1.1178
0,20240202,7.09,0.9359,1.33,41.1691,1.0798
0,20240205,6.52,1.1154,1.42,37.8593,0.993
0,20240206,7.07,1.1882,1.35,41.053,1.0767
0,20240207,7.25,1.1747,1.21,42.0982,1.1041
0,20240208,7.7,1.1425,1.08,44.7112,1.1727
0,20240219,7.78,0.9923,0.89,45.1757,1.1849
0,20240220,7.79,0.4649,0.41,45.2338,1.1864
0,20240221,7.79,0.9227,0.93,45.2338,1.1864
0,20240222,7.75,0.8099,0.86,45.0015,1.1803
0,20240223,7.73,0.5906,0.68,44.8854,1.1772
0,20240226,7.75,0.808,1.07,45.0015,1.1803
0,20240227,7.79,0.8023,1.12,45.2338,1.1864
0,20240228,7.42,1.1503,1.46,43.0853,1.13
0,20240229,7.6,0.7598,0.91,44.1305,1.1574
0,20240301,7.57,0.5775,0.7,43.9563,1.1529
0,20240304,7.44,1.0404,1.27,43.2014,1.1331
0,20240305,7.27,0.6654,0.77,42.2143,1.1072
0,20240306,7.25,0.5687,0.68,42.0982,1.1041
0,20240307,7.18,0.5445,0.75,41.6917,1.0935
0,20240308,7.21,0.4172,0.61,41.8659,1.098
0,20240311,7.33,0.7386,1.14,42.5627,1.1163
0,20240312,7.6,0.8849,1.51,44.1305,1.1574
0,20240313,7.64,0.7442,1.18,44.3628,1.1635
0,20240314,7.6,0.4988,0.75,44.1305,1.1574
0,20240315,7.61,0.4767,0.73,44.1886,1.159
0,20240318,7.64,0.6223,0.93,44.3628,1.1635
0,20240319,7.6,0.4539,0.7,44.1305,1.1574
0,20240320,7.62,0.3869,0.69,44.2466,1.1605
0,20240321,7.56,0.6162,1.26,43.8982,1.1514
0,20240322,7.4,0.5072,0.99,42.9692,1.127
0,20240325,7.44,0.6836,1.32,43.2014,1.1331
0,20240326,7.49,0.4187,0.79,43.4918,1.1407
0,20240327,7.32,0.4639,0.89,42.5046,1.1148
0,20240328,7.45,0.5883,1.09,43.2595,1.1346
0,20240329,7.41,0.3334,0.63,43.0272,1.1285
0,20240401,7.59,0.797,1.6,44.0724,1.1559
0,20240402,7.62,0.6073,1.17,44.2466,1.1605
0,20240403,7.66,0.4483,0.8,44.4789,1.1666
