,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.7,1.1338,0.89,,2.1103
0,20240103,8.62,1.1569,0.87,,2.0909
0,20240104,8.56,0.7694,0.62,,2.0764
0,20240105,8.37,1.1293,0.95,,2.0303
0,20240108,8.21,0.9227,0.81,,1.9915
0,20240109,8.24,0.9156,0.9,,1.9987
0,20240110,8.0,1.2003,1.23,,1.9405
0,20240111,8.18,1.0504,1.06,,1.9842
0,20240112,8.08,0.8569,0.82,,1.9599
0,20240115,8.16,1.2083,1.22,,1.9793
0,20240116,8.49,4.4543,4.26,,2.0594
0,20240117,8.06,3.014,1.72,,1.9551
0,20240118,7.9,2.3356,1.1,,1.9163
0,20240119,7.85,1.2923,0.54,,1.9041
0,20240122,7.28,2.0051,0.81,,1.7659
0,20240123,7.36,1.3307,0.51,,1.7853
0,20240124,7.35,1.6368,0.82,,1.7829
0,20240125,7.57,1.8263,1.06,,1.8362
0,20240126,7.52,1.4506,0.9,,1.8241
0,20240129,7.21,1.309,0.79,,1.7489
0,20240130,6.92,1.3272,0.88,,1.6786
0,20240131,6.49,1.9144,1.27,,1.5743
0,20240201,6.47,1.781,1.14,,1.5694
0,20240202,5.96,2.7614,1.77,,1.4457
0,20240205,5.36,2.8956,1.59,,1.3002
0,20240206,5.52,2.8847,1.35,,1.339
0,20240207,5.41,2.8036,1.15,,1.3123
0,20240208,5.84,2.5937,0.99,,1.4166
0,20240219,6.41,3.8775,1.39,,1.5549
0,20240220,6.35,2.6591,0.88,,1.5403
0,20240221,6.4,3.2176,1.09,,1.5524
0,20240222,6.55,2.8003,0.92,,1.5888
0,20240223,7.21,4.8117,1.59,,1.7489
0,20240226,7.7,9.992,2.88,,1.8678
0,20240227,7.78,7.8481,1.67,,1.8872
0,20240228,7.18,7.5143,1.31,,1.7416
0,20240229,7.51,4.6344,0.7,,1.8217
0,20240301,7.65,4.5612,0.66,,1.8556
0,20240304,7.72,4.2039,0.61,,1.8726
0,20240305,8.49,8.7085,1.51,,2.0594
0,20240306,8.54,16.2898,2.75,,2.0715
0,20240307,8.17,9.722,1.27,,1.9818
0,20240308,8.4,8.1869,0.94,,2.0376
0,20240311,8.46,6.5807,0.7,,2.0521
0,20240312,8.33,5.4005,0.55,,2.0206
0,20240313,8.31,4.0249,0.44,,2.0157
0,20240314,8.13,3.9311,0.58,,1.9721
0,20240315,8.53,8.0325,1.43,,2.0691
0,20240318,8.65,7.5951,1.36,,2.0982
0,20240319,8.5,4.6828,0.81,,2.0618
0,20240320,8.51,3.3151,0.59,,2.0642
0,20240321,8.43,3.3203,0.6,,2.0448
0,20240322,8.43,3.2622,0.61,,2.0448
0,20240325,8.07,3.2592,0.73,,1.9575
0,20240326,7.95,3.0106,0.84,,1.9284
0,20240327,7.41,3.2801,1.01,,1.7974
0,20240328,8.15,6.6667,2.07,,1.9769
0,20240329,8.16,7.5905,1.95,,1.9793
0,20240401,8.2,4.5771,0.96,,1.989
0,20240402,8.12,4.2041,0.84,,1.9696
0,20240403,8.24,5.1274,0.97,,1.9987
