,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.04,2.0303,0.92,,24.3806
0,20240103,4.05,1.9477,0.91,,24.441
0,20240104,4.02,1.635,0.76,,24.2599
0,20240105,3.92,1.8359,0.84,,23.6565
0,20240108,3.86,1.5515,0.77,,23.2944
0,20240109,3.84,1.9027,1.06,,23.1737
0,20240110,3.84,1.6468,0.93,,23.1737
0,20240111,3.96,2.1302,1.24,,23.8978
0,20240112,4.03,3.9142,2.16,,24.3203
0,20240115,4.01,2.6578,1.19,,24.1996
0,20240116,4.0,1.8744,0.76,,24.1392
0,20240117,3.89,2.093,0.86,,23.4754
0,20240118,3.91,2.1452,0.85,,23.5961
0,20240119,3.94,2.1876,0.86,,23.7771
0,20240122,3.83,2.327,1.06,,23.1133
0,20240123,4.03,3.6446,1.71,,24.3203
0,20240124,4.1,2.847,1.15,,24.7427
0,20240125,4.24,3.8139,1.45,,25.5876
0,20240126,4.18,2.5028,0.84,,25.2255
0,20240129,4.02,3.3993,1.12,,24.2599
0,20240130,3.87,2.8686,0.88,,23.3547
0,20240131,3.53,5.7584,1.87,,21.3029
0,20240201,3.31,5.341,1.46,,19.9752
0,20240202,3.16,5.3462,1.35,,19.07
0,20240205,2.84,5.417,1.19,,17.1389
0,20240206,2.79,7.7222,1.56,,16.8371
0,20240207,3.03,6.915,1.17,,18.2855
0,20240208,3.13,4.6825,0.76,,18.889
0,20240219,3.29,4.7027,0.78,,19.8545
0,20240220,3.21,3.0335,0.52,,19.3717
0,20240221,3.32,4.3325,0.8,,20.0356
0,20240222,3.31,2.9436,0.62,,19.9752
0,20240223,3.34,3.4917,0.89,,20.1563
0,20240226,3.4,4.9268,1.33,,20.5184
0,20240227,3.5,3.8725,1.03,,21.1218
0,20240228,3.37,5.9665,1.52,,20.3373
0,20240229,3.49,4.0915,0.96,,21.0615
0,20240301,3.43,3.3498,0.75,,20.6994
0,20240304,3.35,4.3743,0.98,,20.2166
0,20240305,3.12,8.347,1.93,,18.8286
0,20240306,3.13,4.6666,0.89,,18.889
0,20240307,3.01,4.6889,0.94,,18.1648
0,20240308,2.98,3.5855,0.71,,17.9837
0,20240311,3.15,5.814,1.13,,19.0096
0,20240312,3.17,5.6569,1.04,,19.1303
0,20240313,3.16,4.5224,0.93,,19.07
0,20240314,3.07,4.3611,0.9,,18.5269
0,20240315,3.07,3.4539,0.72,,18.5269
0,20240318,3.38,9.0266,1.9,,20.3977
0,20240319,3.28,8.4088,1.56,,19.7942
0,20240320,3.32,7.3433,1.23,,20.0356
0,20240321,3.28,4.76,0.73,,19.7942
0,20240322,3.21,4.8064,0.73,,19.3717
0,20240325,3.07,4.6953,0.68,,18.5269
0,20240326,3.1,3.8461,0.64,,18.7079
0,20240327,2.97,4.138,0.81,,17.9234
0,20240328,2.99,3.4924,0.78,,18.0441
0,20240329,2.95,4.058,0.97,,17.8027
0,20240401,3.0,3.4486,0.85,,18.1044
0,20240402,3.01,3.8866,1.02,,18.1648
0,20240403,2.95,2.457,0.65,,17.8027
