,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.47,1.2821,1.26,36.2674,1.7106
0,20240103,7.48,1.3314,1.21,36.3159,1.7129
0,20240104,7.72,3.4053,2.94,37.4811,1.7678
0,20240105,7.61,4.203,2.6,36.9471,1.7427
0,20240108,8.37,8.1629,3.66,40.6369,1.9167
0,20240109,9.21,1.6653,0.45,44.7152,2.1091
0,20240110,10.13,14.4875,3.86,49.1819,2.3197
0,20240111,11.14,9.9045,1.55,54.0855,2.551
0,20240112,10.34,33.8429,4.4,50.2014,2.3678
0,20240115,11.05,31.5589,2.32,53.6485,2.5304
0,20240116,9.95,28.8733,1.58,48.3079,2.2785
0,20240117,8.96,15.3106,0.65,43.5014,2.0518
0,20240118,8.16,18.9776,0.79,39.6174,1.8686
0,20240119,8.09,16.4298,0.64,39.2775,1.8526
0,20240122,7.42,13.5477,0.61,36.0246,1.6991
0,20240123,7.27,10.5708,0.57,35.2964,1.6648
0,20240124,7.45,9.5254,0.64,36.1703,1.706
0,20240125,7.56,8.7288,0.63,36.7043,1.7312
0,20240126,7.58,8.8434,0.75,36.8014,1.7358
0,20240129,7.22,6.5882,0.64,35.0536,1.6533
0,20240130,6.9,5.2383,0.59,33.5,1.5801
0,20240131,6.43,5.5691,0.72,31.2181,1.4724
0,20240201,6.34,5.0933,0.73,30.7811,1.4518
0,20240202,6.13,4.9687,0.79,29.7616,1.4037
0,20240205,5.52,4.7208,0.86,26.8,1.2641
0,20240206,5.36,7.9923,1.56,26.0232,1.2274
0,20240207,5.05,8.3791,1.48,24.5181,1.1564
0,20240208,5.37,7.642,1.23,26.0717,1.2297
0,20240219,5.68,7.2134,1.07,27.5768,1.3007
0,20240220,5.76,5.3244,0.74,27.9652,1.319
0,20240221,5.91,7.155,0.98,28.6935,1.3534
0,20240222,6.1,5.5022,0.77,29.6159,1.3969
0,20240223,6.3,5.0978,0.78,30.5869,1.4427
0,20240226,6.44,6.9657,1.15,31.2666,1.4747
0,20240227,6.76,7.5174,1.25,32.8203,1.548
0,20240228,6.09,9.2341,1.43,29.5674,1.3946
0,20240229,6.28,5.5164,0.8,30.4898,1.4381
0,20240301,6.35,3.6039,0.52,30.8297,1.4541
0,20240304,6.29,3.7545,0.57,30.5384,1.4404
0,20240305,6.28,4.239,0.72,30.4898,1.4381
0,20240306,6.32,3.4133,0.65,30.684,1.4473
0,20240307,6.44,6.5033,1.58,31.2666,1.4747
0,20240308,6.38,4.2241,0.98,30.9753,1.461
0,20240311,6.49,3.6737,0.83,31.5094,1.4862
0,20240312,6.65,4.5244,1.03,32.2862,1.5228
0,20240313,6.58,3.1926,0.71,31.9464,1.5068
0,20240314,6.61,3.7223,0.84,32.092,1.5137
0,20240315,6.76,3.9673,1.03,32.8203,1.548
0,20240318,6.92,3.8256,1.0,33.5971,1.5847
0,20240319,6.89,2.685,0.7,33.4514,1.5778
0,20240320,7.04,2.9433,0.85,34.1797,1.6121
0,20240321,7.24,5.4067,1.58,35.1507,1.6579
0,20240322,7.96,10.3731,2.75,38.6464,1.8228
0,20240325,7.58,15.006,2.97,36.8014,1.7358
0,20240326,8.29,17.2923,2.37,40.2485,1.8984
0,20240327,7.46,12.5823,1.23,36.2188,1.7083
0,20240328,7.38,9.6244,0.79,35.8304,1.69
0,20240329,7.48,7.2605,0.56,36.3159,1.7129
0,20240401,7.73,9.6216,0.78,23.9194,1.7593
0,20240402,7.62,7.3104,0.65,23.579,1.7342
0,20240403,7.44,6.5524,0.71,23.022,1.6933
