,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.76,2.5633,0.92,9.6751,0.9845
0,20240103,9.94,2.8691,1.07,9.8535,1.0027
0,20240104,9.97,2.125,0.75,9.8833,1.0057
0,20240105,9.74,1.8831,0.67,9.6553,0.9825
0,20240108,9.58,1.3566,0.51,9.4966,0.9663
0,20240109,9.58,1.4458,0.67,9.4966,0.9663
0,20240110,9.42,1.2519,0.65,9.338,0.9502
0,20240111,9.62,1.3441,0.83,9.5363,0.9704
0,20240112,9.45,1.1524,0.79,9.3678,0.9532
0,20240115,9.49,0.9746,0.74,9.4074,0.9573
0,20240116,9.41,1.1905,0.96,9.3281,0.9492
0,20240117,9.15,1.0634,0.9,9.0704,0.923
0,20240118,9.15,1.5798,1.38,9.0704,0.923
0,20240119,9.17,1.4676,1.23,9.0902,0.925
0,20240122,8.58,1.8273,1.46,8.5053,0.8655
0,20240123,8.9,1.6471,1.16,8.8226,0.8978
0,20240124,9.04,1.3435,0.89,8.9613,0.9119
0,20240125,9.66,2.782,1.77,9.5759,0.9744
0,20240126,9.8,3.0213,1.67,9.7147,0.9885
0,20240129,9.63,2.3763,1.12,9.5462,0.9714
0,20240130,9.4,1.8157,0.81,9.3182,0.9482
0,20240131,9.45,3.2902,1.45,9.3678,0.9532
0,20240201,9.08,3.2,1.2,9.001,0.9159
0,20240202,8.86,2.8739,1.05,8.7829,0.8937
0,20240205,8.11,3.0493,1.12,8.0394,0.8181
0,20240206,8.55,2.7791,0.98,8.4756,0.8624
0,20240207,8.66,2.484,0.82,8.5847,0.8735
0,20240208,9.11,2.9098,1.01,9.0307,0.9189
0,20240219,9.5,2.5779,0.91,9.4173,0.9583
0,20240220,10.07,5.3162,1.93,9.9824,1.0158
0,20240221,9.74,5.1273,1.6,9.6553,0.9825
0,20240222,9.99,3.8162,1.04,9.9031,1.0077
0,20240223,10.0,3.1074,0.79,9.913,1.0087
0,20240226,10.01,2.808,0.7,9.9229,1.0097
0,20240227,10.24,2.7413,0.68,10.1509,1.0329
0,20240228,9.88,3.6878,1.05,9.794,0.9966
0,20240229,10.2,2.9038,0.9,10.1113,1.0289
0,20240301,10.2,2.449,0.8,10.1113,1.0289
0,20240304,10.22,2.2106,0.76,10.1311,1.0309
0,20240305,10.34,3.6615,1.31,10.25,1.043
0,20240306,10.22,2.4063,0.81,10.1311,1.0309
0,20240307,10.07,1.7354,0.64,9.9824,1.0158
0,20240308,10.45,2.7484,1.1,10.3591,1.0541
0,20240311,10.46,2.1173,0.83,10.369,1.0551
0,20240312,10.37,1.9022,0.75,10.2798,1.046
0,20240313,10.94,5.0363,2.31,10.8448,1.1035
0,20240314,10.45,3.6166,1.34,10.3591,1.0541
0,20240315,10.51,1.6969,0.55,10.4186,1.0602
0,20240318,10.85,2.5918,0.9,10.7556,1.0945
0,20240319,11.94,1.4492,0.49,11.8361,1.1183
0,20240320,12.27,9.6627,3.36,12.1632,1.1492
0,20240321,13.17,10.5036,2.76,13.0554,1.2335
0,20240322,14.49,10.7847,2.08,14.3639,1.3571
0,20240325,13.5,17.4819,2.5,13.3825,1.2644
0,20240326,12.87,10.5406,1.06,12.758,1.2054
0,20240327,12.95,9.3958,0.8,12.8373,1.2129
0,20240328,13.04,7.4776,0.64,12.9265,1.2213
0,20240329,12.59,5.8326,0.52,12.4805,1.1792
0,20240401,12.81,4.5164,0.45,12.6985,1.1998
0,20240402,12.18,6.4543,0.85,12.074,1.1408
0,20240403,11.88,3.7405,0.56,11.7766,1.1127
