,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.08,0.3222,1.13,6.2136,0.6508
0,20240103,3.1,0.2905,0.93,6.254,0.655
0,20240104,3.06,0.2919,0.88,6.1733,0.6465
0,20240105,3.07,0.5054,1.46,6.1935,0.6487
0,20240108,3.01,0.4133,1.17,6.0724,0.636
0,20240109,3.03,0.3116,0.85,6.1128,0.6402
0,20240110,3.02,0.2743,0.76,6.0926,0.6381
0,20240111,3.02,0.335,0.93,6.0926,0.6381
0,20240112,3.03,0.3087,0.84,6.1128,0.6402
0,20240115,3.05,0.3126,0.95,6.1531,0.6444
0,20240116,3.06,0.3588,1.16,6.1733,0.6465
0,20240117,3.0,0.3777,1.19,6.0522,0.6339
0,20240118,3.0,0.6515,1.92,6.0522,0.6339
0,20240119,3.0,0.3644,0.91,6.0522,0.6339
0,20240122,2.94,0.5656,1.37,5.9312,0.6212
0,20240123,2.97,0.4763,1.03,5.9917,0.6275
0,20240124,3.11,0.7914,1.62,6.2742,0.6571
0,20240125,3.29,1.4328,2.51,6.6373,0.6951
0,20240126,3.3,1.1048,1.52,6.6575,0.6972
0,20240129,3.32,1.569,1.79,6.6978,0.7015
0,20240130,3.28,0.8954,0.83,6.6171,0.693
0,20240131,3.24,0.8665,0.75,6.5364,0.6846
0,20240201,3.16,0.8032,0.68,6.375,0.6677
0,20240202,3.16,0.8236,0.79,6.375,0.6677
0,20240205,3.09,0.8233,0.83,6.2338,0.6529
0,20240206,3.19,0.8641,1.03,6.4356,0.674
0,20240207,3.22,0.9348,1.12,6.4961,0.6803
0,20240208,3.21,1.0063,1.18,6.4759,0.6782
0,20240219,3.25,0.8441,0.95,6.5566,0.6867
0,20240220,3.25,0.5151,0.58,6.5566,0.6867
0,20240221,3.29,0.8371,1.01,6.6373,0.6951
0,20240222,3.33,0.5627,0.68,6.718,0.7036
0,20240223,3.33,0.5458,0.72,6.718,0.7036
0,20240226,3.25,0.6191,0.94,6.5566,0.6867
0,20240227,3.3,0.4403,0.71,6.6575,0.6972
0,20240228,3.29,0.7706,1.28,6.6373,0.6951
0,20240229,3.33,0.528,0.9,6.718,0.7036
0,20240301,3.34,0.5615,0.97,6.7382,0.7057
0,20240304,3.31,0.4745,0.81,6.6776,0.6994
0,20240305,3.3,0.4598,0.83,6.6575,0.6972
0,20240306,3.29,0.469,0.84,6.6373,0.6951
0,20240307,3.33,0.8951,1.8,6.718,0.7036
0,20240308,3.34,0.5431,0.95,6.7382,0.7057
0,20240311,3.34,0.5139,0.9,6.7382,0.7057
0,20240312,3.28,0.5787,1.0,6.6171,0.693
0,20240313,3.22,0.5405,0.9,6.4961,0.6803
0,20240314,3.32,1.1438,1.86,6.6978,0.7015
0,20240315,3.37,0.9221,1.39,6.7987,0.712
0,20240318,3.46,1.0956,1.48,6.9803,0.7311
0,20240319,3.4,0.7263,0.85,6.8592,0.7184
0,20240320,3.41,0.4951,0.56,6.8794,0.7205
0,20240321,3.42,0.4305,0.49,6.8996,0.7226
0,20240322,3.36,0.4638,0.63,6.7785,0.7099
0,20240325,3.38,0.4932,0.77,6.8189,0.7142
0,20240326,3.4,0.4224,0.81,6.8592,0.7184
0,20240327,3.36,0.3788,0.82,6.7785,0.7099
0,20240328,3.43,0.5425,1.24,6.9197,0.7247
0,20240329,3.36,1.091,2.37,8.0309,0.7099
0,20240401,3.37,0.7431,1.27,8.0548,0.7121
0,20240402,3.28,0.9781,1.54,7.8397,0.693
0,20240403,3.38,1.2232,1.64,8.0787,0.7142
