,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.03,0.673,1.07,118.5094,1.0847
0,20240103,18.05,0.4771,0.78,118.6408,1.086
0,20240104,17.86,0.3564,0.59,117.392,1.0745
0,20240105,17.62,0.4894,0.84,115.8145,1.0601
0,20240108,17.01,0.5109,0.88,111.805,1.0234
0,20240109,17.34,0.5547,1.11,113.9741,1.0432
0,20240110,17.4,0.4455,0.93,114.3684,1.0468
0,20240111,18.13,0.7882,1.67,119.1666,1.0908
0,20240112,17.86,0.5948,1.07,117.392,1.0745
0,20240115,17.88,0.4321,0.75,117.5234,1.0757
0,20240116,17.97,0.6432,1.14,118.115,1.0811
0,20240117,17.57,0.3494,0.6,115.4858,1.0571
0,20240118,17.31,0.6606,1.18,113.7769,1.0414
0,20240119,17.3,0.4178,0.78,113.7111,1.0408
0,20240122,15.96,0.9374,1.87,104.9035,0.9602
0,20240123,16.06,0.539,0.9,105.5607,0.9662
0,20240124,17.16,1.1232,1.93,112.7909,1.0324
0,20240125,18.88,1.8017,2.45,124.0963,1.1359
0,20240126,19.02,2.0307,2.11,125.0165,1.1443
0,20240129,19.05,2.0032,1.56,125.2137,1.1461
0,20240130,19.08,1.4961,1.0,125.4109,1.1479
0,20240131,19.1,1.39,0.82,125.5424,1.1491
0,20240201,18.71,1.3125,0.75,122.9789,1.1257
0,20240202,19.3,1.8928,1.15,126.8569,1.1612
0,20240205,19.67,2.2593,1.4,129.2889,1.1834
0,20240206,19.43,2.2171,1.33,127.7114,1.169
0,20240207,20.99,2.3876,1.32,137.9651,1.2628
0,20240208,20.83,1.8464,0.92,136.9135,1.2532
0,20240219,21.92,1.7879,0.84,144.0779,1.3188
0,20240220,21.11,1.9075,0.91,138.7539,1.2701
0,20240221,20.76,1.5753,0.78,136.4534,1.249
0,20240222,20.78,1.3379,0.7,136.5848,1.2502
0,20240223,20.49,1.4577,0.86,134.6787,1.2328
0,20240226,20.36,1.0981,0.68,133.8242,1.2249
0,20240227,20.77,1.1626,0.79,136.5191,1.2496
0,20240228,20.44,1.9486,1.47,134.35,1.2297
0,20240229,22.1,2.284,1.63,145.2611,1.3296
0,20240301,21.74,1.349,0.85,142.8948,1.308
0,20240304,21.94,1.8108,1.15,144.2094,1.32
0,20240305,21.18,1.5244,0.89,139.214,1.2743
0,20240306,21.19,0.8897,0.5,139.2797,1.2749
0,20240307,20.9,0.9176,0.58,137.3736,1.2574
0,20240308,21.45,1.0306,0.79,140.9887,1.2905
0,20240311,21.38,0.9451,0.77,140.5286,1.2863
0,20240312,20.19,1.6298,1.54,132.7068,1.2147
0,20240313,20.11,1.8231,1.68,132.181,1.2099
0,20240314,19.93,0.9508,0.75,130.9979,1.1991
0,20240315,19.88,0.9201,0.72,130.6692,1.1961
0,20240318,20.29,1.0985,0.88,133.3641,1.2207
0,20240319,20.09,0.8936,0.7,132.0495,1.2087
0,20240320,20.28,0.9086,0.8,133.2984,1.2201
0,20240321,19.86,1.0964,1.15,130.5378,1.1948
0,20240322,19.67,0.8791,0.89,129.2889,1.1834
0,20240325,19.6,0.7067,0.72,128.8288,1.1792
0,20240326,19.81,0.9604,1.07,130.2091,1.1918
0,20240327,19.35,0.7193,0.79,127.1856,1.1642
0,20240328,19.51,0.791,0.91,128.2372,1.1738
0,20240329,20.29,1.4778,1.82,133.3641,1.2207
0,20240401,20.55,1.1687,1.26,135.0731,1.2364
0,20240402,20.68,1.0638,1.04,135.9275,1.2442
0,20240403,21.04,1.4275,1.37,138.4603,1.2655
