,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,25.81,0.5224,1.01,106.796,4.8034
0,20240103,25.68,0.3801,0.7,106.2581,4.7792
0,20240104,25.5,0.4014,0.76,105.5133,4.7457
0,20240105,24.99,0.5156,0.94,103.403,4.6508
0,20240108,24.23,0.6403,1.37,100.2583,4.5093
0,20240109,23.38,0.8737,1.78,96.7412,4.3511
0,20240110,22.93,0.6029,1.07,94.8792,4.2674
0,20240111,23.33,0.5095,0.84,96.5343,4.3418
0,20240112,24.66,1.3971,2.22,102.0376,4.5893
0,20240115,24.1,0.8286,1.03,99.7204,4.4851
0,20240116,24.21,0.5362,0.64,100.1756,4.5056
0,20240117,23.42,0.4599,0.59,96.9067,4.3586
0,20240118,23.97,0.8204,1.1,99.1825,4.4609
0,20240119,23.8,0.4514,0.56,98.4791,4.4293
0,20240122,22.81,0.6794,1.1,94.3827,4.2451
0,20240123,22.93,0.5173,0.88,94.8792,4.2674
0,20240124,23.55,0.731,1.25,97.4446,4.3828
0,20240125,24.8,1.7094,2.67,102.6169,4.6154
0,20240126,24.41,0.9261,1.13,101.0031,4.5428
0,20240129,24.65,1.387,1.52,101.9962,4.5875
0,20240130,23.81,0.8588,0.81,98.5205,4.4312
0,20240131,23.1,0.7318,0.65,95.5826,4.299
0,20240201,23.25,0.6459,0.58,96.2033,4.3269
0,20240202,22.3,1.1051,1.21,92.2724,4.1501
0,20240205,21.42,1.357,1.43,88.6312,3.9864
0,20240206,22.89,0.9979,1.06,94.7137,4.2599
0,20240207,24.19,1.6031,1.66,100.0928,4.5019
0,20240208,24.7,1.2823,1.12,102.2031,4.5968
0,20240219,24.72,1.0478,0.83,102.2858,4.6005
0,20240220,24.66,0.788,0.63,102.0376,4.5893
0,20240221,24.61,0.9906,0.87,101.8307,4.58
0,20240222,24.84,0.8085,0.71,102.7824,4.6228
0,20240223,24.91,0.9068,0.92,103.072,4.6359
0,20240226,25.12,1.2537,1.38,103.941,4.675
0,20240227,26.37,2.1895,2.31,109.1132,4.9076
0,20240228,24.89,1.8713,1.52,102.9893,4.6321
0,20240229,25.72,1.1173,0.79,106.4236,4.7866
0,20240301,26.06,1.0705,0.73,107.8305,4.8499
0,20240304,25.98,0.9062,0.6,107.4994,4.835
0,20240305,26.3,1.7644,1.23,108.8235,4.8946
0,20240306,26.03,0.8802,0.65,107.7063,4.8443
0,20240307,25.25,1.1773,1.03,104.4789,4.6991
0,20240308,25.78,0.9171,0.79,106.6719,4.7978
0,20240311,26.03,0.834,0.74,107.7063,4.8443
0,20240312,26.05,0.8225,0.74,107.7891,4.848
0,20240313,26.14,1.1668,1.26,108.1615,4.8648
0,20240314,25.86,0.8846,0.9,107.0029,4.8127
0,20240315,26.11,0.8527,0.92,108.0374,4.8592
0,20240318,26.3,1.0871,1.19,108.8235,4.8946
0,20240319,26.21,1.1884,1.23,108.4511,4.8778
0,20240320,26.18,0.8277,0.8,108.327,4.8722
0,20240321,26.18,1.0129,1.05,108.327,4.8722
0,20240322,25.38,1.11,1.12,105.0168,4.7233
0,20240325,25.71,1.7587,1.68,106.3822,4.7848
0,20240326,26.07,1.8705,1.59,107.8718,4.8518
0,20240327,24.68,1.5113,1.15,102.1203,4.5931
0,20240328,25.53,1.4025,0.97,105.6374,4.7513
0,20240329,25.67,0.801,0.52,106.2167,4.7773
0,20240401,25.98,0.8912,0.61,107.4994,4.835
0,20240402,25.72,0.7373,0.57,106.4236,4.7866
0,20240403,25.38,0.757,0.71,105.0168,4.7233
