,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.87,0.3324,0.82,7.3361,0.6602
0,20240103,4.93,0.4269,1.0,7.4265,0.6683
0,20240104,4.89,0.4129,0.87,7.3662,0.6629
0,20240105,4.87,0.4742,0.98,7.3361,0.6602
0,20240108,4.8,0.4208,1.0,7.2306,0.6507
0,20240109,4.77,0.3935,0.95,7.1854,0.6466
0,20240110,4.72,0.3379,0.79,7.1101,0.6398
0,20240111,4.74,0.3983,0.98,7.1403,0.6425
0,20240112,4.75,0.3978,0.98,7.1553,0.6439
0,20240115,4.76,0.3931,1.01,7.1704,0.6453
0,20240116,4.75,0.4368,1.14,7.1553,0.6439
0,20240117,4.65,0.3912,1.0,7.0047,0.6303
0,20240118,4.6,0.9316,2.31,6.9294,0.6236
0,20240119,4.61,0.5591,1.1,6.9444,0.6249
0,20240122,4.5,0.6855,1.26,6.7787,0.61
0,20240123,4.51,0.561,0.93,6.7938,0.6114
0,20240124,4.73,1.0437,1.67,7.1252,0.6412
0,20240125,5.02,1.9052,2.52,7.562,0.6805
0,20240126,5.07,1.7703,1.86,7.6374,0.6873
0,20240129,5.15,2.5549,2.14,7.7579,0.6981
0,20240130,5.07,1.4485,0.92,7.6374,0.6873
0,20240131,5.03,1.1274,0.65,7.5771,0.6819
0,20240201,4.91,1.0225,0.58,7.3963,0.6656
0,20240202,4.94,1.3259,0.84,7.4415,0.6697
0,20240205,4.77,1.2153,0.81,7.1854,0.6466
0,20240206,4.88,1.3285,1.08,7.3511,0.6615
0,20240207,4.94,1.1859,0.99,7.4415,0.6697
0,20240208,4.96,1.2239,1.01,7.4717,0.6724
0,20240219,4.99,1.0235,0.81,7.5169,0.6764
0,20240220,5.02,0.8564,0.72,7.562,0.6805
0,20240221,5.1,1.3239,1.18,7.6826,0.6913
0,20240222,5.11,0.8203,0.73,7.6976,0.6927
0,20240223,5.12,0.6581,0.63,7.7127,0.6941
0,20240226,5.04,0.8828,0.94,7.5922,0.6832
0,20240227,5.06,0.7238,0.8,7.6223,0.6859
0,20240228,5.06,1.2021,1.36,7.6223,0.6859
0,20240229,5.11,0.8629,1.01,7.6976,0.6927
0,20240301,5.09,0.6623,0.76,7.6675,0.69
0,20240304,5.04,0.719,0.83,7.5922,0.6832
0,20240305,5.06,0.7732,0.93,7.6223,0.6859
0,20240306,5.12,1.273,1.51,7.7127,0.6941
0,20240307,5.07,0.9957,1.16,7.6374,0.6873
0,20240308,5.26,1.8012,2.04,7.9236,0.713
0,20240311,5.25,1.0803,0.97,7.9085,0.7117
0,20240312,5.17,0.9364,0.79,7.788,0.7008
0,20240313,5.12,0.7751,0.64,7.7127,0.6941
0,20240314,5.11,0.9725,0.87,7.6976,0.6927
0,20240315,5.12,0.8897,0.8,7.7127,0.6941
0,20240318,5.18,0.9863,1.06,7.8031,0.7022
0,20240319,5.11,0.6913,0.76,7.6976,0.6927
0,20240320,5.11,0.5584,0.65,7.6976,0.6927
0,20240321,5.09,0.4983,0.61,7.6675,0.69
0,20240322,4.97,1.102,1.52,7.4867,0.6737
0,20240325,4.95,0.5342,0.7,7.4566,0.671
0,20240326,4.98,0.5295,0.78,7.5018,0.6751
0,20240327,4.92,0.5857,0.91,7.4114,0.6669
0,20240328,4.94,0.6241,0.96,7.4415,0.6697
0,20240329,4.97,0.5614,0.83,7.4867,0.6737
0,20240401,5.1,1.0758,1.9,7.6826,0.6913
0,20240402,5.1,0.7042,1.04,7.6826,0.6913
0,20240403,5.06,0.542,0.76,7.6223,0.6859
