,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.01,0.7449,0.61,268.457,2.5108
0,20240103,9.9,0.9828,0.83,265.507,2.4832
0,20240104,9.86,0.6457,0.65,264.4342,2.4731
0,20240105,9.72,0.7627,0.84,260.6796,2.438
0,20240108,9.35,0.9665,1.19,250.7566,2.3452
0,20240109,9.13,1.4038,1.71,244.8564,2.29
0,20240110,9.0,0.8673,0.91,241.37,2.2574
0,20240111,9.33,1.0537,1.13,250.2202,2.3402
0,20240112,9.19,0.5272,0.52,246.4656,2.3051
0,20240115,9.1,0.6662,0.69,244.0519,2.2825
0,20240116,9.05,0.7154,0.79,242.7109,2.27
0,20240117,8.9,0.5765,0.75,238.6881,2.2323
0,20240118,9.05,1.0155,1.43,242.7109,2.27
0,20240119,8.93,0.5096,0.73,239.4926,2.2399
0,20240122,8.46,0.9466,1.36,226.8878,2.122
0,20240123,8.58,0.7771,1.03,230.106,2.1521
0,20240124,8.72,0.938,1.23,233.8607,2.1872
0,20240125,9.27,1.9087,2.28,248.6111,2.3251
0,20240126,9.25,1.4075,1.39,248.0747,2.3201
0,20240129,9.26,1.4535,1.22,248.3429,2.3226
0,20240130,8.9,1.0254,0.79,238.6881,2.2323
0,20240131,8.31,1.4915,1.11,222.8649,2.0844
0,20240201,8.35,0.9378,0.64,223.9377,2.0944
0,20240202,8.05,1.4395,1.14,215.892,2.0191
0,20240205,7.52,1.7665,1.39,201.678,1.8862
0,20240206,8.27,1.9532,1.47,221.7922,2.0743
0,20240207,8.97,2.2657,1.49,240.5654,2.2499
0,20240208,9.18,2.3106,1.38,246.1974,2.3026
0,20240219,9.32,1.6548,0.85,249.952,2.3377
0,20240220,9.19,1.0526,0.53,246.4656,2.3051
0,20240221,9.18,1.4667,0.79,246.1974,2.3026
0,20240222,9.41,1.8218,1.04,252.3657,2.3603
0,20240223,9.88,2.8625,1.72,264.9706,2.4781
0,20240226,9.99,2.4352,1.37,267.9207,2.5057
0,20240227,10.73,3.9873,2.07,287.7666,2.6913
0,20240228,10.05,3.2898,1.31,269.5298,2.5208
0,20240229,10.38,2.2854,0.79,278.38,2.6036
0,20240301,10.72,3.1228,1.05,287.4985,2.6888
0,20240304,10.82,3.3205,1.1,290.1803,2.7139
0,20240305,10.89,4.2086,1.31,292.0577,2.7315
0,20240306,10.63,2.925,0.9,285.0848,2.6663
0,20240307,10.3,2.0364,0.64,276.2345,2.5835
0,20240308,10.52,1.459,0.47,282.1347,2.6387
0,20240311,10.74,1.813,0.65,288.0348,2.6939
0,20240312,10.58,1.6487,0.66,283.7438,2.6537
0,20240313,10.7,3.3239,1.68,286.9621,2.6838
0,20240314,10.42,2.2446,1.09,279.4528,2.6136
0,20240315,10.45,1.5472,0.74,280.2574,2.6211
0,20240318,10.64,1.9301,0.91,285.3529,2.6688
0,20240319,10.46,1.3015,0.61,280.5255,2.6236
0,20240320,10.56,1.3659,0.66,283.2074,2.6487
0,20240321,10.53,1.5107,0.9,282.4029,2.6412
0,20240322,10.52,2.0376,1.33,282.1347,2.6387
0,20240325,10.33,2.1922,1.35,277.0391,2.591
0,20240326,10.14,1.771,1.05,271.9435,2.5434
0,20240327,9.58,1.5533,0.87,256.9249,2.4029
0,20240328,9.87,1.3728,0.76,264.7024,2.4756
0,20240329,9.87,0.8432,0.47,264.7024,2.4756
0,20240401,9.98,1.0477,0.68,267.6525,2.5032
0,20240402,9.8,0.8661,0.66,262.8251,2.4581
0,20240403,9.61,0.7532,0.66,257.7295,2.4104
