,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.67,1.9395,1.0,31.6608,14.8558
0,20240103,6.7,2.1884,1.16,31.8032,14.9227
0,20240104,6.73,2.1275,1.08,31.9456,14.9895
0,20240105,6.56,1.9064,0.94,31.1387,14.6108
0,20240108,6.51,1.8262,0.88,30.9014,14.4995
0,20240109,6.55,2.1231,1.06,31.0912,14.5886
0,20240110,6.48,1.9348,0.95,30.759,14.4327
0,20240111,6.6,1.7743,0.89,31.3286,14.6999
0,20240112,6.48,1.7878,0.93,30.759,14.4327
0,20240115,6.55,2.4311,1.29,31.0912,14.5886
0,20240116,6.41,2.2156,1.1,30.4267,14.2768
0,20240117,6.3,2.2914,1.13,29.9045,14.0318
0,20240118,6.11,3.3915,1.61,29.0027,13.6086
0,20240119,6.1,2.3016,0.95,28.9552,13.5863
0,20240122,5.72,3.1476,1.25,27.1514,12.7399
0,20240123,5.48,4.7664,1.79,26.0122,12.2054
0,20240124,5.67,4.7746,1.5,26.9141,12.6286
0,20240125,5.99,3.0423,0.83,28.433,13.3413
0,20240126,6.13,5.6867,1.58,29.0976,13.6531
0,20240129,5.77,4.7823,1.12,27.3888,12.8513
0,20240130,5.51,2.7461,0.6,26.1546,12.2722
0,20240131,5.07,3.7597,0.89,24.066,11.2922
0,20240201,4.96,4.7723,1.19,23.5439,11.0472
0,20240202,4.57,5.3846,1.24,21.6927,10.1786
0,20240205,4.11,2.2497,0.52,19.5092,9.1541
0,20240206,3.71,6.7421,1.78,17.6105,8.2631
0,20240207,3.34,5.6328,1.23,15.8542,7.4391
0,20240208,3.59,12.9392,2.61,17.0408,7.9959
0,20240219,3.8,9.0804,1.38,18.0377,8.4636
0,20240220,4.03,5.6386,0.77,19.1294,8.9759
0,20240221,4.06,6.0532,0.76,19.2718,9.0427
0,20240222,4.23,4.9954,0.63,20.0788,9.4213
0,20240223,4.45,6.2383,0.81,21.123,9.9113
0,20240226,4.58,6.2619,0.98,21.7401,10.2009
0,20240227,4.82,3.8197,0.65,22.8793,10.7354
0,20240228,4.34,7.5677,1.38,20.6009,9.6663
0,20240229,4.48,6.3865,1.11,21.2655,9.9781
0,20240301,4.47,3.9884,0.66,21.218,9.9559
0,20240304,4.45,3.0174,0.54,21.123,9.9113
0,20240305,4.26,2.757,0.56,20.2212,9.4881
0,20240306,4.37,2.7182,0.57,20.7433,9.7331
0,20240307,4.38,3.4591,0.92,20.7908,9.7554
0,20240308,4.47,2.2914,0.72,21.218,9.9559
0,20240311,4.58,2.9228,1.03,21.7401,10.2009
0,20240312,4.75,3.0578,1.08,22.5471,10.5795
0,20240313,4.77,3.2849,1.14,69.012,10.5734
0,20240314,4.86,4.3179,1.44,70.3141,10.7729
0,20240315,4.93,3.1906,1.0,71.3268,10.9281
0,20240318,5.03,2.9506,0.88,72.7736,11.1498
0,20240319,5.06,2.7686,0.82,73.2077,11.2163
0,20240320,5.07,1.7273,0.52,73.3524,11.2384
0,20240321,5.15,3.2258,1.08,74.5098,11.4158
0,20240322,5.06,2.2401,0.81,73.2077,11.2163
0,20240325,4.94,2.1966,0.85,71.4715,10.9503
0,20240326,5.0,2.2609,0.93,72.3396,11.0833
0,20240327,4.88,2.3114,0.99,70.6034,10.8173
0,20240328,4.95,2.6751,1.09,71.6162,10.9724
0,20240329,4.99,2.1036,0.9,72.1949,11.0611
0,20240401,5.14,2.7812,1.2,74.3651,11.3936
0,20240402,5.18,2.6151,1.08,74.9438,11.4823
0,20240403,5.11,2.074,0.83,73.9311,11.3271
