,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.54,2.9373,5.96,35.8665,1.1498
0,20240103,7.35,1.7324,1.77,34.9627,1.1209
0,20240104,7.27,1.1216,0.9,34.5822,1.1087
0,20240105,7.14,1.105,0.8,33.9638,1.0888
0,20240108,6.92,0.9981,0.67,32.9173,1.0553
0,20240109,6.95,0.8511,0.54,33.06,1.0599
0,20240110,6.98,0.7228,0.62,33.2027,1.0644
0,20240111,7.02,0.7224,0.75,33.3929,1.0705
0,20240112,7.03,0.6116,0.7,33.4405,1.0721
0,20240115,7.01,0.6052,0.77,33.3454,1.069
0,20240116,6.87,1.0355,1.47,32.6794,1.0477
0,20240117,6.6,1.0429,1.41,31.3951,1.0065
0,20240118,6.47,1.1667,1.45,30.7767,0.9867
0,20240119,6.43,0.7354,0.82,30.5864,0.9806
0,20240122,6.01,1.1354,1.24,28.5885,0.9165
0,20240123,6.1,0.9169,0.9,29.0167,0.9302
0,20240124,6.4,1.2933,1.29,30.4437,0.976
0,20240125,6.74,1.3905,1.32,32.061,1.0278
0,20240126,6.65,1.2259,1.12,31.6329,1.0141
0,20240129,6.61,1.6109,1.35,31.4426,1.008
0,20240130,6.39,1.0823,0.84,30.3961,0.9745
0,20240131,6.22,1.6738,1.27,29.5875,0.9485
0,20240201,5.86,1.8474,1.32,27.875,0.8936
0,20240202,5.55,1.8219,1.22,26.4004,0.8464
0,20240205,5.0,2.2546,1.4,23.7842,0.7625
0,20240206,5.02,2.1921,1.26,23.8793,0.7655
0,20240207,5.18,2.0524,1.05,24.6404,0.7899
0,20240208,5.7,1.5776,0.78,27.1139,0.8692
0,20240219,5.73,2.2189,1.12,27.2566,0.8738
0,20240220,5.67,1.1369,0.55,26.9712,0.8647
0,20240221,5.73,1.6146,0.88,27.2566,0.8738
0,20240222,5.86,1.0583,0.62,27.875,0.8936
0,20240223,5.97,1.0336,0.68,28.3983,0.9104
0,20240226,5.95,1.0394,0.74,28.3031,0.9074
0,20240227,6.15,1.285,1.09,29.2545,0.9379
0,20240228,5.79,2.0051,1.66,27.542,0.883
0,20240229,5.99,1.1251,0.88,28.4934,0.9135
0,20240301,6.08,1.0737,0.83,28.9215,0.9272
0,20240304,6.04,1.1232,0.86,28.7313,0.9211
0,20240305,5.92,0.9825,0.74,28.1604,0.9028
0,20240306,5.96,1.532,1.21,28.3507,0.9089
0,20240307,5.94,1.4632,1.25,28.2556,0.9058
0,20240308,5.96,0.8678,0.7,28.3507,0.9089
0,20240311,6.06,1.0717,0.9,28.8264,0.9241
0,20240312,6.14,1.0202,0.86,29.2069,0.9363
0,20240313,6.15,0.9631,0.81,29.2545,0.9379
0,20240314,6.13,0.9142,0.85,29.1594,0.9348
0,20240315,6.28,0.9967,1.03,29.8729,0.9577
0,20240318,6.36,0.855,0.86,30.2534,0.9699
0,20240319,6.28,0.812,0.85,29.8729,0.9577
0,20240320,6.45,1.6478,1.81,30.6816,0.9836
0,20240321,7.1,3.3944,3.25,33.7735,1.0827
0,20240322,7.24,7.8226,5.08,34.4394,1.1041
0,20240325,6.72,5.0803,1.75,31.9659,1.0248
0,20240326,6.72,3.8763,1.03,31.9659,1.0248
0,20240327,6.48,3.1197,0.71,30.8243,0.9882
0,20240328,6.62,2.6778,0.57,31.4902,1.0095
0,20240329,6.89,2.8287,0.63,32.7746,1.0507
0,20240401,6.93,2.5477,0.72,32.9648,1.0568
0,20240402,6.91,2.245,0.75,32.8697,1.0538
0,20240403,6.9,1.6785,0.63,32.8221,1.0522
