,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,24.09,1.6514,0.99,32.9764,1.9324
0,20240103,23.95,1.4164,0.87,32.7848,1.9212
0,20240104,24.17,1.3392,0.82,33.0859,1.9388
0,20240105,23.94,1.5754,0.94,32.7711,1.9204
0,20240108,23.7,1.559,1.02,32.4426,1.9011
0,20240109,23.7,2.0061,1.33,32.4426,1.9011
0,20240110,23.54,1.4682,0.93,32.2235,1.8883
0,20240111,23.75,1.3372,0.84,32.511,1.9051
0,20240112,26.13,5.9289,3.73,35.769,2.096
0,20240115,25.97,14.0479,5.71,35.5499,2.0832
0,20240116,28.13,17.441,3.52,38.5067,2.2565
0,20240117,25.8,11.7367,1.46,35.3172,2.0696
0,20240118,28.38,9.559,0.95,38.8489,2.2765
0,20240119,27.75,20.3064,1.73,37.9865,2.226
0,20240122,25.79,12.6689,0.87,35.3035,2.0688
0,20240123,26.03,11.5416,0.8,35.6321,2.088
0,20240124,26.66,8.532,0.65,36.4945,2.1385
0,20240125,26.46,6.6863,0.53,36.2207,2.1225
0,20240126,29.11,11.8931,1.0,39.8482,2.3351
0,20240129,28.87,20.6417,2.01,39.5197,2.3158
0,20240130,29.58,12.9668,1.09,40.4916,2.3728
0,20240131,28.01,11.2305,0.92,38.3425,2.2468
0,20240201,27.51,7.3373,0.58,37.658,2.2067
0,20240202,28.99,11.5648,0.9,39.684,2.3254
0,20240205,26.09,9.1277,0.72,35.7142,2.0928
0,20240206,24.29,9.9971,0.96,33.2502,1.9484
0,20240207,22.37,7.309,0.74,30.6219,1.7944
0,20240208,24.34,6.4767,0.71,33.3186,1.9524
0,20240219,25.01,6.4143,0.72,34.2358,2.0062
0,20240220,24.79,4.4677,0.57,33.9346,1.9885
0,20240221,26.67,6.8592,0.99,36.5081,2.1393
0,20240222,27.67,7.0101,1.11,37.877,2.2196
0,20240223,28.2,5.3357,0.85,38.6025,2.2621
0,20240226,29.46,7.6184,1.27,40.3273,2.3631
0,20240227,29.32,4.7189,0.75,40.1357,2.3519
0,20240228,27.06,6.3778,1.01,37.042,2.1706
0,20240229,28.25,4.2763,0.69,38.671,2.2661
0,20240301,29.53,4.9991,0.88,40.4232,2.3688
0,20240304,29.28,4.7921,0.86,40.0816,2.3486
0,20240305,30.88,9.3651,1.86,42.2719,2.477
0,20240306,30.79,5.8068,0.97,42.1487,2.4698
0,20240307,30.99,5.1549,0.88,42.4225,2.4858
0,20240308,30.91,3.8277,0.64,42.3129,2.4794
0,20240311,31.5,3.1081,0.54,43.1206,2.5267
0,20240312,30.6,4.8873,0.9,41.8886,2.4545
0,20240313,31.25,3.447,0.76,42.7784,2.5067
0,20240314,31.97,4.6246,1.13,43.764,2.5644
0,20240315,34.15,6.9384,1.74,46.7482,2.7393
0,20240318,33.32,5.3114,1.15,45.612,2.6727
0,20240319,34.24,4.536,0.9,46.8714,2.7465
0,20240320,34.78,3.8461,0.77,47.6106,2.7898
0,20240321,33.71,4.2315,0.84,46.1459,2.704
0,20240322,32.78,3.8339,0.77,44.8728,2.6294
0,20240325,31.95,3.4733,0.8,43.7366,2.5628
0,20240326,31.96,2.8195,0.71,43.7503,2.5636
0,20240327,30.81,2.802,0.77,42.1761,2.4714
0,20240328,31.23,3.7927,1.11,42.751,2.5051
0,20240329,31.51,2.397,0.72,43.1343,2.5275
0,20240401,31.81,2.3326,0.76,43.545,2.5516
0,20240402,31.05,2.0845,0.74,42.5047,2.4906
0,20240403,32.65,5.0238,1.87,44.695,2.619
