,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.88,0.776,2.02,26.7775,2.0388
0,20240103,6.89,0.5426,1.18,26.8164,2.0418
0,20240104,6.99,0.9392,1.88,27.2056,2.0714
0,20240105,6.81,0.848,1.36,26.505,2.0181
0,20240108,6.66,0.5602,0.8,25.9212,1.9736
0,20240109,6.72,0.4343,0.59,26.1547,1.9914
0,20240110,6.64,0.3922,0.59,25.8434,1.9677
0,20240111,6.72,0.3934,0.62,26.1547,1.9914
0,20240112,6.81,1.0981,2.09,26.505,2.0181
0,20240115,6.72,0.7266,1.26,26.1547,1.9914
0,20240116,6.63,0.8119,1.33,25.8044,1.9647
0,20240117,6.44,0.5242,0.77,25.065,1.9084
0,20240118,6.32,0.9921,1.4,24.5979,1.8729
0,20240119,6.29,0.4419,0.53,24.4811,1.864
0,20240122,5.83,0.9681,1.38,22.6908,1.7277
0,20240123,5.85,0.9624,1.29,22.7686,1.7336
0,20240124,6.31,1.9529,2.51,24.559,1.8699
0,20240125,6.68,2.8302,2.66,25.999,1.9795
0,20240126,6.7,1.9753,1.38,26.0769,1.9855
0,20240129,6.67,2.4278,1.4,25.9601,1.9766
0,20240130,6.87,4.7759,2.35,26.7385,2.0358
0,20240131,7.56,4.1638,1.49,29.4241,2.2403
0,20240201,8.32,22.4061,6.93,32.382,2.4655
0,20240202,7.49,10.7323,1.5,29.1516,2.2196
0,20240205,6.74,0.5051,0.06,26.2326,1.9973
0,20240206,6.07,14.4444,1.7,23.6249,1.7988
0,20240207,5.47,11.093,1.06,21.2896,1.621
0,20240208,5.7,6.7064,0.57,22.1848,1.6891
0,20240219,5.82,6.4823,0.75,22.6519,1.7247
0,20240220,5.86,4.9106,0.63,22.8075,1.7365
0,20240221,6.07,6.9561,0.8,23.6249,1.7988
0,20240222,6.11,4.4247,0.61,23.7806,1.8106
0,20240223,6.17,4.4375,0.75,24.0141,1.8284
0,20240226,6.21,4.8738,0.9,24.1698,1.8403
0,20240227,6.28,3.6344,0.71,24.4422,1.861
0,20240228,6.04,6.592,1.35,23.5081,1.7899
0,20240229,6.17,3.644,0.76,24.0141,1.8284
0,20240301,6.16,2.7944,0.6,23.9752,1.8254
0,20240304,6.05,2.9651,0.69,23.547,1.7928
0,20240305,5.91,2.5462,0.65,23.0022,1.7514
0,20240306,5.99,2.2101,0.6,23.3135,1.7751
0,20240307,5.97,2.2334,0.79,23.2357,1.7691
0,20240308,5.98,1.5205,0.6,23.2746,1.7721
0,20240311,6.16,2.869,1.25,23.9752,1.8254
0,20240312,6.26,3.1274,1.37,24.3644,1.8551
0,20240313,6.18,1.9552,0.82,24.053,1.8314
0,20240314,6.18,1.9262,0.82,24.053,1.8314
0,20240315,6.32,3.0757,1.35,24.5979,1.8729
0,20240318,6.33,3.0597,1.18,24.6368,1.8758
0,20240319,6.23,2.1181,0.81,24.2476,1.8462
0,20240320,6.29,1.5436,0.64,24.4811,1.864
0,20240321,6.28,2.0345,0.87,24.4422,1.861
0,20240322,6.14,1.5902,0.67,23.8973,1.8195
0,20240325,6.02,1.5239,0.74,23.4303,1.784
0,20240326,6.11,1.6142,0.92,23.7806,1.8106
0,20240327,5.87,1.5125,0.91,22.8465,1.7395
0,20240328,5.96,1.171,0.71,23.1968,1.7662
0,20240329,6.07,1.6634,1.12,23.6249,1.7988
0,20240401,6.19,1.7409,1.16,24.0919,1.8343
0,20240402,6.2,1.5676,1.02,24.1309,1.8373
0,20240403,6.19,1.2923,0.84,24.0919,1.8343
