,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.26,26.8757,1.45,32.3871,3.6364
0,20240103,17.84,18.1389,0.88,31.6422,3.5528
0,20240104,16.53,14.7338,0.72,29.3187,3.2919
0,20240105,16.67,14.0415,0.7,29.567,3.3198
0,20240108,16.98,14.937,0.78,30.1168,3.3815
0,20240109,16.22,13.6841,0.77,28.7689,3.2301
0,20240110,15.19,11.591,0.77,26.942,3.025
0,20240111,15.39,8.6342,0.63,27.2967,3.0648
0,20240112,15.25,9.8293,0.78,27.0484,3.037
0,20240115,15.01,6.0604,0.52,26.6227,2.9892
0,20240116,14.89,6.5864,0.66,26.4099,2.9653
0,20240117,14.54,9.0551,1.06,25.7891,2.8956
0,20240118,15.99,15.4393,1.92,28.3609,3.1843
0,20240119,15.88,19.1167,2.03,28.1658,3.1624
0,20240122,15.86,14.6771,1.3,28.1303,3.1584
0,20240123,15.17,12.94,1.0,26.9065,3.021
0,20240124,14.69,12.693,0.89,26.0552,2.9254
0,20240125,13.77,13.4645,0.9,24.4234,2.7422
0,20240126,15.15,8.6854,0.6,26.871,3.0171
0,20240129,14.21,9.8231,0.79,25.2038,2.8299
0,20240130,13.28,6.6878,0.58,23.5543,2.6446
0,20240131,12.15,7.3583,0.72,21.55,2.4196
0,20240201,12.21,6.4104,0.7,21.6565,2.4316
0,20240202,11.8,5.6186,0.72,20.9293,2.3499
0,20240205,10.62,5.5513,0.77,18.8363,2.1149
0,20240206,10.5,6.799,1.07,18.6235,2.091
0,20240207,9.45,8.171,1.29,16.7611,1.8819
0,20240208,10.1,8.868,1.36,17.914,2.0114
0,20240219,10.5,6.3615,0.91,18.6235,2.091
0,20240220,11.11,7.4563,1.04,19.7054,2.2125
0,20240221,11.24,7.5903,1.01,19.936,2.2384
0,20240222,11.59,5.4012,0.7,20.5568,2.3081
0,20240223,12.26,6.9587,0.98,21.7451,2.4415
0,20240226,12.57,7.7524,1.15,22.295,2.5033
0,20240227,13.83,6.2171,0.88,24.5298,2.7542
0,20240228,13.91,17.9042,2.64,24.6717,2.7701
0,20240229,14.4,11.9624,1.35,25.5408,2.8677
0,20240301,13.94,9.2034,0.91,24.7249,2.7761
0,20240304,14.02,9.4743,0.89,24.8668,2.792
0,20240305,13.41,6.653,0.61,23.7849,2.6705
0,20240306,13.88,8.1779,0.74,24.6185,2.7641
0,20240307,13.38,6.9086,0.76,23.7317,2.6646
0,20240308,13.29,5.1138,0.63,23.572,2.6466
0,20240311,13.46,4.3352,0.6,23.8735,2.6805
0,20240312,14.08,10.7518,1.72,24.9732,2.804
0,20240313,13.87,6.8016,0.96,24.6007,2.7621
0,20240314,14.01,9.5157,1.4,24.8491,2.79
0,20240315,14.65,12.9773,1.78,25.9842,2.9175
0,20240318,14.68,9.9493,1.12,26.0374,2.9235
0,20240319,14.15,7.1765,0.72,25.0974,2.8179
0,20240320,14.32,4.7983,0.52,25.3989,2.8518
0,20240321,14.59,9.8695,1.11,25.8778,2.9055
0,20240322,14.1,6.1249,0.68,25.0087,2.8079
0,20240325,13.17,5.4771,0.72,23.3592,2.6227
0,20240326,13.57,5.4616,0.82,24.0686,2.7024
0,20240327,12.43,5.1586,0.81,22.0467,2.4754
0,20240328,12.78,4.1609,0.65,22.6675,2.5451
0,20240329,13.22,5.354,1.01,23.4479,2.6327
0,20240401,13.38,3.8423,0.75,23.7317,2.6646
0,20240402,13.83,7.4247,1.55,24.5298,2.7542
0,20240403,13.75,8.1343,1.57,24.3879,2.7382
