,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.17,2.5032,1.17,15.3124,5.367
0,20240103,4.13,2.0321,0.84,15.1656,5.3155
0,20240104,4.1,1.0874,0.43,15.0554,5.2769
0,20240105,4.01,2.0512,0.87,14.7249,5.1611
0,20240108,3.89,1.8888,0.94,14.2843,5.0066
0,20240109,3.88,1.3122,0.69,14.2475,4.9938
0,20240110,3.83,1.2521,0.75,14.0639,4.9294
0,20240111,3.88,1.4256,0.94,14.2475,4.9938
0,20240112,3.94,2.1908,1.38,14.4679,5.071
0,20240115,3.91,1.9087,1.18,14.3577,5.0324
0,20240116,3.84,1.8007,1.11,14.1007,4.9423
0,20240117,3.74,1.4071,0.82,13.7335,4.8136
0,20240118,3.71,1.9999,1.15,13.6233,4.775
0,20240119,3.7,1.1922,0.64,13.5866,4.7621
0,20240122,3.52,2.08,1.25,12.9256,4.5304
0,20240123,3.5,1.6582,0.98,12.8522,4.5047
0,20240124,3.59,2.2108,1.33,13.1827,4.6205
0,20240125,3.7,2.003,1.1,13.5866,4.7621
0,20240126,3.71,1.7374,0.95,13.6233,4.775
0,20240129,3.64,1.5085,0.78,13.3663,4.6849
0,20240130,3.53,1.1791,0.65,12.9623,4.5433
0,20240131,3.31,2.4487,1.42,12.1545,4.2601
0,20240201,3.21,2.2281,1.26,11.7873,4.1314
0,20240202,3.08,3.0578,1.68,11.3099,3.9641
0,20240205,2.77,3.4352,1.65,10.1716,3.5651
0,20240206,2.69,4.5161,1.83,9.8778,3.4622
0,20240207,2.59,4.3418,1.38,9.5106,3.3335
0,20240208,2.85,4.697,1.34,10.4653,3.6681
0,20240219,2.93,3.2384,0.81,10.7591,3.7711
0,20240220,2.99,2.2669,0.56,10.9794,3.8483
0,20240221,3.08,2.78,0.73,11.3099,3.9641
0,20240222,3.11,1.8737,0.54,11.4201,4.0027
0,20240223,3.22,2.8646,0.96,11.824,4.1443
0,20240226,3.26,2.4206,0.93,11.9709,4.1958
0,20240227,3.32,2.139,0.88,12.1912,4.273
0,20240228,3.09,4.0456,1.67,11.3466,3.977
0,20240229,3.24,2.3956,0.9,11.8974,4.1701
0,20240301,3.31,2.5935,0.94,12.1545,4.2601
0,20240304,3.47,7.7996,2.87,12.742,4.4661
0,20240305,3.81,10.8825,2.87,13.9905,4.9037
0,20240306,4.1,11.9452,2.15,15.0554,5.2769
0,20240307,4.11,11.6153,1.63,15.0921,5.2898
0,20240308,3.97,7.0568,0.79,14.578,5.1096
0,20240311,3.84,8.5507,0.87,14.1007,4.9423
0,20240312,3.84,5.1852,0.52,14.1007,4.9423
0,20240313,3.79,3.9777,0.45,13.9171,4.8779
0,20240314,3.92,7.7515,1.07,14.3944,5.0452
0,20240315,3.9,6.4822,1.0,14.321,5.0195
0,20240318,3.85,4.8044,0.75,14.1374,4.9552
0,20240319,3.85,3.9516,0.7,14.1374,4.9552
0,20240320,3.84,2.8593,0.53,14.1007,4.9423
0,20240321,4.22,18.1113,3.5,15.496,5.4314
0,20240322,3.99,13.158,1.82,14.6515,5.1353
0,20240325,4.05,9.868,1.15,14.8718,5.2126
0,20240326,3.91,7.3033,0.76,14.3577,5.0324
0,20240327,4.01,9.1486,0.89,14.7249,5.1611
0,20240328,4.11,9.5399,0.83,15.0921,5.2898
0,20240329,4.12,13.7432,1.4,15.1288,5.3027
0,20240401,4.14,10.0331,1.01,15.2023,5.3284
0,20240402,4.55,22.6699,2.28,16.7078,5.8561
0,20240403,5.01,22.9027,1.76,18.397,6.4481
