,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.33,0.5035,0.93,14.8119,1.9224
0,20240103,10.29,0.4689,0.85,14.7545,1.915
0,20240104,10.19,0.5457,0.99,14.6112,1.8964
0,20240105,10.02,0.5558,0.97,14.3674,1.8648
0,20240108,9.67,1.0595,2.0,13.8655,1.7996
0,20240109,9.74,0.5814,0.93,13.9659,1.8126
0,20240110,9.67,0.489,0.76,13.8655,1.7996
0,20240111,9.89,0.6933,1.07,14.181,1.8406
0,20240112,9.83,0.4723,0.7,14.095,1.8294
0,20240115,9.73,0.336,0.51,13.9516,1.8108
0,20240116,9.61,0.6456,1.25,13.7795,1.7884
0,20240117,9.4,0.5535,1.05,13.4784,1.7494
0,20240118,9.28,0.8801,1.63,13.3063,1.727
0,20240119,9.25,0.4581,0.79,13.2633,1.7215
0,20240122,8.66,0.8757,1.52,12.4173,1.6117
0,20240123,8.82,0.7294,1.07,12.6467,1.6414
0,20240124,8.91,0.6528,0.93,12.7758,1.6582
0,20240125,9.25,1.0041,1.4,13.2633,1.7215
0,20240126,9.18,0.7629,1.03,13.1629,1.7084
0,20240129,9.23,1.3925,1.73,13.2346,1.7177
0,20240130,8.81,1.0118,1.11,12.6324,1.6396
0,20240131,8.4,1.0485,1.09,12.0445,1.5633
0,20240201,8.26,0.8177,0.78,11.8438,1.5372
0,20240202,7.8,1.3525,1.34,11.1842,1.4516
0,20240205,7.24,1.6569,1.47,10.3812,1.3474
0,20240206,7.96,1.393,1.18,11.4136,1.4814
0,20240207,8.76,1.6124,1.29,12.5607,1.6303
0,20240208,9.11,4.023,2.94,13.0626,1.6954
0,20240219,9.05,1.8319,0.91,12.9765,1.6842
0,20240220,8.92,0.9986,0.47,12.7901,1.66
0,20240221,8.92,1.5179,0.77,12.7901,1.66
0,20240222,8.99,1.1079,0.55,12.8905,1.6731
0,20240223,9.09,1.2679,0.67,13.0339,1.6917
0,20240226,9.2,1.6824,1.25,13.1916,1.7121
0,20240227,9.41,1.3309,1.01,13.4927,1.7512
0,20240228,9.12,2.1452,1.55,13.0769,1.6973
0,20240229,9.32,1.3732,0.91,13.3637,1.7345
0,20240301,9.43,1.2394,0.79,13.5214,1.755
0,20240304,9.33,0.9418,0.61,13.378,1.7363
0,20240305,9.19,1.3047,0.93,13.1773,1.7103
0,20240306,9.15,0.8324,0.59,13.1199,1.7028
0,20240307,9.23,1.9424,1.71,13.2346,1.7177
0,20240308,9.26,0.961,0.77,13.2777,1.7233
0,20240311,9.5,1.6527,1.38,13.6218,1.768
0,20240312,9.44,1.1813,0.88,13.5357,1.7568
0,20240313,9.46,1.0084,0.77,13.5644,1.7605
0,20240314,9.42,1.1617,0.86,13.5071,1.7531
0,20240315,9.62,1.492,1.25,13.7938,1.7903
0,20240318,9.9,1.8058,1.39,14.1953,1.8424
0,20240319,9.84,1.6845,1.27,14.1093,1.8313
0,20240320,9.85,0.9284,0.65,14.1236,1.8331
0,20240321,9.81,0.9678,0.68,14.0663,1.8257
0,20240322,9.64,1.1124,0.81,13.8225,1.794
0,20240325,9.37,1.0307,0.79,13.4354,1.7438
0,20240326,9.33,0.8068,0.7,13.378,1.7363
0,20240327,9.03,0.7747,0.8,12.9479,1.6805
0,20240328,9.18,0.889,0.95,40.5374,1.6936
0,20240329,9.38,0.8916,0.97,41.4206,1.7305
0,20240401,9.67,1.1988,1.36,42.7012,1.784
0,20240402,9.68,1.0727,1.18,42.7453,1.7859
0,20240403,9.8,1.9531,2.02,43.2752,1.808
