,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,39.11,1.6939,0.89,37.0677,3.2726
0,20240103,38.42,1.8201,0.99,36.4137,3.2148
0,20240104,38.94,1.5568,0.85,36.9065,3.2584
0,20240105,37.23,2.3576,1.27,35.2858,3.1153
0,20240108,35.8,1.7531,0.91,33.9305,2.9956
0,20240109,35.39,1.8305,1.0,33.5419,2.9613
0,20240110,34.3,1.4802,0.79,32.5088,2.8701
0,20240111,35.34,1.8557,1.03,33.4945,2.9571
0,20240112,34.28,1.5319,0.83,32.4899,2.8684
0,20240115,32.62,3.4442,2.04,30.9166,2.7295
0,20240116,32.13,2.9939,1.48,30.4522,2.6885
0,20240117,31.83,1.9353,0.86,30.1678,2.6634
0,20240118,32.89,3.1538,1.34,31.1725,2.7521
0,20240119,32.51,2.1172,0.81,30.8123,2.7203
0,20240122,32.0,2.4086,0.88,30.3289,2.6776
0,20240123,33.4,3.2676,1.3,31.6558,2.7948
0,20240124,33.64,2.7409,1.06,31.8833,2.8149
0,20240125,34.99,3.6927,1.35,33.1628,2.9278
0,20240126,33.99,2.5419,0.89,32.215,2.8442
0,20240129,33.61,2.3617,0.81,31.8549,2.8124
0,20240130,32.86,1.8847,0.65,31.144,2.7496
0,20240131,31.35,2.4106,0.91,29.7129,2.6233
0,20240201,31.98,2.4982,0.97,30.31,2.676
0,20240202,30.79,3.1733,1.36,29.1821,2.5764
0,20240205,30.1,2.8185,1.14,28.5282,2.5187
0,20240206,32.4,3.0206,1.18,30.7081,2.7111
0,20240207,32.65,2.7889,1.0,30.945,2.732
0,20240208,34.0,2.8928,1.01,32.2245,2.845
0,20240219,37.4,5.949,2.02,35.4469,3.1295
0,20240220,36.58,4.7005,1.35,34.6698,3.0609
0,20240221,36.12,3.4198,0.88,34.2338,3.0224
0,20240222,39.14,8.2581,2.09,37.0961,3.2751
0,20240223,39.32,6.1961,1.23,37.2667,3.2902
0,20240226,41.69,7.8464,1.38,39.5129,3.2675
0,20240227,45.86,6.1586,1.01,43.4652,3.5943
0,20240228,47.56,18.018,2.83,45.0764,3.7276
0,20240229,49.71,16.144,1.74,47.1141,3.8961
0,20240301,53.5,14.7492,1.36,50.7062,4.1931
0,20240304,53.92,12.8025,1.02,51.1043,4.226
0,20240305,52.94,12.7787,0.94,50.1754,4.1492
0,20240306,54.5,11.781,0.79,51.654,4.2715
0,20240307,52.07,10.0763,0.74,49.3509,4.081
0,20240308,53.15,8.1562,0.66,50.3745,4.1657
0,20240311,55.12,9.8079,0.88,52.2416,4.3201
0,20240312,53.2,8.1343,0.77,50.4219,4.1696
0,20240313,51.62,8.4188,0.88,48.9244,4.0458
0,20240314,52.3,8.137,0.91,49.5689,4.0991
0,20240315,52.46,6.0036,0.7,49.7205,4.1116
0,20240318,53.3,8.0934,1.0,50.5166,4.1774
0,20240319,52.43,6.0145,0.78,49.6921,4.1092
0,20240320,53.42,8.0662,1.1,50.6304,4.1868
0,20240321,52.26,5.5231,0.76,49.531,4.0959
0,20240322,54.09,9.6806,1.44,51.2654,4.2393
0,20240325,51.77,7.6914,1.03,49.0665,4.0575
0,20240326,48.77,10.0289,1.36,46.2232,3.8224
0,20240327,47.05,6.3962,0.78,44.593,3.6876
0,20240328,48.87,7.5846,0.96,46.318,3.8302
0,20240329,47.75,4.7306,0.57,45.2565,3.7424
0,20240401,48.89,4.7477,0.65,46.3369,3.8318
0,20240402,47.54,3.9626,0.59,45.0574,3.726
0,20240403,46.05,3.9635,0.72,43.6452,3.6092
