,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.71,0.302,1.29,11.8167,1.1691
0,20240103,6.79,0.252,1.03,11.9576,1.183
0,20240104,6.79,0.221,0.88,11.9576,1.183
0,20240105,6.72,0.202,0.81,11.8343,1.1708
0,20240108,6.57,0.2672,1.12,11.5701,1.1447
0,20240109,6.45,0.3594,1.44,11.3588,1.1238
0,20240110,6.44,0.2795,1.07,11.3412,1.122
0,20240111,6.56,0.2988,1.12,11.5525,1.1429
0,20240112,6.58,0.2356,0.84,11.5878,1.1464
0,20240115,6.56,0.2116,0.73,11.5525,1.1429
0,20240116,6.47,0.3115,1.12,11.394,1.1273
0,20240117,6.3,0.2516,0.94,11.0947,1.0976
0,20240118,6.09,0.8058,3.08,10.7248,1.061
0,20240119,6.06,0.3589,0.99,10.672,1.0558
0,20240122,5.71,0.6212,1.6,10.0556,0.9948
0,20240123,5.73,0.573,1.22,10.0909,0.9983
0,20240124,5.92,0.5446,1.04,10.4255,1.0314
0,20240125,6.27,0.6298,1.08,11.0418,1.0924
0,20240126,6.34,0.5674,1.04,11.1651,1.1046
0,20240129,6.31,0.5081,0.87,11.1123,1.0994
0,20240130,6.13,0.4374,0.77,10.7953,1.068
0,20240131,5.97,0.6265,1.17,10.5135,1.0401
0,20240201,5.79,0.5401,0.98,10.1965,1.0088
0,20240202,5.58,0.8742,1.63,9.8267,0.9722
0,20240205,5.24,1.1097,1.86,9.2279,0.913
0,20240206,5.76,1.2464,1.74,10.1437,1.0036
0,20240207,6.29,1.6244,1.85,11.077,1.0959
0,20240208,6.35,1.5004,1.39,11.1827,1.1063
0,20240219,6.22,1.0072,0.79,10.9538,1.0837
0,20240220,6.14,0.4635,0.36,10.8129,1.0698
0,20240221,6.16,0.549,0.47,10.8481,1.0732
0,20240222,6.16,0.4916,0.48,10.8481,1.0732
0,20240223,6.18,0.5469,0.68,10.8833,1.0767
0,20240226,6.12,0.6366,1.04,10.7777,1.0663
0,20240227,6.21,0.4939,0.92,10.9362,1.082
0,20240228,6.15,0.9707,1.79,10.8305,1.0715
0,20240229,6.25,0.7357,1.17,11.0066,1.0889
0,20240301,6.24,0.4852,0.72,10.989,1.0872
0,20240304,6.14,0.4842,0.73,10.8129,1.0698
0,20240305,6.1,0.4267,0.67,10.7424,1.0628
0,20240306,6.04,0.4967,0.8,10.6368,1.0523
0,20240307,6.05,0.5802,1.1,10.6544,1.0541
0,20240308,6.01,0.4381,0.89,10.5839,1.0471
0,20240311,6.03,0.6075,1.25,10.6192,1.0506
0,20240312,6.04,0.5494,1.08,10.6368,1.0523
0,20240313,5.98,0.5764,1.08,10.5311,1.0419
0,20240314,5.95,0.5809,1.06,10.4783,1.0367
0,20240315,6.03,0.5083,0.92,10.6192,1.0506
0,20240318,6.04,0.5803,1.03,10.6368,1.0523
0,20240319,5.97,0.5427,0.97,10.5135,1.0401
0,20240320,5.98,0.589,1.06,10.5311,1.0419
0,20240321,5.98,0.583,1.04,10.5311,1.0419
0,20240322,5.84,0.6843,1.22,10.2846,1.0175
0,20240325,5.71,0.5086,0.85,10.0556,0.9948
0,20240326,5.72,0.403,0.69,10.0732,0.9966
0,20240327,5.63,0.4033,0.73,9.9147,0.9809
0,20240328,5.64,0.5044,0.98,9.9324,0.9826
0,20240329,5.76,0.5318,1.06,10.1437,1.0036
0,20240401,6.0,0.7489,1.59,10.5663,1.0454
0,20240402,6.11,0.8656,1.67,10.7601,1.0645
0,20240403,6.13,0.5858,0.96,10.7953,1.068
