,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.32,0.9598,1.64,23.9294,1.6023
0,20240103,8.47,1.0166,1.53,24.3608,1.6312
0,20240104,8.46,0.5597,0.72,24.332,1.6293
0,20240105,8.34,0.523,0.67,23.9869,1.6062
0,20240108,8.23,0.669,0.92,23.6705,1.585
0,20240109,8.22,0.5618,0.75,23.6418,1.583
0,20240110,8.2,0.4679,0.7,23.5843,1.5792
0,20240111,8.22,0.443,0.8,23.6418,1.583
0,20240112,8.24,0.4261,0.8,23.6993,1.5869
0,20240115,8.12,0.778,1.52,23.3542,1.5638
0,20240116,8.26,0.8352,1.56,23.7568,1.5907
0,20240117,8.15,0.6725,1.14,23.4404,1.5696
0,20240118,7.98,1.1275,1.79,22.9515,1.5368
0,20240119,7.89,0.4995,0.65,22.6927,1.5195
0,20240122,7.49,0.93,1.19,21.5422,1.4425
0,20240123,7.67,0.8701,1.07,22.0599,1.4771
0,20240124,7.85,0.8979,1.1,22.5776,1.5118
0,20240125,8.22,1.1146,1.29,23.6418,1.583
0,20240126,8.36,1.1839,1.37,24.0444,1.61
0,20240129,8.3,1.0253,1.03,23.8719,1.5985
0,20240130,8.18,1.0289,1.01,23.5267,1.5753
0,20240131,8.46,3.3673,3.21,24.332,1.6293
0,20240201,8.27,2.6836,1.74,23.7856,1.5927
0,20240202,8.19,2.2238,1.2,23.5555,1.5773
0,20240205,7.9,2.4264,1.17,22.7214,1.5214
0,20240206,8.27,2.1259,0.91,23.7856,1.5927
0,20240207,8.62,2.7538,1.07,24.7922,1.6601
0,20240208,8.61,2.4919,1.02,24.7635,1.6582
0,20240219,8.76,2.0591,0.86,25.1949,1.687
0,20240220,8.83,1.7128,0.72,25.3962,1.7005
0,20240221,8.82,1.773,0.8,25.3674,1.6986
0,20240222,8.85,1.3091,0.61,25.4537,1.7044
0,20240223,8.89,1.5924,0.85,25.5688,1.7121
0,20240226,8.82,1.4541,0.86,25.3674,1.6986
0,20240227,8.98,1.4301,0.91,25.8276,1.7294
0,20240228,8.89,1.856,1.23,25.5688,1.7121
0,20240229,9.17,1.8544,1.21,26.3741,1.766
0,20240301,9.14,1.3531,0.83,26.2878,1.7602
0,20240304,9.0,1.6869,1.06,25.8852,1.7333
0,20240305,9.0,1.0481,0.64,25.8852,1.7333
0,20240306,8.94,0.8453,0.54,25.7126,1.7217
0,20240307,9.02,1.3348,0.98,25.9427,1.7371
0,20240308,9.09,0.9325,0.74,26.144,1.7506
0,20240311,9.16,1.2288,1.05,26.3453,1.7641
0,20240312,9.16,1.7662,1.64,26.3453,1.7641
0,20240313,9.05,0.9903,0.81,26.029,1.7429
0,20240314,9.05,0.7249,0.58,26.029,1.7429
0,20240315,9.18,0.8588,0.76,26.4029,1.7679
0,20240318,9.29,1.3,1.17,26.7192,1.7891
0,20240319,9.3,0.8181,0.73,26.748,1.791
0,20240320,9.27,0.7181,0.77,26.6617,1.7853
0,20240321,9.39,1.1038,1.25,27.0068,1.8084
0,20240322,9.26,1.1574,1.21,26.6329,1.7833
0,20240325,9.2,1.076,1.06,26.4604,1.7718
0,20240326,9.26,0.8342,0.86,26.6329,1.7833
0,20240327,9.14,1.0679,1.09,26.2878,1.7602
0,20240328,9.18,0.8862,0.85,26.4029,1.7679
0,20240329,9.6,1.5125,1.51,27.6108,1.8488
0,20240401,9.91,2.3741,2.21,28.5024,1.9085
0,20240402,9.96,1.4195,1.06,28.6462,1.9181
0,20240403,10.34,2.3184,1.6,29.7392,1.9913
