,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,22.42,0.8156,1.28,119.1675,3.7287
0,20240103,22.1,0.4322,0.72,117.4666,3.6754
0,20240104,21.59,0.4598,0.84,114.7559,3.5906
0,20240105,20.88,0.4866,0.86,110.9821,3.4725
0,20240108,20.18,0.5423,0.97,107.2614,3.3561
0,20240109,20.0,0.7166,1.31,106.3046,3.3262
0,20240110,19.78,0.4042,0.77,105.1353,3.2896
0,20240111,20.06,0.402,0.77,106.6236,3.3362
0,20240112,20.02,0.3392,0.66,106.411,3.3295
0,20240115,19.24,0.7049,1.47,102.2651,3.1998
0,20240116,19.4,0.5519,1.08,103.1155,3.2264
0,20240117,19.18,0.4894,1.02,101.9462,3.1898
0,20240118,19.6,0.641,1.29,104.1786,3.2597
0,20240119,19.36,0.3488,0.64,102.9029,3.2197
0,20240122,19.0,0.6357,1.16,100.9894,3.1599
0,20240123,19.29,0.4515,0.85,102.5308,3.2081
0,20240124,19.72,0.5185,1.01,104.8164,3.2796
0,20240125,20.52,0.8974,1.73,109.0686,3.4127
0,20240126,20.56,0.5367,0.94,109.2812,3.4193
0,20240129,20.3,0.43,0.71,107.8992,3.3761
0,20240130,20.12,0.4287,0.76,106.9425,3.3461
0,20240131,19.29,0.5663,1.01,102.5308,3.2081
0,20240201,19.29,0.4354,0.76,102.5308,3.2081
0,20240202,18.72,0.6556,1.37,99.5012,3.1133
0,20240205,18.28,0.6671,1.33,97.1624,3.0401
0,20240206,19.48,0.5658,1.03,103.5407,3.2397
0,20240207,19.86,0.7968,1.38,105.5605,3.3029
0,20240208,20.09,0.701,1.12,106.783,3.3412
0,20240219,20.3,0.5615,0.83,107.8992,3.3761
0,20240220,20.19,0.3832,0.58,107.3145,3.3578
0,20240221,20.4,0.5758,0.96,108.4307,3.3927
0,20240222,20.46,0.4447,0.74,108.7497,3.4027
0,20240223,20.54,0.4753,0.89,109.1749,3.416
0,20240226,20.63,0.5048,1.03,109.6532,3.431
0,20240227,20.8,0.4369,0.92,110.5568,3.4592
0,20240228,20.26,0.6738,1.38,107.6866,3.3694
0,20240229,20.83,0.5474,1.08,110.7163,3.4642
0,20240301,21.37,0.7264,1.38,113.5865,3.554
0,20240304,21.29,0.4484,0.78,113.1613,3.5407
0,20240305,21.62,0.8619,1.52,114.9153,3.5956
0,20240306,21.74,0.6111,0.94,115.5532,3.6156
0,20240307,21.17,0.4773,0.75,112.5235,3.5208
0,20240308,21.24,0.3395,0.54,112.8955,3.5324
0,20240311,21.85,0.7209,1.32,116.1378,3.6339
0,20240312,22.23,0.8481,1.41,118.1576,3.6971
0,20240313,22.4,0.9424,1.57,119.0612,3.7253
0,20240314,21.85,0.6183,0.93,116.1378,3.6339
0,20240315,21.99,0.4182,0.6,116.882,3.6571
0,20240318,22.55,0.7185,1.01,119.8585,3.7503
0,20240319,22.52,0.652,0.92,119.699,3.7453
0,20240320,22.35,0.4631,0.69,118.7954,3.717
0,20240321,22.38,0.5007,0.87,118.9549,3.722
0,20240322,21.81,0.4962,0.9,115.9252,3.6272
0,20240325,21.55,0.4029,0.71,114.5433,3.584
0,20240326,21.58,0.3521,0.7,114.7027,3.589
0,20240327,20.9,0.4314,0.97,111.0884,3.4759
0,20240328,21.5,0.4722,1.08,114.2775,3.5756
0,20240329,21.64,0.448,1.04,115.0216,3.5989
0,20240401,21.84,0.4053,0.96,116.0847,3.6322
0,20240402,21.36,0.6371,1.51,69.0128,3.0401
0,20240403,20.9,0.4915,1.03,67.5266,2.9746
