,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.23,2.9122,1.73,1227.341,1.8158
0,20240103,8.36,2.6583,1.38,1246.7279,1.8444
0,20240104,8.39,2.6054,1.19,1251.2018,1.8511
0,20240105,8.22,2.3324,0.94,1225.8497,1.8136
0,20240108,8.19,2.3716,0.95,1221.3758,1.8069
0,20240109,8.62,7.1549,2.78,1285.5017,1.9018
0,20240110,8.43,4.6379,1.35,1257.167,1.8599
0,20240111,8.41,3.3331,0.87,1254.1844,1.8555
0,20240112,8.22,2.9052,0.73,1225.8497,1.8136
0,20240115,8.67,7.7876,1.91,1292.9582,1.9128
0,20240116,8.83,9.8421,1.91,1316.8191,1.9481
0,20240117,8.46,6.0146,1.05,1261.6409,1.8665
0,20240118,8.23,5.0352,0.84,1227.341,1.8158
0,20240119,9.05,5.6199,0.89,1349.6277,1.9967
0,20240122,8.93,14.3374,2.09,1331.7321,1.9702
0,20240123,8.97,9.3331,1.14,1337.6973,1.979
0,20240124,9.31,11.9232,1.48,1388.4015,2.054
0,20240125,9.13,9.0499,0.98,1361.5581,2.0143
0,20240126,9.1,7.9862,0.79,1357.0842,2.0077
0,20240129,8.6,6.1739,0.59,1282.5191,1.8974
0,20240130,8.74,6.4713,0.73,1303.3973,1.9283
0,20240131,8.66,5.9392,0.71,1291.4669,1.9106
0,20240201,8.15,5.5469,0.78,1215.4106,1.7981
0,20240202,8.97,12.9764,2.02,1337.6973,1.979
0,20240205,8.58,11.2824,1.52,1279.5365,1.893
0,20240206,8.96,10.6501,1.26,1336.206,1.9768
0,20240207,8.59,8.4081,0.91,1281.0278,1.8952
0,20240208,9.11,8.9356,0.91,1358.5755,2.0099
0,20240219,9.19,10.0698,0.96,1370.5059,2.0276
0,20240220,9.13,5.8058,0.59,1361.5581,2.0143
0,20240221,9.5,11.0127,1.26,1416.7362,2.096
0,20240222,9.48,9.0435,1.02,1413.7536,2.0915
0,20240223,9.29,7.1735,0.8,1385.4189,2.0496
0,20240226,9.2,4.9532,0.57,1371.9972,2.0298
0,20240227,9.27,5.0347,0.66,1382.4363,2.0452
0,20240228,8.86,7.1597,0.96,1321.293,1.9548
0,20240229,8.99,4.4204,0.66,1340.6799,1.9834
0,20240301,8.94,3.6838,0.64,1333.2234,1.9724
0,20240304,8.98,3.312,0.66,1339.1886,1.9812
0,20240305,9.2,6.0578,1.28,1371.9972,2.0298
0,20240306,9.23,4.4909,0.91,1376.4711,2.0364
0,20240307,9.45,8.2434,1.88,1409.2797,2.0849
0,20240308,9.28,5.2075,1.01,1383.9276,2.0474
0,20240311,9.5,5.0015,0.92,1416.7362,2.096
0,20240312,9.6,9.2819,1.6,23.1964,2.1054
0,20240313,9.44,5.328,0.83,22.8098,2.0703
0,20240314,9.75,10.2506,1.55,23.5589,2.1383
0,20240315,9.73,5.4996,0.78,23.5105,2.1339
0,20240318,9.75,4.8399,0.68,23.5589,2.1383
0,20240319,9.62,4.4027,0.63,23.2448,2.1098
0,20240320,9.63,3.1579,0.52,23.2689,2.112
0,20240321,9.74,4.5312,0.8,23.5347,2.1361
0,20240322,9.51,3.6761,0.82,22.979,2.0857
0,20240325,9.49,3.4327,0.83,22.9306,2.0813
0,20240326,9.75,4.2552,1.11,23.5589,2.1383
0,20240327,9.57,4.4054,1.16,23.1239,2.0988
0,20240328,9.77,4.3332,1.07,23.6072,2.1427
0,20240329,10.08,7.1655,1.78,24.3563,2.2107
0,20240401,10.15,5.8289,1.24,24.5254,2.226
0,20240402,10.04,4.5417,0.87,24.2596,2.2019
0,20240403,10.03,3.1328,0.6,24.2354,2.1997
