,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,23.16,1.4835,2.05,22.6209,2.4802
0,20240103,22.96,1.08,1.15,22.4256,2.4588
0,20240104,22.48,0.8373,0.85,21.9567,2.4074
0,20240105,21.92,1.1122,1.08,21.4098,2.3474
0,20240108,21.29,1.1862,1.09,20.7944,2.2799
0,20240109,21.56,0.779,0.68,21.0581,2.3088
0,20240110,21.48,0.6591,0.66,20.98,2.3003
0,20240111,22.31,1.7776,1.94,21.7907,2.3892
0,20240112,21.87,0.8573,0.78,21.3609,2.342
0,20240115,21.66,0.7153,0.68,21.1558,2.3195
0,20240116,21.4,1.2281,1.28,20.9019,2.2917
0,20240117,20.67,0.8226,0.79,20.1889,2.2135
0,20240118,20.82,0.897,0.83,20.3354,2.2296
0,20240119,20.62,0.5729,0.63,20.14,2.2082
0,20240122,19.62,0.9001,1.06,19.1633,2.1011
0,20240123,19.86,0.8028,0.91,19.3977,2.1268
0,20240124,19.93,0.8163,1.02,19.4661,2.1343
0,20240125,20.53,0.9964,1.25,20.0521,2.1985
0,20240126,19.49,1.6011,1.96,19.0363,2.0872
0,20240129,19.19,1.241,1.21,18.7433,2.055
0,20240130,18.82,0.7479,0.69,18.3819,2.0154
0,20240131,17.93,1.1782,1.09,17.5126,1.9201
0,20240201,18.31,1.425,1.24,17.8838,1.9608
0,20240202,17.21,1.3919,1.12,16.8094,1.843
0,20240205,16.72,1.8234,1.52,16.3308,1.7905
0,20240206,18.07,1.4856,1.13,17.6494,1.9351
0,20240207,19.88,2.5043,1.71,19.4173,2.1289
0,20240208,20.07,1.928,1.12,19.6028,2.1493
0,20240219,19.54,1.4997,0.82,19.0852,2.0925
0,20240220,19.67,1.0118,0.55,19.2121,2.1064
0,20240221,19.74,1.2254,0.73,19.2805,2.1139
0,20240222,19.84,0.9457,0.58,19.3782,2.1246
0,20240223,19.88,1.0194,0.77,19.4173,2.1289
0,20240226,20.25,1.4211,1.25,19.7786,2.1685
0,20240227,20.8,1.0612,0.94,20.3158,2.2274
0,20240228,20.28,1.677,1.48,19.8079,2.1718
0,20240229,20.45,1.9205,1.57,19.974,2.19
0,20240301,20.46,1.185,0.83,19.9838,2.191
0,20240304,20.97,1.7223,1.19,20.4819,2.2457
0,20240305,20.25,1.3579,0.9,19.7786,2.1685
0,20240306,20.21,0.9449,0.6,19.7396,2.1643
0,20240307,18.87,2.539,1.78,18.4308,2.0208
0,20240308,18.92,1.2602,0.81,18.4796,2.0261
0,20240311,19.6,1.2978,0.83,19.1438,2.0989
0,20240312,20.15,1.6052,1.08,19.681,2.1578
0,20240313,19.9,1.1551,0.76,19.4368,2.1311
0,20240314,19.92,2.1749,1.38,19.4563,2.1332
0,20240315,19.79,1.696,1.13,19.3293,2.1193
0,20240318,20.11,1.4201,0.9,19.6419,2.1536
0,20240319,19.75,1.0662,0.66,19.2903,2.115
0,20240320,19.84,1.0931,0.73,19.3782,2.1246
0,20240321,19.57,0.9303,0.62,19.1145,2.0957
0,20240322,18.91,1.3962,1.12,18.4698,2.025
0,20240325,18.66,1.3159,1.11,18.2257,1.9983
0,20240326,18.27,1.4505,1.25,17.8447,1.9565
0,20240327,17.99,1.0069,0.81,17.5712,1.9265
0,20240328,18.05,1.0153,0.83,17.6299,1.933
0,20240329,17.83,1.4165,1.15,17.415,1.9094
0,20240401,18.13,1.4261,1.15,17.708,1.9415
0,20240402,17.97,1.075,0.85,17.5517,1.9244
0,20240403,17.95,0.9666,0.81,17.5322,1.9222
