,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.69,0.7628,1.14,,3.282
0,20240103,5.8,0.9688,1.51,,3.3455
0,20240104,5.83,1.2091,1.69,,3.3628
0,20240105,5.75,0.8511,0.99,,3.3166
0,20240108,5.71,1.1996,1.36,,3.2935
0,20240109,5.93,2.4274,2.43,,3.4204
0,20240110,5.79,1.5197,1.14,,3.3397
0,20240111,5.75,0.9558,0.66,,3.3166
0,20240112,5.64,0.7219,0.52,,3.2532
0,20240115,5.85,1.5523,1.14,,3.3743
0,20240116,5.91,2.1097,1.47,,3.4089
0,20240117,5.64,1.4027,1.02,,3.2532
0,20240118,5.49,1.5988,1.19,,3.1667
0,20240119,6.04,4.1908,2.84,,3.4839
0,20240122,5.73,4.9946,2.3,,3.3051
0,20240123,5.68,3.4368,1.2,,3.2762
0,20240124,5.74,2.1088,0.67,,3.3109
0,20240125,5.84,2.2647,0.69,,3.3685
0,20240126,5.84,2.0218,0.59,,3.3685
0,20240129,5.56,1.3886,0.47,,3.207
0,20240130,5.38,1.9323,0.86,,3.1032
0,20240131,4.9,2.6822,1.38,,2.8263
0,20240201,4.68,1.3655,0.66,,2.6994
0,20240202,4.69,1.4746,0.79,,2.7052
0,20240205,4.27,1.4324,0.81,,2.463
0,20240206,4.37,1.2093,0.68,,2.5206
0,20240207,4.31,1.1272,0.69,,2.486
0,20240208,4.6,1.312,0.99,,2.6533
0,20240219,4.68,1.155,0.88,,2.6994
0,20240220,4.71,0.866,0.69,,2.7167
0,20240221,4.77,1.1163,0.98,,2.7514
0,20240222,4.93,1.784,1.6,,2.8436
0,20240223,4.91,1.2467,1.0,,2.8321
0,20240226,4.9,0.9742,0.79,,2.8263
0,20240227,4.94,0.874,0.73,,2.8494
0,20240228,4.73,1.5285,1.27,,2.7283
0,20240229,4.8,0.8131,0.63,,2.7687
0,20240301,4.81,0.6829,0.63,,2.7744
0,20240304,4.81,0.5177,0.53,,2.7744
0,20240305,4.81,0.8504,0.96,,2.7744
0,20240306,4.89,0.8888,1.01,,2.8206
0,20240307,5.05,1.9113,2.55,,2.9129
0,20240308,4.9,1.1809,1.22,,2.8263
0,20240311,4.93,0.7011,0.66,,2.8436
0,20240312,5.03,1.1875,1.07,,2.9013
0,20240313,5.04,0.8673,0.74,,2.9071
0,20240314,5.15,1.5836,1.35,,2.9705
0,20240315,5.15,0.8479,0.77,,2.9705
0,20240318,5.29,1.7207,1.66,,3.0513
0,20240319,5.4,1.5958,1.29,,3.1147
0,20240320,5.46,1.3068,0.99,,3.1493
0,20240321,5.57,1.3713,0.97,,3.2128
0,20240322,5.47,1.1963,0.87,,3.1551
0,20240325,5.31,1.038,0.72,,3.0628
0,20240326,5.27,0.8518,0.65,,3.0398
0,20240327,5.19,0.709,0.61,,2.9936
0,20240328,5.22,0.8091,0.78,,3.0109
0,20240329,5.37,0.9291,1.01,,3.0974
0,20240401,5.42,0.9371,1.08,,3.7598
0,20240402,5.48,1.3149,1.55,,3.8014
0,20240403,5.41,0.8332,0.89,,3.7529
