,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,49.32,0.2288,1.02,29.5293,2.2218
0,20240103,49.53,0.2561,1.1,29.6551,2.2313
0,20240104,49.28,0.229,0.9,29.5054,2.22
0,20240105,48.82,0.2151,0.81,29.23,2.1993
0,20240108,48.3,0.2727,1.14,28.9186,2.1759
0,20240109,48.45,0.2115,0.88,29.0084,2.1827
0,20240110,48.05,0.2068,0.87,28.769,2.1646
0,20240111,48.07,0.2714,1.2,28.7809,2.1655
0,20240112,47.97,0.2082,0.88,28.7211,2.161
0,20240115,48.47,0.2164,0.92,29.0204,2.1836
0,20240116,49.1,0.3322,1.49,29.3976,2.2119
0,20240117,48.21,0.2914,1.18,28.8647,2.1718
0,20240118,48.48,0.5105,1.93,29.0264,2.184
0,20240119,48.22,0.303,0.97,28.8707,2.1723
0,20240122,47.31,0.441,1.33,28.3259,2.1313
0,20240123,47.37,0.3891,1.04,28.3618,2.134
0,20240124,48.33,0.4901,1.27,28.9366,2.1773
0,20240125,49.08,0.4088,0.96,29.3856,2.211
0,20240126,49.41,0.4604,1.13,29.5832,2.2259
0,20240129,49.17,0.4672,1.07,29.4395,2.2151
0,20240130,48.24,0.3342,0.75,28.8827,2.1732
0,20240131,46.51,0.6403,1.48,27.8469,2.0953
0,20240201,46.25,0.4742,1.03,27.6912,2.0835
0,20240202,46.17,0.594,1.25,27.6433,2.0799
0,20240205,46.8,0.7477,1.49,28.0205,2.1083
0,20240206,49.45,0.9228,1.65,29.6072,2.2277
0,20240207,49.41,0.7546,1.12,29.5832,2.2259
0,20240208,49.42,0.6308,0.9,29.5892,2.2264
0,20240219,49.87,0.7764,1.06,29.8586,2.2466
0,20240220,50.0,0.5977,0.78,29.9365,2.2525
0,20240221,49.97,0.6425,0.87,29.9185,2.2511
0,20240222,49.98,0.5297,0.78,29.9245,2.2516
0,20240223,49.71,0.5379,0.85,29.7628,2.2394
0,20240226,49.46,0.4616,0.75,29.6132,2.2282
0,20240227,49.71,0.3354,0.61,29.7628,2.2394
0,20240228,49.49,0.6452,1.29,29.6311,2.2295
0,20240229,49.83,0.5411,1.08,29.8347,2.2448
0,20240301,50.49,0.7579,1.5,30.2299,2.2746
0,20240304,50.66,0.6504,1.19,30.3316,2.2822
0,20240305,51.3,0.7996,1.36,30.7148,2.311
0,20240306,51.01,0.5024,0.74,30.5412,2.298
0,20240307,50.65,0.5092,0.78,30.3256,2.2818
0,20240308,51.59,0.6489,1.01,30.8885,2.3241
0,20240311,51.56,0.4139,0.67,30.8705,2.3228
0,20240312,52.0,0.5511,0.96,31.1339,2.3426
0,20240313,51.87,0.3624,0.69,31.0561,2.3367
0,20240314,51.34,0.4395,0.88,30.7388,2.3128
0,20240315,51.46,0.3314,0.69,30.8106,2.3183
0,20240318,51.61,0.4129,0.98,30.9004,2.325
0,20240319,51.27,0.3295,0.79,30.6969,2.3097
0,20240320,51.25,0.3342,0.89,30.6849,2.3088
0,20240321,51.0,0.293,0.79,30.5352,2.2975
0,20240322,50.62,0.3839,1.13,30.3077,2.2804
0,20240325,50.91,0.4968,1.42,30.4813,2.2935
0,20240326,50.86,0.2776,0.76,30.4514,2.2912
0,20240327,50.29,0.2911,0.82,30.1101,2.2655
0,20240328,50.5,0.3578,1.03,30.2358,2.275
0,20240329,50.8,0.416,1.15,30.4155,2.2885
0,20240401,50.74,0.7722,2.1,22.271,2.2862
0,20240402,50.13,0.704,1.66,22.0033,2.2587
0,20240403,51.25,0.9231,1.82,22.4949,2.3092
