,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.47,0.2692,1.15,29.8907,2.0647
0,20240103,9.51,0.2349,1.03,30.0169,2.0734
0,20240104,9.48,0.1992,0.84,29.9222,2.0669
0,20240105,9.44,0.2393,1.0,29.796,2.0582
0,20240108,9.24,0.2799,1.15,29.1647,2.0146
0,20240109,9.19,0.1881,0.77,29.0069,2.0037
0,20240110,9.15,0.1859,0.81,28.8806,1.9949
0,20240111,9.23,0.2244,1.03,29.1332,2.0124
0,20240112,9.14,0.1839,0.82,28.8491,1.9928
0,20240115,9.03,0.2706,1.27,28.5019,1.9688
0,20240116,8.99,0.2373,1.13,28.3756,1.9601
0,20240117,8.83,0.2524,1.14,27.8706,1.9252
0,20240118,8.63,0.5148,2.2,27.2393,1.8816
0,20240119,8.64,0.2426,0.83,27.2709,1.8838
0,20240122,8.1,0.4697,1.55,25.5665,1.766
0,20240123,8.22,0.3892,1.13,25.9452,1.7922
0,20240124,8.5,0.3385,0.91,26.829,1.8532
0,20240125,8.9,0.5133,1.31,28.0916,1.9404
0,20240126,9.17,0.6496,1.66,28.9438,1.9993
0,20240129,9.03,0.4393,0.93,28.5019,1.9688
0,20240130,8.82,0.3436,0.74,27.839,1.923
0,20240131,8.51,0.4214,0.92,26.8606,1.8554
0,20240201,8.38,0.3832,0.81,26.4503,1.8271
0,20240202,8.1,0.5148,1.15,25.5665,1.766
0,20240205,7.4,0.732,1.74,23.357,1.6134
0,20240206,8.09,0.9431,1.97,25.5349,1.7638
0,20240207,8.35,0.797,1.33,26.3556,1.8205
0,20240208,8.48,0.9172,1.36,26.7659,1.8489
0,20240219,8.49,0.6029,0.77,26.7975,1.851
0,20240220,8.46,0.4425,0.55,26.7028,1.8445
0,20240221,8.51,0.4433,0.6,26.8606,1.8554
0,20240222,8.56,0.413,0.64,27.0184,1.8663
0,20240223,8.65,0.509,0.9,27.3025,1.8859
0,20240226,8.57,0.404,0.84,27.05,1.8685
0,20240227,8.63,0.456,1.03,27.2393,1.8816
0,20240228,8.47,0.7392,1.66,26.7343,1.8467
0,20240229,8.56,0.6107,1.21,27.0184,1.8663
0,20240301,8.64,0.4226,0.78,27.2709,1.8838
0,20240304,8.51,0.4181,0.79,26.8606,1.8554
0,20240305,8.39,0.4001,0.76,26.4818,1.8292
0,20240306,8.37,0.4008,0.77,26.4187,1.8249
0,20240307,8.5,0.7191,1.6,26.829,1.8532
0,20240308,8.4,0.4375,0.93,26.5134,1.8314
0,20240311,8.47,0.3439,0.72,26.7343,1.8467
0,20240312,8.51,0.3993,0.87,26.8606,1.8554
0,20240313,8.57,0.4712,1.02,27.05,1.8685
0,20240314,8.51,0.5789,1.22,26.8606,1.8554
0,20240315,8.68,0.6793,1.52,27.3972,1.8925
0,20240318,8.69,0.5331,1.08,27.4287,1.8947
0,20240319,8.65,0.5219,0.98,27.3025,1.8859
0,20240320,8.67,0.3659,0.66,27.3656,1.8903
0,20240321,8.67,0.3886,0.73,27.3656,1.8903
0,20240322,8.53,0.3699,0.74,26.9237,1.8598
0,20240325,8.33,0.4051,0.93,26.2924,1.8162
0,20240326,8.36,0.3536,0.86,26.3871,1.8227
0,20240327,8.18,0.3166,0.84,25.819,1.7835
0,20240328,8.24,0.3947,1.08,26.0084,1.7965
0,20240329,8.37,0.3128,0.85,26.4187,1.8249
0,20240401,8.57,0.6952,1.95,46.1083,1.8602
0,20240402,8.89,1.3564,3.27,47.8299,1.9297
0,20240403,9.0,0.9058,1.47,48.4218,1.9535
