,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,6.98,2.3654,1.14,51.3554,1.7649
0,20240103,6.95,2.3611,1.17,51.1346,1.7573
0,20240104,6.98,1.5761,0.73,51.3554,1.7649
0,20240105,6.88,1.7048,0.83,50.6196,1.7396
0,20240108,6.68,1.6295,0.83,49.1481,1.6891
0,20240109,6.74,1.1541,0.6,49.5896,1.7042
0,20240110,6.68,1.1058,0.66,49.1481,1.6891
0,20240111,6.74,1.0699,0.75,49.5896,1.7042
0,20240112,6.65,1.3792,1.03,48.9274,1.6815
0,20240115,6.69,1.0431,0.82,49.2217,1.6916
0,20240116,6.66,1.1893,1.03,49.001,1.684
0,20240117,6.52,1.2065,1.04,47.9709,1.6486
0,20240118,6.46,1.8892,1.6,47.5295,1.6334
0,20240119,6.42,1.0412,0.78,47.2352,1.6233
0,20240122,5.99,2.8189,2.21,44.0714,1.5146
0,20240123,6.04,2.0313,1.25,44.4393,1.5272
0,20240124,6.03,3.606,2.01,44.3657,1.5247
0,20240125,6.28,3.0846,1.35,46.2051,1.5879
0,20240126,6.3,2.1689,0.86,46.3523,1.593
0,20240129,6.19,1.4363,0.52,45.5429,1.5652
0,20240130,6.0,1.3129,0.53,44.145,1.5171
0,20240131,5.72,2.2335,0.96,42.0849,1.4463
0,20240201,5.68,1.95,0.95,41.7906,1.4362
0,20240202,5.49,2.8875,1.59,40.3927,1.3882
0,20240205,5.05,4.4648,2.27,37.1554,1.2769
0,20240206,5.56,3.4147,1.33,40.9077,1.4059
0,20240207,6.12,0.7621,0.25,45.0279,1.5475
0,20240208,6.35,13.5248,5.02,46.7201,1.6056
0,20240219,6.2,11.073,2.21,45.6165,1.5677
0,20240220,6.11,6.1895,0.93,44.9543,1.5449
0,20240221,6.12,5.5107,0.79,45.0279,1.5475
0,20240222,6.21,4.6377,0.63,45.6901,1.5702
0,20240223,6.21,3.9173,0.48,45.6901,1.5702
0,20240226,6.27,4.1301,0.66,46.1315,1.5854
0,20240227,6.35,3.3609,0.69,46.7201,1.6056
0,20240228,6.06,5.8223,1.35,44.5865,1.5323
0,20240229,6.19,3.2171,0.74,45.5429,1.5652
0,20240301,6.17,2.614,0.64,45.3958,1.5601
0,20240304,6.24,3.5767,0.93,45.9108,1.5778
0,20240305,6.12,2.3055,0.62,45.0279,1.5475
0,20240306,6.14,1.8636,0.53,45.1751,1.5525
0,20240307,6.08,2.0167,0.74,44.7336,1.5374
0,20240308,6.11,1.4941,0.6,44.9543,1.5449
0,20240311,6.19,1.8992,0.84,45.5429,1.5652
0,20240312,6.31,4.0558,2.12,46.4258,1.5955
0,20240313,6.29,2.449,1.08,46.2787,1.5905
0,20240314,6.3,3.0307,1.27,46.3523,1.593
0,20240315,6.26,3.9901,1.54,46.058,1.5829
0,20240318,6.34,2.8904,0.94,46.6466,1.6031
0,20240319,6.31,2.181,0.66,46.4258,1.5955
0,20240320,6.33,2.0803,0.72,46.573,1.6006
0,20240321,6.37,2.4381,0.86,46.8673,1.6107
0,20240322,6.26,2.4329,0.9,46.058,1.5829
0,20240325,6.14,1.9529,0.81,45.1751,1.5525
0,20240326,6.13,1.8289,0.82,45.1015,1.55
0,20240327,6.02,1.8888,0.88,44.2922,1.5222
0,20240328,6.06,3.4598,1.64,44.5865,1.5323
0,20240329,6.21,2.2991,0.99,45.6901,1.5702
0,20240401,6.35,2.8863,1.26,46.7201,1.6056
0,20240402,6.32,1.6819,0.68,46.4994,1.598
0,20240403,6.39,2.133,0.87,47.0144,1.6157
