,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,17.18,0.6684,1.1,17.5784,2.2256
0,20240103,17.02,0.6461,1.02,17.4147,2.2048
0,20240104,17.26,0.7884,1.23,17.6602,2.2359
0,20240105,16.77,1.0042,1.44,17.1589,2.1724
0,20240108,16.52,0.6403,0.85,16.9031,2.1401
0,20240109,16.69,0.4888,0.65,17.077,2.1621
0,20240110,16.53,0.4334,0.61,16.9133,2.1414
0,20240111,16.78,0.4017,0.6,17.1691,2.1737
0,20240112,16.67,0.3993,0.67,17.0565,2.1595
0,20240115,16.62,0.369,0.78,17.0054,2.153
0,20240116,16.59,0.4763,1.14,16.9747,2.1491
0,20240117,16.0,0.5196,1.25,16.371,2.0727
0,20240118,15.93,0.8437,1.95,16.2994,2.0636
0,20240119,15.76,0.4668,0.9,16.1254,2.0416
0,20240122,14.87,0.8,1.5,15.2148,1.9263
0,20240123,14.8,0.6396,1.03,15.1432,1.9172
0,20240124,14.98,0.6032,0.92,15.3273,1.9406
0,20240125,15.64,0.8048,1.2,16.0027,2.0261
0,20240126,15.49,0.6022,0.91,15.8492,2.0066
0,20240129,15.32,0.5609,0.81,15.6752,1.9846
0,20240130,14.8,0.5088,0.79,15.1432,1.9172
0,20240131,14.09,0.7636,1.24,14.4167,1.8253
0,20240201,13.9,0.705,1.09,14.2223,1.8007
0,20240202,13.09,1.0076,1.6,13.3935,1.6957
0,20240205,11.86,1.476,2.08,12.135,1.5364
0,20240206,12.48,1.5391,1.73,12.7694,1.6167
0,20240207,12.87,1.475,1.34,13.1684,1.6672
0,20240208,13.76,1.4448,1.16,14.0791,1.7825
0,20240219,13.8,1.2224,0.88,14.12,1.7877
0,20240220,13.8,0.7669,0.54,14.12,1.7877
0,20240221,14.03,0.943,0.73,14.3553,1.8175
0,20240222,14.25,0.7442,0.64,14.5804,1.846
0,20240223,14.52,0.6669,0.65,14.8567,1.881
0,20240226,14.69,0.9015,1.04,15.0306,1.903
0,20240227,15.23,0.665,0.83,15.5831,1.9729
0,20240228,14.3,1.2311,1.57,14.6316,1.8525
0,20240229,15.17,1.1854,1.41,15.5218,1.9652
0,20240301,15.49,1.223,1.32,15.8492,2.0066
0,20240304,15.08,0.8358,0.8,15.4297,1.9535
0,20240305,14.86,0.6462,0.63,15.2046,1.925
0,20240306,15.06,0.6981,0.68,15.4092,1.9509
0,20240307,14.81,0.6171,0.67,15.1534,1.9185
0,20240308,14.93,0.4024,0.5,15.2762,1.9341
0,20240311,15.13,0.6108,0.95,15.4808,1.96
0,20240312,15.36,0.6584,1.11,15.7162,1.9898
0,20240313,15.52,0.7156,1.2,15.8799,2.0105
0,20240314,15.44,0.4909,0.82,15.798,2.0001
0,20240315,15.8,0.599,1.04,16.1664,2.0468
0,20240318,17.38,3.1191,5.07,17.783,2.2515
0,20240319,17.85,4.743,4.25,18.2639,2.3123
0,20240320,18.11,3.9141,2.02,18.5299,2.346
0,20240321,17.99,2.5167,0.98,18.4071,2.3305
0,20240322,17.39,1.8561,0.62,17.7932,2.2528
0,20240325,16.8,1.4103,0.44,17.1896,2.1763
0,20240326,16.92,1.0806,0.37,17.3123,2.1919
0,20240327,16.31,1.0953,0.51,16.6882,2.1129
0,20240328,16.58,1.0831,0.68,16.9644,2.1478
0,20240329,16.07,1.3585,1.04,17.6723,2.0519
0,20240401,16.46,1.1041,0.92,18.1012,2.1017
0,20240402,16.0,1.3809,1.21,17.5954,2.043
0,20240403,15.7,1.1426,0.95,17.2654,2.0047
