,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.36,6.6913,1.0,,1.9924
0,20240103,4.26,3.6241,0.5,,1.9467
0,20240104,4.27,2.9154,0.43,,1.9513
0,20240105,4.14,3.9507,0.75,,1.8919
0,20240108,4.06,2.6512,0.55,,1.8553
0,20240109,4.06,1.8798,0.47,,1.8553
0,20240110,4.0,1.6464,0.55,,1.8279
0,20240111,4.1,1.7593,0.67,,1.8736
0,20240112,4.05,1.6714,0.7,,1.8507
0,20240115,4.08,1.2244,0.64,,1.8644
0,20240116,4.06,1.9177,1.17,,1.8553
0,20240117,3.95,2.0261,1.23,,1.805
0,20240118,3.83,2.6028,1.51,,1.7502
0,20240119,3.71,1.6725,0.89,,1.6954
0,20240122,3.41,2.4914,1.32,,1.5583
0,20240123,3.36,2.7337,1.28,,1.5354
0,20240124,3.4,2.2207,0.96,,1.5537
0,20240125,3.5,1.8872,0.81,,1.5994
0,20240126,3.55,1.7456,0.79,,1.6222
0,20240129,3.44,1.6665,0.75,,1.572
0,20240130,3.28,1.5669,0.76,,1.4989
0,20240131,3.06,2.0524,1.13,,1.3983
0,20240201,2.97,1.8571,1.04,,1.3572
0,20240202,2.8,2.6105,1.47,,1.2795
0,20240205,2.52,1.0184,0.52,,1.1516
0,20240206,2.27,3.7206,2.04,,1.0373
0,20240207,2.04,3.2415,1.44,,0.9322
0,20240208,2.11,5.2035,2.09,,0.9642
0,20240219,2.22,3.3096,1.05,,1.0145
0,20240220,2.38,2.7472,0.83,,1.0876
0,20240221,2.52,3.0122,0.83,,1.1516
0,20240222,2.57,1.7411,0.5,,1.1744
0,20240223,2.74,2.1944,0.69,,1.2521
0,20240226,2.73,1.9825,0.76,,1.2475
0,20240227,2.8,2.0674,0.89,,1.2795
0,20240228,2.55,3.9259,1.78,,1.1653
0,20240229,2.63,2.3572,0.99,,1.2018
0,20240301,2.69,1.9053,0.76,,1.2292
0,20240304,2.66,1.3693,0.56,,1.2155
0,20240305,2.52,1.5919,0.68,,1.1516
0,20240306,2.58,1.3678,0.61,,1.179
0,20240307,2.61,1.2796,0.74,,1.1927
0,20240308,2.62,0.8979,0.6,,1.1973
0,20240311,2.68,1.072,0.82,,1.2247
0,20240312,2.75,1.5531,1.25,,1.2567
0,20240313,2.7,1.2842,1.04,,1.2338
0,20240314,2.7,1.3417,1.1,,1.2338
0,20240315,2.79,1.4947,1.22,,1.2749
0,20240318,2.83,1.2573,0.93,,1.2932
0,20240319,2.83,0.9223,0.67,,1.2932
0,20240320,2.92,1.3579,1.08,,1.3344
0,20240321,2.91,1.2737,1.0,,1.3298
0,20240322,2.86,1.4367,1.14,,1.3069
0,20240325,2.82,1.3012,1.04,,1.2887
0,20240326,2.82,1.4294,1.14,,1.2887
0,20240327,2.73,1.2879,0.95,,1.2475
0,20240328,2.79,1.4824,1.1,,1.2749
0,20240329,2.81,1.2266,0.88,,1.2841
0,20240401,3.09,1.2155,0.9,,1.412
0,20240402,3.4,1.1912,0.9,,1.5537
0,20240403,3.25,11.1814,8.73,,1.4852
