,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,18.44,0.8299,0.57,29.372,3.3306
0,20240103,18.23,0.8428,0.77,29.0375,3.2927
0,20240104,18.14,0.758,0.79,28.8941,3.2764
0,20240105,17.82,0.7833,0.87,28.3844,3.2186
0,20240108,17.2,1.0123,1.2,27.3969,3.1067
0,20240109,16.89,1.1546,1.37,26.9031,3.0507
0,20240110,16.48,0.8431,0.93,26.25,2.9766
0,20240111,17.23,1.1574,1.27,27.4446,3.1121
0,20240112,16.9,0.7912,0.8,26.919,3.0525
0,20240115,16.61,0.9595,0.97,26.4571,3.0001
0,20240116,16.5,1.0344,1.05,26.2819,2.9802
0,20240117,16.18,0.7067,0.74,25.7722,2.9224
0,20240118,16.06,1.1894,1.28,25.581,2.9007
0,20240119,15.69,0.8229,0.88,24.9917,2.8339
0,20240122,14.62,1.2495,1.33,23.2873,2.6407
0,20240123,14.89,1.2055,1.2,23.7174,2.6894
0,20240124,15.34,1.3429,1.3,24.4342,2.7707
0,20240125,15.69,1.3226,1.14,24.9917,2.8339
0,20240126,15.52,1.12,0.94,24.7209,2.8032
0,20240129,14.88,1.6679,1.34,23.7015,2.6876
0,20240130,14.45,0.8791,0.66,23.0165,2.6099
0,20240131,13.65,1.2189,0.96,21.7423,2.4655
0,20240201,13.59,1.1779,0.95,21.6467,2.4546
0,20240202,12.84,1.6441,1.36,20.4521,2.3192
0,20240205,12.05,2.4585,1.87,19.1937,2.1765
0,20240206,12.85,2.3207,1.57,20.468,2.321
0,20240207,13.29,2.124,1.2,21.1688,2.4004
0,20240208,14.36,2.3724,1.22,22.8732,2.5937
0,20240219,14.59,2.316,1.06,23.2395,2.6352
0,20240220,14.45,1.3337,0.58,23.0165,2.6099
0,20240221,14.64,1.7183,0.82,23.3192,2.6443
0,20240222,15.09,2.0336,1.03,24.036,2.7255
0,20240223,15.62,1.9035,0.97,24.8802,2.8213
0,20240226,15.49,1.823,0.98,24.6731,2.7978
0,20240227,16.13,1.7659,1.0,25.6925,2.9134
0,20240228,15.06,2.6764,1.45,23.9882,2.7201
0,20240229,15.89,1.8433,0.9,25.3102,2.87
0,20240301,16.18,1.7913,0.89,25.7722,2.9224
0,20240304,16.22,1.4277,0.72,25.8359,2.9296
0,20240305,15.96,1.5434,0.81,25.4217,2.8827
0,20240306,15.85,1.0584,0.57,25.2465,2.8628
0,20240307,15.51,1.2092,0.79,24.705,2.8014
0,20240308,15.65,1.2054,0.86,24.928,2.8267
0,20240311,15.86,1.0633,0.83,25.2624,2.8646
0,20240312,16.08,1.1312,0.93,25.6129,2.9044
0,20240313,16.18,1.5405,1.36,25.7722,2.9224
0,20240314,15.87,1.2305,1.0,25.2784,2.8664
0,20240315,16.01,0.9459,0.77,25.5014,2.8917
0,20240318,16.36,1.5614,1.32,26.0589,2.9549
0,20240319,16.41,1.364,1.06,26.1385,2.964
0,20240320,16.75,1.3886,1.05,26.6801,3.0254
0,20240321,16.75,1.2218,0.94,26.6801,3.0254
0,20240322,16.55,1.3364,1.03,26.3615,2.9892
0,20240325,15.96,1.1957,0.87,25.4217,2.8827
0,20240326,15.61,1.2868,0.99,24.8642,2.8195
0,20240327,14.75,1.4,1.09,23.4944,2.6641
0,20240328,15.49,1.4354,1.11,24.6731,2.7978
0,20240329,15.26,1.2921,0.97,24.3067,2.7562
0,20240401,15.94,1.2934,0.98,25.3899,2.8791
0,20240402,15.71,1.3436,1.0,25.0235,2.8375
0,20240403,15.33,0.944,0.7,24.4182,2.7689
