,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.6,3.452,1.79,406.9549,6.9748
0,20240103,13.42,1.8561,0.78,401.5688,6.8825
0,20240104,13.4,1.8947,0.74,400.9703,6.8722
0,20240105,13.05,1.5737,0.65,390.4972,6.6927
0,20240108,12.58,1.507,0.64,376.4333,6.4517
0,20240109,12.71,1.4436,0.7,380.3233,6.5184
0,20240110,12.73,1.5418,0.93,380.9218,6.5286
0,20240111,12.78,2.1062,1.32,382.4179,6.5543
0,20240112,13.5,9.3462,5.72,403.9626,6.9235
0,20240115,13.62,7.3667,2.31,407.5534,6.9851
0,20240116,13.31,4.1207,0.94,398.2772,6.8261
0,20240117,12.64,3.0093,0.61,378.2287,6.4825
0,20240118,12.28,3.434,0.66,367.4564,6.2978
0,20240119,12.08,1.5722,0.29,361.4717,6.1953
0,20240122,11.06,2.8231,0.72,330.9501,5.6722
0,20240123,11.1,2.0055,0.67,332.147,5.6927
0,20240124,11.27,3.6124,1.41,337.234,5.7799
0,20240125,11.48,2.5132,0.93,343.5178,5.8876
0,20240126,11.49,2.2252,0.89,343.8171,5.8927
0,20240129,10.78,2.0374,0.77,322.5716,5.5286
0,20240130,10.37,1.4543,0.59,310.3031,5.3183
0,20240131,9.45,3.1564,1.33,282.7738,4.8465
0,20240201,9.08,2.7874,1.22,271.7023,4.6567
0,20240202,8.66,3.5804,1.54,259.1345,4.4413
0,20240205,7.79,2.8417,1.09,233.1014,3.9951
0,20240206,7.98,3.3404,1.21,238.7868,4.0926
0,20240207,7.7,3.0454,0.97,230.4083,3.949
0,20240208,8.47,3.2991,1.06,253.4491,4.3439
0,20240219,8.9,2.8773,0.89,266.3161,4.5644
0,20240220,9.04,1.6729,0.54,270.5053,4.6362
0,20240221,9.22,2.8211,0.99,275.8915,4.7285
0,20240222,9.55,2.3712,0.86,285.7661,4.8978
0,20240223,9.85,2.7918,1.07,294.7431,5.0516
0,20240226,10.24,4.674,1.86,306.4131,5.2516
0,20240227,10.35,2.9826,1.04,309.7047,5.308
0,20240228,11.39,10.3459,3.31,340.8247,5.8414
0,20240229,12.53,12.652,2.73,374.9371,6.4261
0,20240301,12.61,18.3407,2.74,377.331,6.4671
0,20240304,11.58,12.9267,1.32,346.5101,5.9388
0,20240305,11.2,8.1432,0.71,335.1393,5.744
0,20240306,11.25,5.5679,0.45,336.6355,5.7696
0,20240307,11.52,6.7121,0.58,344.7148,5.9081
0,20240308,11.27,5.9109,0.57,337.234,5.7799
0,20240311,11.24,3.3077,0.42,336.3363,5.7645
0,20240312,11.53,5.5759,0.94,345.014,5.9132
0,20240313,11.22,3.8682,0.71,335.7378,5.7542
0,20240314,11.05,3.0399,0.6,330.6509,5.667
0,20240315,11.12,1.7825,0.41,332.7455,5.7029
0,20240318,11.49,3.9875,1.13,343.8171,5.8927
0,20240319,11.68,6.3595,1.74,349.5025,5.9901
0,20240320,11.83,4.7012,1.23,353.9909,6.0671
0,20240321,12.06,7.1235,1.79,360.8733,6.185
0,20240322,11.58,6.4665,1.35,346.5101,5.9388
0,20240325,10.86,4.7929,0.84,324.9655,5.5696
0,20240326,10.99,3.0236,0.51,328.8555,5.6363
0,20240327,10.39,2.1353,0.41,310.9016,5.3285
0,20240328,10.71,1.9138,0.41,320.477,5.4927
0,20240329,10.94,2.2178,0.6,,5.621
0,20240401,11.05,2.1109,0.75,,5.6775
0,20240402,11.05,2.2062,0.97,,5.6775
0,20240403,10.8,2.0273,0.96,,5.5491
