,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,15.8,5.9307,1.1,32.5944,2.73
0,20240103,15.53,4.845,0.79,32.0374,2.6834
0,20240104,15.24,3.0882,0.46,31.4392,2.6332
0,20240105,14.77,4.4791,0.64,30.4696,2.552
0,20240108,14.82,4.8426,0.82,30.5727,2.5607
0,20240109,16.3,16.3306,3.52,33.6259,2.8164
0,20240110,16.49,19.8897,2.96,34.0178,2.8492
0,20240111,16.69,13.1161,1.35,34.4304,2.8838
0,20240112,17.03,18.9381,1.61,35.1318,2.9425
0,20240115,16.74,9.9033,0.68,34.5336,2.8924
0,20240116,16.59,8.4514,0.54,34.2241,2.8665
0,20240117,15.92,6.4474,0.46,32.842,2.7507
0,20240118,16.32,9.4843,0.83,33.6671,2.8199
0,20240119,15.46,7.5551,0.71,31.893,2.6713
0,20240122,14.42,7.6005,0.91,29.7476,2.4916
0,20240123,15.17,9.3347,1.18,31.2948,2.6211
0,20240124,14.9,5.8756,0.73,30.7378,2.5745
0,20240125,15.42,7.5881,0.95,31.8105,2.6643
0,20240126,14.98,5.1676,0.68,30.9028,2.5883
0,20240129,13.76,6.9238,0.97,28.386,2.3775
0,20240130,12.93,5.4514,0.78,26.6738,2.2341
0,20240131,12.21,4.3127,0.7,25.1885,2.1097
0,20240201,12.44,4.129,0.7,25.6629,2.1494
0,20240202,11.69,4.8992,0.94,24.1157,2.0199
0,20240205,10.56,5.4601,1.06,21.7846,1.8246
0,20240206,11.33,4.6229,0.95,23.3731,1.9577
0,20240207,11.84,5.3706,1.15,24.4252,2.0458
0,20240208,12.31,4.1973,0.86,25.3948,2.127
0,20240219,12.5,3.7167,0.76,25.7867,2.1598
0,20240220,12.53,3.405,0.73,25.8486,2.165
0,20240221,12.74,5.0118,1.18,26.2818,2.2013
0,20240222,12.94,3.7931,0.87,26.6944,2.2358
0,20240223,13.38,4.8077,1.19,27.6021,2.3119
0,20240226,13.92,7.3053,1.76,28.7161,2.4052
0,20240227,14.18,6.3279,1.3,29.2525,2.4501
0,20240228,13.31,8.0212,1.47,27.4577,2.2998
0,20240229,13.8,4.6514,0.77,28.4685,2.3844
0,20240301,14.0,4.357,0.7,28.8811,2.419
0,20240304,13.94,3.0431,0.5,28.7574,2.4086
0,20240305,13.66,3.1571,0.6,28.1797,2.3602
0,20240306,14.07,4.8267,1.04,29.0255,2.4311
0,20240307,13.74,3.5011,0.87,28.3448,2.3741
0,20240308,14.33,7.1387,1.89,29.5619,2.476
0,20240311,15.1,10.097,2.33,31.1504,2.6091
0,20240312,14.93,10.064,1.75,30.7997,2.5797
0,20240313,14.9,5.4428,0.76,30.7378,2.5745
0,20240314,14.95,4.7052,0.65,30.8409,2.5831
0,20240315,14.82,4.1152,0.55,30.5727,2.5607
0,20240318,14.99,4.5046,0.65,30.9234,2.59
0,20240319,14.72,4.4365,0.77,30.3664,2.5434
0,20240320,15.05,6.1531,1.33,31.0472,2.6004
0,20240321,14.92,3.7226,0.78,30.779,2.578
0,20240322,14.54,3.5705,0.78,29.9951,2.5123
0,20240325,14.08,3.6576,0.82,29.0462,2.4328
0,20240326,13.95,3.4424,0.8,28.778,2.4104
0,20240327,13.23,3.0596,0.74,27.2927,2.2859
0,20240328,13.83,4.1124,1.18,28.5304,2.3896
0,20240329,13.48,3.1374,0.88,27.8084,2.3291
0,20240401,14.13,4.6314,1.33,29.1493,2.4415
0,20240402,14.04,4.2577,1.16,28.9636,2.4259
0,20240403,13.77,3.167,0.82,28.4067,2.3793
