,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,7.92,0.9584,1.25,17.4332,1.6983
0,20240103,8.0,1.0117,1.21,17.6093,1.7155
0,20240104,8.16,1.6487,1.87,17.9615,1.7498
0,20240105,7.86,1.3977,1.31,17.3011,1.6855
0,20240108,7.76,0.8729,0.73,17.081,1.664
0,20240109,8.14,3.1136,2.64,17.9175,1.7455
0,20240110,7.89,2.3757,1.48,17.3672,1.6919
0,20240111,7.89,1.4369,0.76,17.3672,1.6919
0,20240112,7.78,1.2547,0.68,17.125,1.6683
0,20240115,7.9,1.2573,0.69,17.3892,1.6941
0,20240116,7.83,1.314,0.7,17.2351,1.679
0,20240117,7.61,1.1479,0.75,16.7508,1.6319
0,20240118,7.51,1.2649,0.99,16.5307,1.6104
0,20240119,7.42,0.7566,0.61,16.3326,1.5911
0,20240122,6.86,1.1694,1.02,15.1,1.471
0,20240123,6.84,1.2319,1.09,15.0559,1.4667
0,20240124,7.03,1.4286,1.28,15.4742,1.5075
0,20240125,7.58,1.8843,1.61,16.6848,1.6254
0,20240126,7.53,1.2297,0.95,16.5747,1.6147
0,20240129,7.28,0.888,0.64,16.0245,1.5611
0,20240130,6.96,0.9228,0.69,15.3201,1.4925
0,20240131,6.58,1.1623,0.91,14.4836,1.411
0,20240201,6.36,1.2356,1.01,13.9994,1.3638
0,20240202,6.03,1.2506,1.15,13.273,1.2931
0,20240205,5.43,1.812,1.66,11.9523,1.1644
0,20240206,5.49,2.3793,1.86,12.0844,1.1773
0,20240207,5.23,3.09,1.97,11.5121,1.1215
0,20240208,5.7,3.3907,1.74,12.5466,1.2223
0,20240219,5.85,2.4371,1.02,12.8768,1.2545
0,20240220,5.97,1.4206,0.54,13.1409,1.2802
0,20240221,6.02,1.4492,0.57,13.251,1.2909
0,20240222,6.18,1.5456,0.66,13.6032,1.3252
0,20240223,6.36,1.4786,0.72,13.9994,1.3638
0,20240226,6.42,1.3943,0.84,14.1315,1.3767
0,20240227,6.56,0.9791,0.67,14.4396,1.4067
0,20240228,6.1,2.1818,1.59,13.4271,1.3081
0,20240229,6.28,1.51,1.0,13.8233,1.3467
0,20240301,6.33,1.0575,0.7,13.9334,1.3574
0,20240304,6.41,1.0272,0.72,14.1094,1.3745
0,20240305,6.27,0.6724,0.5,13.8013,1.3445
0,20240306,6.25,0.6293,0.49,13.7573,1.3402
0,20240307,6.27,0.8416,0.86,13.8013,1.3445
0,20240308,6.33,0.7793,0.92,13.9334,1.3574
0,20240311,6.41,0.9088,1.15,14.1094,1.3745
0,20240312,6.52,0.8555,1.12,14.3516,1.3981
0,20240313,6.54,0.9352,1.16,14.3956,1.4024
0,20240314,6.54,0.7265,0.84,14.3956,1.4024
0,20240315,6.62,0.7525,0.89,14.5717,1.4196
0,20240318,6.77,1.0014,1.2,14.9019,1.4517
0,20240319,6.73,0.8876,1.04,14.8138,1.4432
0,20240320,6.88,1.2262,1.42,15.144,1.4753
0,20240321,6.89,0.7254,0.79,15.166,1.4775
0,20240322,6.79,0.9537,1.04,14.9459,1.456
0,20240325,6.64,0.8282,0.86,14.6157,1.4239
0,20240326,6.62,0.7048,0.76,14.5717,1.4196
0,20240327,6.57,0.8442,0.95,14.4616,1.4089
0,20240328,6.57,1.389,1.71,13.0403,1.3847
0,20240329,6.61,0.9633,1.02,13.1197,1.3931
0,20240401,6.73,0.9815,1.04,13.3578,1.4184
0,20240402,6.74,0.8683,0.89,13.3777,1.4205
0,20240403,6.78,0.8137,0.81,13.4571,1.429
