,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.7,13.3734,2.76,53.6083,2.4326
0,20240103,5.54,7.8414,1.09,52.1035,2.3643
0,20240104,5.56,6.5237,0.77,52.2916,2.3729
0,20240105,5.32,7.1892,0.75,50.0344,2.2705
0,20240108,5.49,8.372,0.83,51.6678,2.3446
0,20240109,5.57,8.1943,0.95,52.4207,2.3787
0,20240110,5.67,10.3402,1.36,53.3619,2.4214
0,20240111,5.66,7.0901,0.87,53.2678,2.415
0,20240112,5.58,8.6956,1.06,52.5149,2.3809
0,20240115,5.48,4.9874,0.58,51.5737,2.3382
0,20240116,5.49,4.8216,0.61,51.6678,2.3425
0,20240117,5.25,4.1516,0.58,49.4091,2.2401
0,20240118,5.4,5.6376,0.95,50.8208,2.3041
0,20240119,5.18,3.9035,0.69,48.7504,2.2102
0,20240122,4.87,5.5641,1.18,45.8329,2.0779
0,20240123,4.99,4.216,0.88,46.9622,2.1291
0,20240124,4.94,4.0565,0.86,46.4917,2.1078
0,20240125,5.06,4.75,1.02,47.621,2.159
0,20240126,4.95,3.4425,0.77,46.5858,2.1121
0,20240129,4.61,4.7501,1.08,43.3859,1.967
0,20240130,4.39,2.9964,0.71,41.3155,1.8731
0,20240131,4.11,3.0641,0.77,38.6803,1.7537
0,20240201,4.12,2.4642,0.65,38.7744,1.7579
0,20240202,3.91,3.3239,0.99,36.798,1.6683
0,20240205,3.56,3.0763,0.93,33.5041,1.519
0,20240206,3.83,3.068,1.03,36.0451,1.6342
0,20240207,3.84,2.7109,0.9,36.1393,1.6384
0,20240208,4.1,2.8947,0.99,38.5862,1.7494
0,20240219,4.14,2.8434,0.94,38.9626,1.7665
0,20240220,4.13,1.7404,0.6,38.8685,1.7622
0,20240221,4.2,3.5144,1.33,39.5273,1.7921
0,20240222,4.27,2.3927,0.87,40.1861,1.8219
0,20240223,4.4,3.4406,1.29,41.4096,1.8774
0,20240226,4.42,3.2293,1.16,41.5978,1.8859
0,20240227,4.53,2.7378,0.96,42.633,1.9329
0,20240228,4.3,5.1031,1.67,40.4684,1.8347
0,20240229,4.44,2.8728,0.85,41.786,1.8945
0,20240301,4.6,4.1033,1.18,43.2918,1.9627
0,20240304,4.55,2.51,0.7,42.8213,1.9414
0,20240305,4.44,2.0313,0.59,41.786,1.8945
0,20240306,4.56,2.9047,0.87,42.9154,1.9457
0,20240307,4.45,2.1853,0.76,41.8801,1.8987
0,20240308,4.55,2.8086,1.02,42.8213,1.9414
0,20240311,4.71,4.5487,1.83,44.3271,2.0097
0,20240312,4.72,3.1542,1.09,44.4212,2.0139
0,20240313,4.67,2.1735,0.7,43.9506,1.9926
0,20240314,4.62,2.2148,0.74,43.48,1.9713
0,20240315,4.63,1.811,0.61,43.5742,1.9755
0,20240318,4.67,2.0586,0.74,43.9506,1.9926
0,20240319,4.62,1.9737,0.86,43.48,1.9713
0,20240320,4.64,1.8823,0.92,43.6683,1.9798
0,20240321,4.63,1.8651,0.94,43.5742,1.9755
0,20240322,4.5,2.3775,1.24,42.3507,1.9201
0,20240325,4.36,1.8524,0.91,41.0331,1.8603
0,20240326,4.38,1.5764,0.79,41.2213,1.8689
0,20240327,4.19,1.7093,0.89,39.4332,1.7878
0,20240328,4.21,1.5237,0.81,39.6214,1.7963
0,20240329,4.23,1.1684,0.65,39.8097,1.8049
0,20240401,4.42,2.2633,1.45,41.5978,1.8859
0,20240402,4.38,1.8566,1.13,41.2213,1.8689
0,20240403,4.28,1.7665,1.04,40.2802,1.8262
