,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,47.2,0.7173,1.19,23.6586,4.6272
0,20240103,47.48,0.3701,0.55,23.7989,4.6546
0,20240104,46.01,0.5164,0.77,23.0621,4.5105
0,20240105,45.75,0.5002,0.76,22.9318,4.485
0,20240108,45.03,0.461,0.79,22.5709,4.4144
0,20240109,45.0,0.363,0.71,22.5558,4.4115
0,20240110,45.53,0.3693,0.84,22.8215,4.4635
0,20240111,45.66,0.3751,0.85,22.8867,4.4762
0,20240112,44.54,0.4197,1.01,22.3253,4.3664
0,20240115,44.04,0.5776,1.45,22.0746,4.3174
0,20240116,44.36,0.3781,0.9,22.235,4.3488
0,20240117,42.23,0.6454,1.52,21.1674,4.14
0,20240118,43.23,0.6618,1.38,21.6686,4.238
0,20240119,43.66,0.5986,1.12,21.8842,4.2801
0,20240122,42.89,0.5484,0.96,21.4982,4.2047
0,20240123,42.4,0.4644,0.82,21.2526,4.1566
0,20240124,42.12,0.4809,0.82,21.1123,4.1292
0,20240125,43.54,0.5524,1.0,21.824,4.2684
0,20240126,44.26,0.7925,1.5,22.1849,4.339
0,20240129,45.63,0.8415,1.48,22.8716,4.4733
0,20240130,43.7,0.6151,0.98,21.9042,4.2841
0,20240131,44.21,0.8016,1.22,22.1599,4.3341
0,20240201,45.39,0.777,1.08,22.7513,4.4497
0,20240202,47.08,0.8821,1.15,23.5984,4.6154
0,20240205,47.55,0.8052,1.03,23.834,4.6615
0,20240206,49.43,0.7239,0.93,24.7763,4.8458
0,20240207,51.9,0.8157,1.02,26.0144,5.0879
0,20240208,51.35,0.7468,0.93,25.7387,5.034
0,20240219,49.86,0.9749,1.23,24.9919,4.8879
0,20240220,49.21,0.6571,0.81,24.6661,4.8242
0,20240221,52.4,0.919,1.17,26.265,5.137
0,20240222,52.85,0.6425,0.78,26.4906,5.1811
0,20240223,52.19,0.5467,0.69,26.1598,5.1164
0,20240226,51.21,0.4824,0.64,25.6685,5.0203
0,20240227,51.2,0.413,0.64,25.6635,5.0193
0,20240228,50.67,0.3981,0.66,25.3979,4.9674
0,20240229,53.7,0.6626,1.33,26.9166,5.2644
0,20240301,53.88,0.5419,1.08,27.0069,5.282
0,20240304,53.5,0.4731,0.95,26.8164,5.2448
0,20240305,54.15,0.4025,0.81,27.1422,5.3085
0,20240306,52.86,0.3016,0.61,26.4956,5.182
0,20240307,53.5,0.3808,0.8,26.8164,5.2448
0,20240308,52.56,0.3527,0.84,26.3452,5.1526
0,20240311,53.44,0.373,0.98,26.7863,5.2389
0,20240312,55.44,0.7656,2.11,27.7888,5.435
0,20240313,54.79,0.3727,0.86,27.463,5.3713
0,20240314,55.07,0.3057,0.68,27.6033,5.3987
0,20240315,55.47,0.3341,0.77,27.8038,5.4379
0,20240318,57.08,0.5646,1.31,28.6108,5.5957
0,20240319,59.06,0.563,1.2,29.6033,5.7899
0,20240320,58.4,0.4693,1.1,29.2725,5.7252
0,20240321,59.22,0.4085,0.91,29.6835,5.8055
0,20240322,58.0,0.3652,0.78,29.072,5.6859
0,20240325,57.06,0.4394,0.93,28.6008,5.5938
0,20240326,57.79,0.2498,0.56,28.9667,5.6654
0,20240327,58.7,0.3626,0.94,29.4228,5.7546
0,20240328,59.39,0.3961,1.08,29.7687,5.8222
0,20240329,58.67,0.2808,0.77,29.4078,5.7516
0,20240401,59.63,0.4836,1.4,29.889,5.8457
0,20240402,59.45,0.2896,0.82,29.7988,5.8281
0,20240403,59.0,0.2344,0.65,29.5732,5.784
