,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,10.87,0.8114,1.05,24.5394,1.8761
0,20240103,10.83,0.5228,0.65,24.4491,1.8692
0,20240104,10.72,0.5168,0.66,24.2008,1.8502
0,20240105,10.64,0.8215,1.04,24.0202,1.8364
0,20240108,10.29,1.13,1.62,23.2301,1.776
0,20240109,10.48,0.993,1.31,23.659,1.8088
0,20240110,10.42,0.9268,1.16,23.5235,1.7985
0,20240111,10.63,0.7586,0.86,23.9976,1.8347
0,20240112,10.65,0.7306,0.79,24.0428,1.8382
0,20240115,10.55,0.5298,0.58,23.817,1.8209
0,20240116,10.5,0.7214,0.92,23.7042,1.8123
0,20240117,10.19,0.6144,0.84,23.0043,1.7588
0,20240118,10.08,1.1482,1.71,22.756,1.7398
0,20240119,9.89,0.6366,0.85,22.3271,1.707
0,20240122,9.18,0.9984,1.37,20.7242,1.5844
0,20240123,9.15,0.881,1.07,20.6565,1.5793
0,20240124,9.15,0.7344,0.86,20.6565,1.5793
0,20240125,9.46,0.7293,0.83,21.3563,1.6328
0,20240126,9.46,0.6389,0.8,21.3563,1.6328
0,20240129,9.2,0.6289,0.79,20.7694,1.5879
0,20240130,8.8,0.7195,1.0,19.8663,1.5188
0,20240131,8.23,1.2598,1.83,18.5795,1.4205
0,20240201,8.11,1.2312,1.55,18.3086,1.3998
0,20240202,7.68,1.3618,1.52,17.3379,1.3255
0,20240205,6.91,1.4322,1.38,15.5996,1.1926
0,20240206,6.79,1.9803,1.65,15.3287,1.1719
0,20240207,6.62,1.9129,1.32,14.9449,1.1426
0,20240208,7.27,1.5619,0.99,16.4123,1.2548
0,20240219,7.55,1.221,0.74,17.0444,1.3031
0,20240220,7.53,0.8546,0.53,16.9993,1.2997
0,20240221,7.72,1.0796,0.72,17.4282,1.3324
0,20240222,7.92,0.7221,0.54,17.8797,1.367
0,20240223,8.2,1.0199,0.94,18.5118,1.4153
0,20240226,8.28,1.1078,1.13,18.6924,1.4291
0,20240227,8.56,0.831,0.87,19.3245,1.4774
0,20240228,7.75,2.0145,2.12,17.4959,1.3376
0,20240229,7.99,1.4212,1.25,18.0377,1.379
0,20240301,8.28,1.4294,1.12,18.6924,1.4291
0,20240304,8.08,1.0836,0.8,18.2409,1.3946
0,20240305,7.95,0.8987,0.66,17.9474,1.3721
0,20240306,8.03,0.7181,0.52,18.128,1.386
0,20240307,7.94,3.8873,4.55,17.9249,1.3704
0,20240308,7.79,2.8909,2.05,17.5862,1.3445
0,20240311,7.98,2.3574,1.33,18.0152,1.3773
0,20240312,8.02,2.1678,1.04,18.1055,1.3842
0,20240313,8.06,2.5144,1.06,18.1958,1.3911
0,20240314,8.11,3.7418,1.35,18.3086,1.3998
0,20240315,8.41,4.5715,1.67,18.9859,1.4515
0,20240318,8.64,5.4003,1.76,19.5051,1.4912
0,20240319,8.77,6.3002,1.71,19.7986,1.5137
0,20240320,9.03,6.1888,1.37,20.3856,1.5585
0,20240321,8.83,4.5867,0.88,19.9341,1.524
0,20240322,8.64,3.9615,0.73,19.5051,1.4912
0,20240325,8.34,3.4327,0.65,18.8279,1.4395
0,20240326,9.17,5.3165,1.09,20.7016,1.5827
0,20240327,8.66,8.968,1.91,19.5503,1.4947
0,20240328,8.91,6.0484,1.15,20.1147,1.5378
0,20240329,9.8,8.7711,1.58,22.1239,1.6914
0,20240401,10.78,16.3638,2.51,24.3363,1.8606
0,20240402,11.26,22.2891,2.45,25.4199,1.9434
0,20240403,10.13,15.145,1.21,22.8689,1.7484
