,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,40.38,2.4573,0.64,39.9529,2.3069
0,20240103,40.12,2.7288,0.81,39.6956,2.292
0,20240104,40.03,1.7749,0.53,39.6066,2.2869
0,20240105,40.39,4.2863,1.45,39.9628,2.3075
0,20240108,39.28,4.7579,1.61,38.8645,2.244
0,20240109,39.58,3.5625,1.11,39.1613,2.2612
0,20240110,39.04,2.64,0.77,38.627,2.2303
0,20240111,39.86,3.0483,0.9,39.4384,2.2772
0,20240112,39.26,3.5616,0.97,38.8447,2.2429
0,20240115,38.78,2.8133,0.8,38.3698,2.2155
0,20240116,38.59,3.3232,1.06,38.1818,2.2046
0,20240117,37.26,3.2659,1.06,36.8659,2.1286
0,20240118,36.75,3.4211,1.07,36.3613,2.0995
0,20240119,35.96,2.5143,0.77,35.5796,2.0544
0,20240122,33.73,3.4429,1.12,33.3732,1.927
0,20240123,33.88,2.181,0.68,33.5216,1.9355
0,20240124,34.05,2.6847,0.91,33.6898,1.9453
0,20240125,35.03,3.5949,1.26,34.6595,2.0012
0,20240126,34.81,2.4955,0.87,34.4418,1.9887
0,20240129,34.87,3.4343,1.19,34.5011,1.9921
0,20240130,35.97,8.104,2.82,35.5895,2.055
0,20240131,33.5,5.8541,1.44,33.1456,1.9138
0,20240201,32.47,3.0235,0.64,32.1265,1.855
0,20240202,30.79,4.0493,0.88,30.4643,1.759
0,20240205,28.0,4.8771,1.0,27.7038,1.5996
0,20240206,30.19,4.9563,0.96,29.8707,1.7247
0,20240207,29.42,3.612,0.79,29.1088,1.6808
0,20240208,31.5,3.8598,0.94,31.1668,1.7996
0,20240219,32.21,3.1055,0.73,31.8693,1.8401
0,20240220,32.94,4.0424,0.99,32.5916,1.8818
0,20240221,33.72,4.2837,1.09,33.3633,1.9264
0,20240222,34.11,2.7601,0.73,33.7492,1.9487
0,20240223,34.78,5.191,1.47,34.4121,1.987
0,20240226,36.04,6.22,1.63,35.6588,2.0589
0,20240227,36.8,4.4416,1.0,36.4107,2.1024
0,20240228,34.27,6.0987,1.34,33.9075,1.9578
0,20240229,35.66,3.6415,0.74,35.2828,2.0372
0,20240301,36.15,3.0254,0.59,35.7676,2.0652
0,20240304,35.68,3.9826,0.85,35.3026,2.0384
0,20240305,35.39,3.5533,0.84,35.0156,2.0218
0,20240306,36.81,5.4081,1.33,36.4206,2.1029
0,20240307,37.23,10.1373,2.58,36.8362,2.1269
0,20240308,36.51,5.6717,1.09,36.1238,2.0858
0,20240311,36.44,3.4188,0.59,36.0545,2.0818
0,20240312,37.04,4.1716,0.74,36.6482,2.1161
0,20240313,37.19,3.2742,0.57,36.7966,2.1246
0,20240314,37.29,4.6281,0.87,36.8955,2.1304
0,20240315,38.52,7.0792,1.67,38.1125,2.2006
0,20240318,38.58,5.4182,1.2,38.1719,2.2041
0,20240319,38.17,3.5771,0.73,37.7662,2.1806
0,20240320,38.59,3.407,0.71,38.1818,2.2046
0,20240321,38.24,2.7428,0.57,37.8355,2.1846
0,20240322,37.5,3.3014,0.74,37.1033,2.1424
0,20240325,35.91,3.3066,0.9,35.5301,2.0515
0,20240326,35.98,2.2703,0.69,35.5994,2.0555
0,20240327,34.87,1.872,0.62,34.5011,1.9921
0,20240328,35.52,1.787,0.66,35.1443,2.0292
0,20240329,35.63,1.3974,0.56,35.2531,2.0355
0,20240401,36.0,2.1294,1.0,35.6192,2.0567
0,20240402,35.78,1.5744,0.83,35.4015,2.0441
0,20240403,35.02,1.9707,1.12,34.6496,2.0007
