,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.44,2.1069,1.4,18.425,3.2082
0,20240103,11.4,1.4625,0.88,18.3606,3.197
0,20240104,11.41,1.2308,0.76,18.3767,3.1998
0,20240105,11.26,1.2824,0.84,18.1351,3.1577
0,20240108,11.1,1.3079,0.9,17.8774,3.1129
0,20240109,11.2,1.6832,1.14,18.0385,3.1409
0,20240110,11.13,1.5749,1.13,17.9257,3.1213
0,20240111,11.26,1.2166,0.86,18.1351,3.1577
0,20240112,11.15,1.1449,0.81,17.9579,3.1269
0,20240115,11.2,2.0042,1.45,18.0385,3.1409
0,20240116,11.17,1.6841,1.1,17.9902,3.1325
0,20240117,10.9,1.308,0.86,17.5553,3.0568
0,20240118,10.7,2.028,1.38,17.2332,3.0007
0,20240119,10.61,1.8706,1.14,17.0882,2.9755
0,20240122,9.88,2.3712,1.33,15.9125,2.7707
0,20240123,9.69,3.0728,1.66,15.6065,2.7174
0,20240124,9.84,2.3921,1.12,15.8481,2.7595
0,20240125,10.32,1.8707,0.8,16.6212,2.8941
0,20240126,10.36,1.8955,0.82,16.6856,2.9053
0,20240129,10.07,2.0064,0.86,16.2185,2.824
0,20240130,9.62,2.1778,0.97,15.4938,2.6978
0,20240131,9.08,2.6923,1.3,14.624,2.5464
0,20240201,8.69,3.3811,1.59,13.9959,2.437
0,20240202,8.13,4.213,1.73,13.094,2.28
0,20240205,7.35,2.5405,0.88,11.8377,2.0612
0,20240206,6.84,5.4015,1.8,11.0164,1.9182
0,20240207,6.16,5.0024,1.37,9.9212,1.7275
0,20240208,6.78,5.3528,1.3,10.9197,1.9014
0,20240219,7.46,1.7542,0.39,12.0149,2.0921
0,20240220,7.4,6.9414,1.73,11.9183,2.0752
0,20240221,8.14,4.8504,0.99,13.1101,2.2828
0,20240222,8.35,6.8028,1.42,13.4483,2.3417
0,20240223,8.49,5.8772,1.14,13.6738,2.3809
0,20240226,8.51,6.7831,1.29,13.706,2.3865
0,20240227,8.75,4.0972,0.66,14.0926,2.4538
0,20240228,7.88,6.938,1.22,12.6914,2.2099
0,20240229,8.14,4.9,0.8,13.1101,2.2828
0,20240301,8.21,4.0142,0.7,13.2228,2.3024
0,20240304,8.18,2.9891,0.56,13.1745,2.294
0,20240305,7.9,2.4532,0.53,12.7236,2.2155
0,20240306,8.15,2.6638,0.63,13.1262,2.2856
0,20240307,8.14,3.0098,0.88,13.1101,2.2828
0,20240308,8.19,1.8506,0.61,13.1906,2.2968
0,20240311,8.45,3.097,1.19,13.6094,2.3697
0,20240312,8.6,2.7128,1.04,13.851,2.4118
0,20240313,8.64,2.1662,0.81,13.9154,2.423
0,20240314,8.58,1.8943,0.74,13.8188,2.4062
0,20240315,8.89,2.7496,1.17,14.318,2.4931
0,20240318,8.92,2.8389,1.12,14.3664,2.5015
0,20240319,9.26,3.839,1.55,14.914,2.5969
0,20240320,10.19,5.9998,2.22,16.4118,2.8577
0,20240321,11.21,17.8359,5.15,18.0546,3.1437
0,20240322,10.09,18.5318,2.79,16.2507,2.8296
0,20240325,9.15,12.6359,1.29,14.7368,2.566
0,20240326,9.18,7.2455,0.62,14.7851,2.5744
0,20240327,8.73,4.4318,0.36,14.0603,2.4482
0,20240328,8.99,4.4752,0.37,14.4791,2.5211
0,20240329,9.09,3.3573,0.35,14.6402,2.5492
0,20240401,9.17,4.1824,0.65,14.769,2.5716
0,20240402,9.25,3.3623,0.71,14.8978,2.5941
0,20240403,9.31,3.7538,0.95,14.9945,2.6109
