,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,11.62,0.2991,1.31,17.3684,2.8631
0,20240103,11.68,0.195,0.8,17.4581,2.8779
0,20240104,11.72,0.2038,0.84,17.5178,2.8877
0,20240105,11.6,0.2261,0.91,17.3385,2.8582
0,20240108,11.38,0.1614,0.7,17.0096,2.804
0,20240109,11.38,0.1422,0.66,17.0096,2.804
0,20240110,11.32,0.1418,0.76,16.92,2.7892
0,20240111,11.35,0.2086,1.19,16.9648,2.7966
0,20240112,11.44,0.2531,1.44,17.0993,2.8188
0,20240115,12.09,1.4837,8.18,18.0709,2.3106
0,20240116,11.91,0.8937,2.0,17.8018,2.2762
0,20240117,11.91,0.5335,0.89,17.8018,2.2762
0,20240118,11.85,0.5172,0.77,17.7122,2.2647
0,20240119,11.63,0.3239,0.44,17.3833,2.2227
0,20240122,10.9,0.4804,0.64,16.2922,2.0832
0,20240123,11.03,0.3985,0.72,16.4865,2.108
0,20240124,11.25,0.3336,0.74,16.8153,2.1501
0,20240125,11.64,0.4228,1.03,17.3983,2.2246
0,20240126,11.78,0.3184,0.81,17.6075,2.2513
0,20240129,11.82,0.3869,0.99,17.6673,2.259
0,20240130,11.71,0.3383,0.91,17.5029,2.238
0,20240131,11.54,0.3481,0.97,17.2488,2.2055
0,20240201,11.5,0.369,1.02,17.189,2.1978
0,20240202,11.14,0.4189,1.19,16.6509,2.129
0,20240205,10.78,0.4928,1.32,16.1128,2.0602
0,20240206,11.04,0.6553,1.67,16.5014,2.1099
0,20240207,11.42,0.7274,1.59,17.0694,2.1825
0,20240208,11.74,0.8009,1.5,17.5477,2.2437
0,20240219,12.24,0.9567,1.55,18.2951,2.3393
0,20240220,12.09,0.4535,0.62,18.0709,2.3106
0,20240221,12.0,0.3987,0.55,17.9364,2.2934
0,20240222,12.16,0.3592,0.54,18.1755,2.324
0,20240223,12.16,0.3411,0.57,18.1755,2.324
0,20240226,12.18,0.4704,0.94,18.2054,2.3278
0,20240227,12.23,0.3613,0.89,18.2801,2.3373
0,20240228,11.96,0.5267,1.36,17.8766,2.2857
0,20240229,12.32,0.5727,1.39,18.4147,2.3545
0,20240301,12.38,0.6674,1.47,18.5043,2.366
0,20240304,12.3,0.448,0.86,18.3848,2.3507
0,20240305,12.4,0.4125,0.8,18.5342,2.3698
0,20240306,12.87,0.8703,1.66,19.2367,2.4597
0,20240307,12.97,0.8189,1.38,19.3862,2.4788
0,20240308,12.95,0.5725,0.89,19.3563,2.4749
0,20240311,12.96,0.4049,0.65,19.3713,2.4769
0,20240312,13.1,0.5883,0.96,19.5805,2.5036
0,20240313,13.25,0.5767,0.89,19.8047,2.5323
0,20240314,13.26,0.3068,0.52,19.8197,2.5342
0,20240315,13.42,0.3791,0.77,20.0588,2.5648
0,20240318,13.5,0.4376,0.97,20.1784,2.5801
0,20240319,13.42,0.2919,0.64,20.0588,2.5648
0,20240320,13.38,0.3491,0.88,19.999,2.5571
0,20240321,13.39,0.2457,0.7,20.014,2.559
0,20240322,13.22,0.3422,1.0,19.7599,2.5265
0,20240325,13.18,0.3149,0.94,19.7001,2.5189
0,20240326,13.32,0.2785,0.9,19.9094,2.5457
0,20240327,13.24,0.696,2.29,15.4896,3.0811
0,20240328,13.45,0.5595,1.5,15.7352,3.1299
0,20240329,13.63,0.4773,1.09,15.9458,3.1718
0,20240401,13.66,0.5981,1.29,15.9809,3.1788
0,20240402,13.92,0.6077,1.17,16.2851,3.2393
0,20240403,14.04,0.412,0.7,16.4255,3.2672
