,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,9.43,0.9797,1.61,6.1526,0.578
0,20240103,9.41,0.7516,1.04,6.1396,0.5768
0,20240104,9.15,0.878,1.16,5.9699,0.5609
0,20240105,9.17,0.8511,1.02,5.983,0.5621
0,20240108,9.06,0.5635,0.69,5.9112,0.5553
0,20240109,9.12,0.5755,0.72,5.9504,0.559
0,20240110,9.07,0.4341,0.6,5.9178,0.5559
0,20240111,9.11,0.5978,0.91,5.9438,0.5584
0,20240112,9.14,0.6352,1.05,5.9634,0.5602
0,20240115,9.02,0.7054,1.26,5.8851,0.5529
0,20240116,8.92,0.8374,1.42,5.8199,0.5468
0,20240117,8.67,0.7219,1.12,5.6568,0.5314
0,20240118,8.84,0.8685,1.24,5.7677,0.5419
0,20240119,8.87,0.6258,0.83,5.7873,0.5437
0,20240122,8.72,1.0719,1.43,5.6894,0.5388
0,20240123,8.75,0.8069,0.98,5.709,0.5406
0,20240124,8.98,0.9278,1.13,5.859,0.5548
0,20240125,9.6,1.6707,1.94,6.2636,0.5931
0,20240126,9.91,1.704,1.67,6.4658,0.6123
0,20240129,9.99,1.5184,1.23,6.518,0.6172
0,20240130,9.77,1.0012,0.76,6.3745,0.6037
0,20240131,9.54,1.1782,0.86,6.2244,0.5894
0,20240201,9.24,0.8515,0.6,6.0287,0.5709
0,20240202,9.37,0.9443,0.76,6.1135,0.5789
0,20240205,9.28,1.0154,0.92,6.0548,0.5734
0,20240206,9.44,0.9805,0.98,6.1592,0.5833
0,20240207,9.48,0.9802,0.99,6.1853,0.5857
0,20240208,9.97,0.997,1.04,6.505,0.616
0,20240219,9.81,1.1337,1.15,6.4006,0.6061
0,20240220,9.86,1.0283,1.01,6.4332,0.6092
0,20240221,10.09,1.3513,1.32,6.5833,0.6234
0,20240222,9.99,0.7341,0.67,6.518,0.6172
0,20240223,10.0,0.6308,0.6,6.5245,0.6179
0,20240226,9.82,0.7981,0.82,6.4071,0.6067
0,20240227,9.87,0.6786,0.75,6.4397,0.6098
0,20240228,9.72,0.9497,1.13,6.3418,0.6006
0,20240229,9.77,0.7891,1.04,6.3745,0.6037
0,20240301,9.58,1.0019,1.3,6.2505,0.5919
0,20240304,9.23,1.2404,1.47,6.0221,0.5703
0,20240305,9.38,1.0051,1.08,6.12,0.5796
0,20240306,9.2,0.715,0.72,6.0026,0.5684
0,20240307,9.13,0.6554,0.69,5.9569,0.5641
0,20240308,9.04,0.6129,0.66,5.8982,0.5585
0,20240311,9.47,1.3113,1.55,6.1787,0.5851
0,20240312,9.96,1.6441,1.91,6.4984,0.6154
0,20240313,9.67,0.8411,0.85,6.3092,0.5975
0,20240314,9.77,0.8108,0.8,6.3745,0.6037
0,20240315,9.69,0.5818,0.56,6.3223,0.5987
0,20240318,9.5,0.8526,0.82,6.1983,0.587
0,20240319,9.32,0.6167,0.65,6.0809,0.5758
0,20240320,9.31,0.5481,0.74,6.0743,0.5752
0,20240321,9.48,0.9219,1.35,6.1853,0.5857
0,20240322,9.37,0.744,1.06,6.1135,0.5789
0,20240325,9.67,1.2512,1.7,6.3092,0.5975
0,20240326,9.71,0.7867,0.96,6.3353,0.5999
0,20240327,9.44,0.7587,0.89,6.1592,0.5833
0,20240328,9.35,0.741,0.83,6.1004,0.5777
0,20240329,9.13,1.1062,1.29,5.9569,0.5641
0,20240401,9.09,1.3369,1.44,5.9308,0.5616
0,20240402,8.82,1.5224,1.61,5.7546,0.545
0,20240403,8.77,0.7372,0.67,5.722,0.5419
