,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.24,1.5016,0.72,22.9419,1.5256
0,20240103,8.27,1.304,0.67,23.0255,1.5312
0,20240104,8.22,0.8436,0.54,22.8862,1.5219
0,20240105,8.14,0.9135,0.73,22.6635,1.5071
0,20240108,7.99,0.6654,0.58,22.2459,1.4793
0,20240109,7.96,0.6942,0.66,22.1623,1.4738
0,20240110,7.98,0.6341,0.72,22.218,1.4775
0,20240111,8.08,0.6691,0.89,22.4965,1.496
0,20240112,8.13,1.1254,1.57,22.6357,1.5053
0,20240115,8.1,0.6932,0.91,22.5521,1.4997
0,20240116,8.15,1.121,1.47,22.6913,1.509
0,20240117,7.97,0.8421,0.99,22.1902,1.4756
0,20240118,7.74,1.516,1.7,21.5498,1.4331
0,20240119,7.67,0.6743,0.64,21.3549,1.4201
0,20240122,7.14,1.0749,1.11,19.8793,1.322
0,20240123,6.99,1.5214,1.45,19.4617,1.2942
0,20240124,7.11,1.1542,1.03,19.7958,1.3164
0,20240125,7.5,1.1456,0.96,20.8816,1.3886
0,20240126,7.59,0.807,0.72,21.1322,1.4053
0,20240129,7.35,0.936,0.82,20.464,1.3609
0,20240130,7.07,0.9826,0.88,19.6844,1.309
0,20240131,6.71,1.4216,1.41,18.6821,1.2424
0,20240201,6.42,1.8987,1.79,17.8747,1.1887
0,20240202,6.21,2.1108,1.75,17.29,1.1498
0,20240205,5.6,2.5081,1.71,15.5916,1.0368
0,20240206,5.34,3.7562,2.11,14.8677,0.9887
0,20240207,4.83,4.643,1.98,33.1824,0.9029
0,20240208,5.24,4.1064,1.38,35.9991,0.9795
0,20240219,5.42,2.7198,0.79,37.2357,1.0132
0,20240220,5.51,1.6523,0.47,37.854,1.03
0,20240221,5.63,1.8008,0.53,38.6785,1.0524
0,20240222,5.77,1.656,0.55,39.6403,1.0786
0,20240223,5.96,1.7244,0.72,40.9456,1.1141
0,20240226,6.08,1.8846,0.99,41.77,1.1365
0,20240227,6.2,1.5169,0.87,42.5944,1.159
0,20240228,5.77,2.8965,1.69,39.6403,1.0786
0,20240229,5.96,1.6964,0.88,40.9456,1.1141
0,20240301,5.96,1.2816,0.66,40.9456,1.1141
0,20240304,5.89,1.1108,0.6,40.4647,1.101
0,20240305,5.71,1.3353,0.79,39.2281,1.0674
0,20240306,5.79,1.1435,0.69,39.7777,1.0823
0,20240307,5.82,1.4203,1.08,39.9838,1.0879
0,20240308,5.74,0.9462,0.75,39.4342,1.073
0,20240311,5.95,1.5451,1.3,40.8769,1.1122
0,20240312,6.0,1.0932,0.86,41.2204,1.1216
0,20240313,6.0,1.2841,1.04,41.2204,1.1216
0,20240314,5.95,1.3429,1.07,40.8769,1.1122
0,20240315,6.05,1.1051,0.89,41.5639,1.1309
0,20240318,6.14,1.2818,1.01,42.1822,1.1477
0,20240319,6.18,1.358,1.11,42.457,1.1552
0,20240320,6.27,1.0995,0.86,43.0753,1.172
0,20240321,6.33,1.1837,0.96,43.4875,1.1833
0,20240322,6.21,1.3414,1.11,42.6631,1.1608
0,20240325,6.03,1.574,1.26,41.4265,1.1272
0,20240326,6.34,4.1052,3.13,43.5562,1.1851
0,20240327,6.15,3.649,1.96,42.2509,1.1496
0,20240328,6.13,2.5723,1.09,42.1135,1.1459
0,20240329,6.15,1.6244,0.61,42.2509,1.1496
0,20240401,6.3,1.7776,0.66,43.2814,1.1777
0,20240402,6.31,1.7703,0.64,43.3501,1.1795
0,20240403,6.39,1.5307,0.67,43.8997,1.1945
