,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,4.52,1.5589,1.51,39.1404,1.28
0,20240103,4.57,1.2558,1.09,39.5734,1.2941
0,20240104,4.54,0.8645,0.7,39.3136,1.2856
0,20240105,4.46,0.7948,0.65,38.6209,1.263
0,20240108,4.32,1.1741,1.03,37.4086,1.2233
0,20240109,4.3,1.1383,1.01,37.2354,1.2177
0,20240110,4.27,0.9053,0.87,36.9756,1.2092
0,20240111,4.31,0.7587,0.78,37.322,1.2205
0,20240112,4.26,0.7485,0.78,36.889,1.2063
0,20240115,4.32,0.8552,0.91,37.4086,1.2233
0,20240116,4.27,1.0574,1.2,36.9756,1.2092
0,20240117,4.18,0.7658,0.89,36.1962,1.1837
0,20240118,4.12,1.3102,1.57,35.6767,1.1667
0,20240119,4.08,0.7139,0.75,35.3303,1.1554
0,20240122,3.83,1.3228,1.41,33.1655,1.0846
0,20240123,3.91,1.2752,1.23,33.8582,1.1072
0,20240124,3.96,0.9878,0.92,34.2912,1.1214
0,20240125,4.06,0.9379,0.84,35.1571,1.1497
0,20240126,4.04,0.9493,0.91,34.9839,1.144
0,20240129,3.98,0.7491,0.68,34.4644,1.127
0,20240130,3.88,0.8044,0.82,33.5984,1.0987
0,20240131,3.7,1.2946,1.46,32.0397,1.0478
0,20240201,3.66,0.9975,1.05,31.6934,1.0364
0,20240202,3.48,1.5271,1.59,30.1347,0.9855
0,20240205,3.41,2.187,2.04,29.5285,0.9656
0,20240206,3.69,2.0148,1.48,31.9531,1.0449
0,20240207,3.8,1.962,1.22,32.9057,1.0761
0,20240208,3.97,2.1834,1.26,34.3778,1.1242
0,20240219,3.85,2.1182,1.07,33.3386,1.0902
0,20240220,3.88,1.1186,0.53,33.5984,1.0987
0,20240221,3.9,1.2426,0.66,33.7716,1.1044
0,20240222,3.93,0.8522,0.49,34.0314,1.1129
0,20240223,3.94,0.9835,0.65,34.118,1.1157
0,20240226,3.94,1.1565,0.92,34.118,1.1157
0,20240227,3.98,0.9115,0.85,34.4644,1.127
0,20240228,3.89,1.8839,1.83,33.685,1.1016
0,20240229,3.94,1.2293,1.06,34.118,1.1157
0,20240301,3.92,1.0554,0.86,33.9448,1.1101
0,20240304,3.95,1.2946,1.04,34.2046,1.1185
0,20240305,3.88,0.9271,0.73,33.5984,1.0987
0,20240306,3.85,0.9301,0.73,33.3386,1.0902
0,20240307,3.81,0.8863,0.82,32.9923,1.0789
0,20240308,3.81,0.6225,0.61,32.9923,1.0789
0,20240311,3.86,0.8514,0.91,33.4252,1.0931
0,20240312,3.98,1.6132,1.91,34.4644,1.127
0,20240313,3.93,0.9415,0.96,34.0314,1.1129
0,20240314,3.95,1.0018,1.02,34.2046,1.1185
0,20240315,3.99,0.8216,0.82,34.551,1.1299
0,20240318,4.02,1.0441,1.0,34.8107,1.1384
0,20240319,3.98,0.7977,0.74,34.4644,1.127
0,20240320,3.99,0.6873,0.75,34.551,1.1299
0,20240321,3.96,0.7408,0.85,34.2912,1.1214
0,20240322,3.88,1.0414,1.27,33.5984,1.0987
0,20240325,3.8,0.8543,0.99,32.9057,1.0761
0,20240326,3.8,0.8631,1.05,32.9057,1.0761
0,20240327,3.75,0.8232,0.98,32.4727,1.0619
0,20240328,3.8,0.7735,0.89,32.9057,1.0761
0,20240329,3.81,0.6586,0.76,32.9923,1.0789
0,20240401,3.87,0.8532,1.07,33.5118,1.0959
0,20240402,3.88,0.8144,1.03,33.5984,1.0987
0,20240403,3.9,0.745,0.95,33.7716,1.1044
