,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,13.64,8.9363,0.56,,5.6594
0,20240103,13.43,9.969,0.68,,5.5722
0,20240104,13.39,7.274,0.53,,5.5556
0,20240105,12.89,9.6506,0.84,,5.3482
0,20240108,12.74,8.2416,0.84,,5.286
0,20240109,12.79,6.319,0.72,,5.3067
0,20240110,12.58,5.6513,0.68,,5.2196
0,20240111,12.87,6.4453,0.87,,5.3399
0,20240112,12.42,7.0094,0.97,,5.1532
0,20240115,12.49,4.9423,0.73,,5.1822
0,20240116,12.5,10.4854,1.73,,5.1864
0,20240117,12.23,7.2332,1.05,,5.0744
0,20240118,12.56,10.3893,1.44,,5.2113
0,20240119,12.33,6.317,0.79,,5.1158
0,20240122,11.46,8.7252,1.11,,4.7549
0,20240123,11.61,6.2982,0.73,,4.8171
0,20240124,11.7,6.0955,0.78,,4.8545
0,20240125,11.97,5.4121,0.72,,4.9665
0,20240126,11.91,5.234,0.8,,4.9416
0,20240129,11.37,4.751,0.75,,4.7175
0,20240130,11.0,5.2781,0.95,,4.564
0,20240131,10.65,6.5045,1.21,,4.4188
0,20240201,10.68,6.5662,1.21,,4.4312
0,20240202,10.05,7.586,1.34,,4.1698
0,20240205,9.05,6.085,0.99,,3.7549
0,20240206,8.48,11.8869,1.86,,3.5184
0,20240207,7.95,14.5743,1.89,,3.2985
0,20240208,8.66,14.2089,1.52,,3.5931
0,20240219,9.53,0.626,0.06,,3.9541
0,20240220,10.48,0.6217,0.07,,4.3483
0,20240221,11.53,0.4502,0.05,,4.7839
0,20240222,12.68,0.8288,0.14,,5.2611
0,20240223,13.95,1.641,0.49,,5.788
0,20240226,15.35,34.9145,41.89,,6.3689
0,20240227,14.7,32.0579,4.17,,6.0992
0,20240228,14.72,37.7922,2.7,,6.1075
0,20240229,16.19,35.6474,1.66,,6.7174
0,20240301,14.93,33.4378,1.18,,6.1946
0,20240304,15.17,23.8645,0.69,,6.2942
0,20240305,14.36,21.6271,0.66,,5.9581
0,20240306,13.87,15.7105,0.52,,5.7548
0,20240307,13.47,15.7939,0.61,,5.5888
0,20240308,13.67,11.7367,0.53,,5.6718
0,20240311,13.93,14.4748,0.82,,5.7797
0,20240312,13.8,10.9778,0.69,,5.7258
0,20240313,14.27,21.5971,1.57,,5.9208
0,20240314,13.48,14.8224,0.99,,5.593
0,20240315,13.3,10.0009,0.68,,5.5183
0,20240318,13.6,9.035,0.63,,5.6428
0,20240319,13.38,9.1382,0.69,,5.5515
0,20240320,13.77,11.4401,0.89,,5.7133
0,20240321,13.95,11.5095,1.06,,5.788
0,20240322,14.03,14.9356,1.46,,5.8212
0,20240325,13.05,10.3918,0.93,,5.4146
0,20240326,12.48,8.7755,0.76,,5.1781
0,20240327,11.65,9.0516,0.79,,4.8337
0,20240328,12.11,6.8705,0.63,,5.0246
0,20240329,12.02,4.3398,0.43,,4.9872
0,20240401,12.32,5.093,0.65,,5.1117
0,20240402,11.93,5.2117,0.76,,4.9499
0,20240403,11.67,4.1986,0.69,,4.842
