,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,5.46,0.699,1.19,21.5691,1.6947
0,20240103,5.42,0.4155,0.69,21.4111,1.6823
0,20240104,5.36,0.383,0.66,21.1741,1.6636
0,20240105,5.31,0.4899,0.84,20.9765,1.6481
0,20240108,5.21,0.4395,0.77,20.5815,1.6171
0,20240109,5.23,0.4441,0.91,20.6605,1.6233
0,20240110,5.26,0.4801,1.11,20.779,1.6326
0,20240111,5.36,0.7236,1.62,21.1741,1.6636
0,20240112,5.31,0.3507,0.68,20.9765,1.6481
0,20240115,5.37,0.4109,0.84,21.2136,1.6667
0,20240116,5.33,0.3762,0.78,21.0556,1.6543
0,20240117,5.28,0.4539,0.97,20.858,1.6388
0,20240118,5.16,0.7906,1.71,20.384,1.6016
0,20240119,5.14,0.386,0.81,20.305,1.5954
0,20240122,4.8,0.8232,1.7,18.9618,1.4898
0,20240123,4.93,0.7285,1.29,19.4754,1.5302
0,20240124,5.0,0.7049,1.11,19.7519,1.5519
0,20240125,5.2,0.6166,0.9,20.542,1.614
0,20240126,5.2,0.5334,0.82,20.542,1.614
0,20240129,5.17,0.4397,0.65,20.4235,1.6047
0,20240130,4.9,0.5492,0.91,19.3569,1.5209
0,20240131,4.73,0.9271,1.63,18.6853,1.4681
0,20240201,4.73,1.0242,1.67,18.6853,1.4681
0,20240202,4.49,1.2098,1.74,17.7372,1.3936
0,20240205,4.22,1.7191,2.07,16.6706,1.3098
0,20240206,4.6,1.3599,1.25,18.1718,1.4278
0,20240207,5.05,1.8361,1.47,19.9494,1.5674
0,20240208,5.09,1.4622,1.02,20.1075,1.5798
0,20240219,5.18,1.0587,0.7,20.463,1.6078
0,20240220,5.17,0.8881,0.6,20.4235,1.6047
0,20240221,5.26,0.8695,0.66,20.779,1.6326
0,20240222,5.2,0.5328,0.44,20.542,1.614
0,20240223,5.34,0.6598,0.69,21.0951,1.6574
0,20240226,5.31,0.7447,0.93,20.9765,1.6481
0,20240227,5.5,0.8155,1.1,21.7271,1.7071
0,20240228,5.25,0.903,1.25,20.7395,1.6295
0,20240229,5.45,0.7476,1.02,21.5296,1.6916
0,20240301,5.47,0.6007,0.78,21.6086,1.6978
0,20240304,5.51,0.5606,0.74,21.7666,1.7102
0,20240305,5.5,0.6195,0.85,21.7271,1.7071
0,20240306,5.49,0.4729,0.69,21.6876,1.704
0,20240307,5.33,0.5102,0.85,21.0556,1.6543
0,20240308,5.42,0.4646,0.84,21.4111,1.6823
0,20240311,5.42,0.4296,0.82,21.4111,1.6823
0,20240312,5.4,0.4822,0.97,21.3321,1.6761
0,20240313,5.41,0.4338,0.92,21.3716,1.6792
0,20240314,5.36,0.4459,0.96,21.1741,1.6636
0,20240315,5.36,0.4412,0.98,21.1741,1.6636
0,20240318,5.36,0.8766,1.96,21.1741,1.6636
0,20240319,5.25,0.6984,1.3,20.7395,1.6295
0,20240320,5.21,0.5626,0.97,20.5815,1.6171
0,20240321,5.19,0.5407,0.89,20.5025,1.6109
0,20240322,5.24,0.893,1.43,20.7,1.6264
0,20240325,5.12,0.7348,1.03,20.226,1.5891
0,20240326,5.0,1.0341,1.51,19.7519,1.5519
0,20240327,4.85,0.464,0.62,19.1594,1.5053
0,20240328,4.99,0.4667,0.64,19.7124,1.5488
0,20240329,5.01,0.3978,0.55,19.7914,1.555
0,20240401,5.25,0.6537,1.06,20.7395,1.6295
0,20240402,5.12,0.5313,0.88,20.226,1.5891
0,20240403,5.09,0.444,0.88,20.1075,1.5798
