,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.73,1.0635,0.96,84.2663,3.6543
0,20240103,14.61,0.7869,0.71,83.5798,3.6245
0,20240104,14.37,0.718,0.74,82.2068,3.565
0,20240105,14.02,0.7413,0.8,80.2046,3.4781
0,20240108,13.65,0.7367,0.86,78.0879,3.3863
0,20240109,13.77,0.6704,0.83,78.7744,3.4161
0,20240110,13.76,0.6043,0.83,78.7172,3.4136
0,20240111,13.97,0.6868,0.99,79.9185,3.4657
0,20240112,13.98,0.5915,0.86,79.9757,3.4682
0,20240115,13.69,0.535,0.81,78.3167,3.3963
0,20240116,13.51,0.6334,1.03,77.287,3.3516
0,20240117,13.08,0.6028,0.99,74.8271,3.2449
0,20240118,12.88,1.0762,1.76,73.6829,3.1953
0,20240119,12.63,0.6071,0.88,72.2528,3.1333
0,20240122,11.9,0.9146,1.32,68.0766,2.9522
0,20240123,12.83,1.3787,1.8,73.3969,3.1829
0,20240124,12.77,0.9006,0.98,73.0537,3.168
0,20240125,12.96,0.9259,0.95,74.1406,3.2152
0,20240126,12.78,0.6449,0.68,73.1109,3.1705
0,20240129,12.47,0.789,0.83,71.3374,3.0936
0,20240130,12.27,0.6673,0.72,70.1933,3.044
0,20240131,11.92,0.8556,1.09,68.191,2.9572
0,20240201,11.78,0.8246,1.06,67.3901,2.9224
0,20240202,11.17,1.265,1.67,63.9005,2.7711
0,20240205,10.41,1.7897,2.03,59.5527,2.5825
0,20240206,11.45,1.2893,1.19,65.5023,2.8406
0,20240207,12.6,1.2884,1.07,72.0811,3.1258
0,20240208,13.86,1.2841,0.99,79.2892,3.4384
0,20240219,14.35,4.5805,3.31,82.0924,3.56
0,20240220,13.82,2.2098,1.08,79.0604,3.4285
0,20240221,13.73,1.6245,0.76,78.5455,3.4062
0,20240222,13.9,1.2552,0.57,79.5181,3.4484
0,20240223,13.9,1.1532,0.53,79.5181,3.4484
0,20240226,14.04,1.4118,0.65,80.319,3.4831
0,20240227,14.39,1.6501,1.08,82.3212,3.5699
0,20240228,13.9,1.9283,1.36,79.5181,3.4484
0,20240229,14.83,1.9257,1.3,84.8383,3.6791
0,20240301,15.27,2.4658,1.53,87.3555,3.7882
0,20240304,15.15,1.6501,0.88,86.669,3.7585
0,20240305,14.95,1.406,0.73,85.5248,3.7088
0,20240306,14.99,1.2005,0.64,85.7537,3.7188
0,20240307,14.4,1.3261,0.77,82.3784,3.5724
0,20240308,14.61,0.9423,0.59,83.5798,3.6245
0,20240311,14.87,1.281,0.98,85.0672,3.689
0,20240312,14.87,0.8375,0.68,85.0672,3.689
0,20240313,14.84,0.7991,0.72,84.8956,3.6816
0,20240314,14.52,0.9575,0.92,83.0649,3.6022
0,20240315,14.76,0.9165,0.95,84.4379,3.6617
0,20240318,15.78,4.2504,4.44,90.273,3.9148
0,20240319,15.54,2.1952,1.41,88.9001,3.8552
0,20240320,16.39,3.4201,1.88,93.7627,4.0661
0,20240321,16.16,2.8021,1.19,92.4469,4.009
0,20240322,17.35,4.7201,1.74,99.2546,4.3042
0,20240325,17.35,3.6773,1.06,99.2546,4.3042
0,20240326,18.22,4.1766,1.24,104.2316,4.5201
0,20240327,18.9,6.0094,1.6,108.1217,4.6888
0,20240328,20.28,8.4328,1.97,116.0163,5.0311
0,20240329,22.31,4.9154,0.91,127.6294,5.5347
0,20240401,22.89,12.6474,2.32,130.9474,5.6786
0,20240402,20.6,9.6521,1.33,117.8469,5.1105
0,20240403,19.61,7.2319,0.87,112.1834,4.8649
