,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,14.8,2.1851,0.53,60.4334,3.7665
0,20240103,14.59,1.9304,0.5,59.5759,3.7131
0,20240104,14.25,1.6289,0.47,58.1875,3.6265
0,20240105,14.0,1.5966,0.53,57.1667,3.5629
0,20240108,13.72,1.5223,0.68,56.0234,3.4917
0,20240109,13.87,1.6001,0.9,56.6359,3.5298
0,20240110,13.68,1.5615,0.94,55.86,3.4815
0,20240111,13.82,1.6564,1.05,56.4317,3.5171
0,20240112,13.48,2.0156,1.27,55.0434,3.4306
0,20240115,13.17,1.553,0.93,53.7775,3.3517
0,20240116,13.1,1.4535,0.87,53.4917,3.3339
0,20240117,12.7,1.1488,0.7,51.8584,3.2321
0,20240118,12.71,1.8118,1.16,51.8992,3.2346
0,20240119,12.56,0.9463,0.59,51.2867,3.1965
0,20240122,11.62,1.9617,1.42,47.4484,2.9572
0,20240123,11.55,1.5756,1.08,47.1625,2.9394
0,20240124,11.98,1.8485,1.24,48.9184,3.0488
0,20240125,13.18,5.0792,3.12,53.8184,3.3542
0,20240126,12.86,5.1995,2.28,52.5117,3.2728
0,20240129,12.64,3.782,1.21,51.6134,3.2168
0,20240130,12.41,2.2893,0.65,50.6742,3.1583
0,20240131,11.88,2.5838,0.71,48.51,3.0234
0,20240201,13.07,3.1286,0.83,53.3692,3.3262
0,20240202,14.38,6.7862,2.0,58.7184,3.6596
0,20240205,15.82,2.619,0.71,64.5984,4.0261
0,20240206,17.4,3.2832,0.94,71.0501,4.4282
0,20240207,19.14,1.4315,0.39,78.1551,4.871
0,20240208,21.05,20.9474,6.07,85.9542,5.3571
0,20240219,23.16,1.5006,0.21,94.5701,5.8941
0,20240220,25.48,0.4747,0.08,104.0434,6.4845
0,20240221,28.03,10.1223,1.83,114.4559,7.1335
0,20240222,30.83,1.8061,0.26,125.8893,7.8461
0,20240223,33.91,1.1243,0.16,138.4659,8.6299
0,20240226,37.3,0.6417,0.21,152.3085,9.4926
0,20240227,41.03,19.5795,6.91,167.5393,10.4419
0,20240228,36.93,29.2107,4.39,150.7976,9.3985
0,20240229,36.5,26.9664,2.57,149.0418,9.2891
0,20240301,37.53,29.3641,1.89,153.2476,9.5512
0,20240304,37.8,24.4458,1.16,154.3501,9.6199
0,20240305,38.66,29.3439,1.13,157.8618,9.8388
0,20240306,42.53,29.0721,1.04,173.6643,10.8237
0,20240307,38.28,26.9547,0.97,156.3101,9.7421
0,20240308,34.92,23.8019,0.86,142.5901,8.887
0,20240311,34.67,17.3049,0.65,141.5693,8.8233
0,20240312,35.25,17.4605,0.69,143.9376,8.9709
0,20240313,37.28,23.5724,1.03,152.2268,9.4876
0,20240314,35.02,22.1908,1.02,142.9985,8.9124
0,20240315,34.57,17.5879,0.84,141.1609,8.7979
0,20240318,35.4,15.9188,0.81,144.5501,9.0091
0,20240319,37.08,23.6917,1.22,151.4101,9.4367
0,20240320,37.68,22.5197,1.09,153.8601,9.5894
0,20240321,35.18,20.3492,1.0,143.6518,8.9531
0,20240322,33.68,17.1866,0.86,137.5268,8.5714
0,20240325,30.58,18.1198,0.91,124.8684,7.7824
0,20240326,31.44,11.1001,0.54,128.3801,8.0013
0,20240327,29.79,14.2759,0.8,121.6426,7.5814
0,20240328,30.15,10.3689,0.64,123.1126,7.673
0,20240329,31.03,14.0557,0.99,126.7059,7.897
0,20240401,31.03,8.7336,0.64,126.7059,7.897
0,20240402,29.64,10.646,0.91,121.0301,7.5432
0,20240403,28.9,8.6606,0.75,118.0084,7.3549
