,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,8.9,1.0837,1.07,16.7816,2.5028
0,20240103,8.9,0.95,0.89,16.7816,2.5028
0,20240104,8.88,0.6858,0.67,16.7307,2.4981
0,20240105,8.84,1.0367,1.01,16.6554,2.4868
0,20240108,8.79,1.4227,1.47,16.5612,2.4727
0,20240109,8.93,1.6804,1.66,16.8249,2.5121
0,20240110,9.01,1.371,1.2,16.9757,2.5346
0,20240111,9.09,1.3571,1.1,17.1264,2.5571
0,20240112,9.15,1.6631,1.21,17.2394,2.574
0,20240115,9.3,2.0852,1.39,17.5221,2.6162
0,20240116,9.46,2.7253,1.67,17.8235,2.6612
0,20240117,9.27,1.8415,1.0,17.4655,2.6078
0,20240118,9.41,2.437,1.26,17.7293,2.6472
0,20240119,9.3,1.6733,0.78,17.5221,2.6162
0,20240122,8.98,1.597,0.74,16.9191,2.5262
0,20240123,9.05,1.4373,0.7,17.051,2.5459
0,20240124,9.12,1.6646,0.93,17.1829,2.5656
0,20240125,9.2,2.175,1.23,17.3336,2.5881
0,20240126,9.41,3.2211,1.88,17.7293,2.6472
0,20240129,9.45,4.5275,2.24,17.8047,2.6584
0,20240130,9.47,2.9476,1.13,17.8424,2.664
0,20240131,9.74,4.0081,1.38,18.3511,2.74
0,20240201,9.56,2.9942,0.89,18.0119,2.6894
0,20240202,9.68,2.965,0.84,18.238,2.7231
0,20240205,9.65,2.9341,0.84,18.1815,2.7147
0,20240206,10.11,3.605,1.14,19.0482,2.8441
0,20240207,10.34,3.4023,1.03,19.4815,2.9088
0,20240208,10.08,3.4706,1.09,18.9916,2.8356
0,20240219,10.1,2.6502,0.81,19.0293,2.8413
0,20240220,10.13,2.0957,0.65,19.0859,2.8497
0,20240221,10.17,3.2195,1.06,19.1612,2.861
0,20240222,10.18,1.9379,0.65,19.1801,2.8638
0,20240223,10.11,2.7256,1.02,19.0482,2.8441
0,20240226,10.03,2.0856,0.83,18.8974,2.8216
0,20240227,10.24,2.0686,0.86,19.2931,2.8806
0,20240228,9.8,2.3536,0.98,18.4641,2.7569
0,20240229,10.0,1.9681,0.88,18.8409,2.8131
0,20240301,10.01,1.6888,0.75,18.8598,2.8159
0,20240304,10.07,2.0399,1.0,18.9728,2.8328
0,20240305,10.09,1.9057,0.94,19.0105,2.8384
0,20240306,10.08,1.6771,0.84,18.9916,2.8356
0,20240307,10.02,1.599,0.86,18.8786,2.8188
0,20240308,10.05,1.3836,0.78,18.9351,2.8272
0,20240311,10.01,1.3135,0.76,18.8598,2.8159
0,20240312,10.47,3.5728,2.27,19.7264,2.9453
0,20240313,10.33,2.541,1.33,19.4627,2.906
0,20240314,10.34,1.3754,0.66,19.4815,2.9088
0,20240315,10.21,2.0585,1.01,19.2366,2.8722
0,20240318,10.24,1.2146,0.56,19.2931,2.8806
0,20240319,10.0,2.3771,1.1,18.8409,2.8131
0,20240320,9.82,2.6027,1.36,18.5018,2.7625
0,20240321,9.79,1.5151,0.79,18.4453,2.7541
0,20240322,9.67,1.2955,0.66,18.2192,2.7203
0,20240325,9.8,2.3149,1.29,18.4641,2.7569
0,20240326,9.83,1.3165,0.65,18.5206,2.7653
0,20240327,9.55,1.1333,0.63,17.9931,2.6865
0,20240328,9.6,1.0702,0.71,18.0873,2.7006
0,20240329,9.63,0.626,0.44,18.1438,2.709
0,20240401,9.79,0.9691,0.75,18.4453,2.7541
0,20240402,9.88,1.3127,1.28,18.6148,2.7794
0,20240403,9.93,1.1752,1.15,18.709,2.7934
