,trade_date,close,turnover_rate,volume_ratio,pe,pb
0,20240102,3.62,0.8551,1.11,,2.5128
0,20240103,3.63,0.7488,0.93,,2.5198
0,20240104,3.61,0.6666,0.83,,2.5059
0,20240105,3.58,0.9192,1.15,,2.4851
0,20240108,3.52,0.6547,0.83,,2.4434
0,20240109,3.53,0.617,0.8,,2.4503
0,20240110,3.49,0.5492,0.76,,2.4226
0,20240111,3.48,0.9629,1.41,,2.4156
0,20240112,3.5,0.7209,0.97,,2.4295
0,20240115,3.47,0.6242,0.89,,2.4087
0,20240116,3.44,0.7707,1.11,,2.3879
0,20240117,3.35,0.7713,1.06,,2.3254
0,20240118,3.34,1.1573,1.5,,2.3185
0,20240119,3.3,0.6846,0.85,,2.2907
0,20240122,3.15,1.0759,1.34,,2.1866
0,20240123,3.15,1.2296,1.38,,2.1866
0,20240124,3.26,1.2679,1.29,,2.2629
0,20240125,3.39,1.1794,1.09,,2.3532
0,20240126,3.44,1.1554,1.06,,2.3879
0,20240129,3.36,1.0287,0.87,,2.3323
0,20240130,3.28,0.8134,0.69,,2.2768
0,20240131,3.16,1.0795,0.99,,2.1935
0,20240201,3.09,1.2498,1.19,,2.1449
0,20240202,2.99,1.5547,1.46,,2.0755
0,20240205,2.78,2.2525,1.97,,1.9297
0,20240206,2.88,1.8377,1.32,,1.9991
0,20240207,2.86,2.0464,1.28,,1.9853
0,20240208,2.97,2.1308,1.19,,2.0616
0,20240219,3.02,1.5573,0.79,,2.0963
0,20240220,3.03,0.8808,0.45,,2.1033
0,20240221,3.06,1.3619,0.81,,2.1241
0,20240222,3.1,0.8083,0.51,,2.1519
0,20240223,3.14,1.003,0.74,,2.1796
0,20240226,3.14,1.1144,0.99,,2.1796
0,20240227,3.19,0.9758,0.94,,2.2143
0,20240228,3.1,1.7752,1.69,,2.1519
0,20240229,3.15,1.0458,0.92,,2.1866
0,20240301,3.13,0.6804,0.58,,2.1727
0,20240304,3.09,0.7679,0.69,,2.1449
0,20240305,3.04,0.8046,0.77,,2.1102
0,20240306,3.13,2.0577,2.03,,2.1727
0,20240307,3.23,2.6787,2.5,,2.2421
0,20240308,3.15,1.6211,1.16,,2.1866
0,20240311,3.16,1.2559,0.79,,2.1935
0,20240312,3.16,1.3486,0.8,,2.1935
0,20240313,3.14,0.8895,0.5,,2.1796
0,20240314,3.15,1.3395,0.86,,2.1866
0,20240315,3.2,1.7948,1.39,,2.2213
0,20240318,3.19,1.3405,1.01,,2.2143
0,20240319,3.23,2.4647,1.84,,2.2421
0,20240320,3.2,1.3465,0.86,,2.2213
0,20240321,3.2,1.0586,0.64,,2.2213
0,20240322,3.13,1.1815,0.74,,2.1727
0,20240325,3.12,0.7403,0.5,,2.1657
0,20240326,3.1,0.917,0.68,,2.1519
0,20240327,3.03,0.8412,0.8,,2.1033
0,20240328,3.05,0.6913,0.73,,2.1172
0,20240329,3.08,0.5872,0.67,,2.138
0,20240401,3.14,1.0546,1.4,,2.1796
0,20240402,3.28,3.7585,4.59,,2.2768
0,20240403,3.31,2.4385,1.76,,2.2976
